LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.765697	1.792537	33.770000	36.070000	91.046025	2.703335	
0.100000	1.362064	1.402488	49.714000	49.960000	90.568190	2.705922	
0.100000	1.096472	1.278925	60.510000	54.440000	90.597172	2.683133	
0.100000	0.951621	1.622129	66.200000	53.310000	90.382155	2.788204	
0.100000	0.846471	0.987503	69.998000	66.590000	90.565552	2.898363	
0.100000	0.760915	0.997131	73.368000	66.330000	89.758693	2.904989	
0.100000	0.705084	0.817654	75.352000	72.240000	90.378723	2.772251	
0.100000	0.655596	0.811922	77.134000	71.590000	89.412691	3.000174	
0.100000	0.620097	0.771015	78.652000	74.430000	89.232594	2.736786	
0.100000	0.596250	0.771145	79.478000	74.260000	90.156391	3.049319	
0.100000	0.570867	0.763757	80.394000	75.460000	89.085227	2.673119	
0.100000	0.564558	0.819493	80.420000	72.790000	89.807135	2.822561	
0.100000	0.544836	1.074291	80.992000	68.190000	90.449191	2.830569	
0.100000	0.527435	0.637170	81.880000	78.590000	90.007084	2.943451	
0.100000	0.513297	0.690317	82.386000	76.160000	89.064498	2.890846	
0.100000	0.502597	0.809055	82.578000	72.720000	89.492428	2.829449	
0.100000	0.498711	0.705059	82.888000	76.540000	90.547396	2.848220	
0.100000	0.489412	0.631955	82.976000	79.000000	90.281488	2.836741	
0.100000	0.484256	0.668298	83.246000	77.420000	89.588984	2.873620	
0.100000	0.474930	0.702914	83.578000	76.070000	90.490665	2.847553	
0.100000	0.467909	0.650487	83.824000	78.860000	90.965016	2.824204	
0.100000	0.463234	0.563672	84.116000	80.650000	89.864333	2.754174	
0.100000	0.459759	0.677102	84.186000	78.030000	90.443049	2.751155	
0.100000	0.451652	0.606317	84.568000	79.190000	90.481655	2.765251	
0.100000	0.444786	1.117384	84.586000	68.200000	89.220734	2.793622	
0.100000	0.441027	0.647826	84.844000	78.570000	90.213181	3.172669	
0.100000	0.440714	1.204398	84.850000	66.490000	89.860183	2.917005	
0.100000	0.447730	0.576802	84.548000	80.720000	90.257364	2.806175	
0.100000	0.438284	0.576610	84.924000	81.000000	89.705912	2.771050	
0.100000	0.436280	0.866776	85.056000	73.860000	89.941671	2.753661	
0.100000	0.435684	0.626115	85.132000	78.860000	88.970724	2.878097	
0.100000	0.426168	0.625582	85.430000	79.400000	90.467453	2.899348	
0.100000	0.421380	0.725312	85.518000	76.760000	89.875813	3.031453	
0.100000	0.427352	0.837409	85.092000	73.560000	90.212349	2.873671	
0.100000	0.412087	0.591737	85.678000	80.650000	89.118059	2.760690	
0.100000	0.412678	0.761705	85.760000	76.620000	90.820410	2.866266	
0.100000	0.418952	0.660930	85.426000	78.800000	88.796252	2.810152	
0.100000	0.412603	0.623777	85.746000	79.850000	89.137064	2.795320	
0.100000	0.409176	0.621772	85.944000	80.100000	89.815309	2.871893	
0.100000	0.403506	0.745119	86.006000	76.960000	89.209224	2.945248	
0.100000	0.409638	0.924114	85.894000	73.760000	90.285693	2.821057	
0.100000	0.404927	0.618721	86.104000	79.830000	90.044169	2.774877	
0.100000	0.404480	0.574425	86.006000	81.430000	90.306845	2.718739	
0.100000	0.406358	0.733203	86.180000	75.680000	89.382954	2.877005	
0.100000	0.393909	0.697315	86.444000	77.570000	89.977206	2.711200	
0.100000	0.389729	0.738694	86.518000	75.500000	89.870345	2.818364	
0.100000	0.399118	0.730228	86.188000	78.460000	89.964205	2.902780	
0.100000	0.395830	0.612737	86.364000	79.710000	89.111955	2.787306	
0.100000	0.397261	0.600442	86.402000	80.040000	89.030203	2.857058	
0.100000	0.389483	0.681817	86.718000	77.680000	89.792091	2.849903	
0.100000	0.392515	0.578816	86.380000	80.280000	88.752651	3.057457	
0.100000	0.397809	0.639025	86.202000	78.880000	90.835308	3.085914	
0.100000	0.388762	0.600401	86.764000	80.670000	89.104855	3.148994	
0.100000	0.384352	0.828453	86.584000	74.680000	90.265342	2.838632	
0.100000	0.394174	0.687066	86.390000	77.300000	90.977091	2.949086	
0.100000	0.383895	0.657467	86.636000	80.210000	90.837345	3.203382	
0.100000	0.388095	0.706577	86.706000	78.060000	89.607414	3.003148	
