LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.705555	1.728342	42.950000	36.460000	42.950000	17.986596	1.197358	
0.100000	1.221160	1.394434	42.950000	55.294000	51.720000	17.627795	1.306431	
0.100000	1.021518	1.013314	47.335000	63.318000	63.650000	17.776279	1.259975	
0.100000	0.901552	1.265649	53.334800	68.072000	58.520000	18.087840	1.208690	
0.100000	0.792947	0.994169	54.039259	72.278000	65.960000	18.135261	1.292027	
0.100000	0.720771	0.785056	56.632491	74.896000	72.470000	17.965601	1.364747	
0.100000	0.672397	1.242818	59.710830	76.752000	61.150000	17.801987	1.153173	
0.100000	0.631880	0.916001	59.055954	77.928000	69.790000	18.072984	1.180295	
0.100000	0.611525	0.673051	60.456674	78.762000	76.500000	18.106729	1.205863	
0.100000	0.580441	1.263039	62.630745	79.920000	63.830000	18.273391	1.228092	
0.100000	0.564995	1.021683	62.037319	80.588000	67.940000	18.156847	1.072252	
0.100000	0.552062	0.829137	62.295168	81.000000	72.620000	17.761563	1.250408	
0.100000	0.532265	0.718329	63.175372	81.608000	75.780000	17.691217	1.441232	
0.100000	0.529871	0.657921	64.269408	81.682000	77.490000	18.048432	1.231036	
0.100000	0.516446	1.818017	65.331617	82.098000	57.690000	17.844468	1.271214	
0.100000	0.508684	0.962366	63.841937	82.460000	70.600000	18.249850	1.308700	
0.100000	0.503075	0.745182	64.128615	82.698000	76.030000	17.912232	1.067850	
0.100000	0.495662	0.614011	64.936715	82.854000	79.680000	16.522280	1.111398	
0.100000	0.485381	0.786184	65.960304	83.098000	74.610000	16.630690	1.135366	
0.100000	0.482397	0.752843	66.320173	83.244000	76.180000	16.592014	1.115629	
0.100000	0.474418	0.732435	66.769828	83.782000	76.410000	16.795221	1.099346	
0.100000	0.474176	0.892331	67.172862	83.556000	72.780000	15.921563	1.103749	
0.100000	0.464281	0.676987	67.216877	84.098000	77.100000	16.899907	1.101285	
0.100000	0.462463	1.283768	67.608190	84.150000	67.680000	16.750262	1.106611	
0.100000	0.455614	0.749192	67.222996	84.278000	75.720000	16.784866	1.299590	
0.100000	0.459340	0.744506	67.496214	84.150000	75.050000	16.554700	1.131536	
0.100000	0.449942	0.745262	67.688106	84.318000	75.230000	16.355050	1.184332	
0.100000	0.448355	0.570671	67.871090	84.400000	81.050000	16.498646	1.151898	
0.100000	0.440357	0.784878	68.422445	84.832000	75.060000	16.561878	1.114314	
0.100000	0.441342	0.672207	68.521415	84.734000	77.580000	16.209999	1.128774	
0.100000	0.439329	0.675774	70.373644	84.664000	78.950000	16.335164	1.103062	
0.100000	0.437994	0.806986	72.651577	84.812000	74.650000	16.563315	1.083934	
0.100000	0.430869	0.607818	72.038907	85.190000	79.550000	16.550781	1.225650	
0.100000	0.428493	0.631748	73.599031	85.278000	79.440000	16.130619	1.140427	
0.100000	0.428230	0.647592	74.916964	85.284000	78.840000	16.621228	1.154194	
0.100000	0.424129	0.577433	73.533626	85.262000	81.180000	16.297269	1.383168	
0.100000	0.422234	0.759579	75.275952	85.366000	76.160000	16.552686	1.052842	
0.100000	0.426354	0.746683	76.302996	85.240000	76.420000	16.733071	1.113672	
0.100000	0.416490	0.703981	74.478950	85.686000	78.780000	16.808349	1.094101	
0.100000	0.419719	0.572378	75.350585	85.436000	80.970000	16.363582	1.217208	
0.100000	0.412497	0.691147	76.389676	85.800000	77.920000	16.837723	1.104141	
0.100000	0.410916	0.887282	76.945221	85.708000	72.440000	16.664116	1.045840	
0.100000	0.414225	0.527599	76.901762	85.718000	82.620000	16.046858	1.195421	
0.100000	0.412960	0.569609	74.408361	85.744000	81.200000	16.301188	1.136787	
0.100000	0.406468	0.688120	76.712821	86.088000	77.730000	16.288915	1.183770	
0.100000	0.408821	0.720544	77.563415	86.030000	76.200000	16.104078	1.140343	
0.100000	0.408906	0.580755	78.003102	85.780000	80.710000	16.363692	1.117066	
0.100000	0.400083	0.804573	77.444814	86.182000	77.000000	16.350681	1.095198	
0.100000	0.394977	0.726803	77.643078	86.364000	77.240000	16.100237	1.134068	
0.100000	0.404303	0.732366	77.650322	86.088000	76.640000	16.381127	1.234887	
0.100000	0.402831	0.618042	77.060382	86.130000	79.090000	16.779434	1.091515	
