LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.693997	1.438493	47.870000	36.536000	47.870000	16.611887	1.059959	
0.100000	1.237585	1.418707	47.870000	54.714000	53.700000	16.659581	1.251121	
0.100000	1.020254	1.205131	50.785000	63.238000	59.690000	16.681251	1.218057	
0.100000	0.906468	0.945516	53.997200	67.728000	67.110000	16.616066	1.054137	
0.100000	0.795506	1.644466	57.773704	71.866000	58.180000	16.245124	1.290951	
0.100000	0.714869	0.752333	57.072316	75.322000	74.280000	16.535246	1.134096	
0.100000	0.669466	0.939583	60.819053	76.592000	70.190000	16.792367	1.095360	
0.100000	0.632655	1.861139	62.122334	78.142000	52.210000	16.400951	1.219086	
0.100000	0.603488	0.866424	59.401860	79.104000	71.980000	16.828716	1.334272	
0.100000	0.581151	0.806171	61.273381	79.906000	73.330000	17.102320	1.295959	
0.100000	0.561436	1.133464	62.779990	80.594000	67.090000	17.264016	1.093268	
0.100000	0.549732	0.743329	62.902831	81.028000	75.720000	16.725295	1.517207	
0.100000	0.536788	0.901401	64.250762	81.374000	70.500000	17.067131	1.095333	
0.100000	0.524514	1.002519	64.574065	81.910000	69.920000	16.071539	1.108738	
0.100000	0.514057	0.893972	64.768020	82.202000	71.200000	17.202750	1.087768	
0.100000	0.509648	0.731926	65.085522	82.508000	76.130000	16.810366	1.078873	
0.100000	0.499479	0.809713	65.895976	82.882000	74.560000	16.966524	1.106283	
0.100000	0.487931	0.818703	66.386909	83.152000	73.470000	16.804785	1.127239	
0.100000	0.479421	0.776391	66.685545	83.480000	75.820000	16.710494	1.084518	
0.100000	0.479204	0.857496	67.163937	83.572000	74.750000	17.111696	1.028364	
0.100000	0.470774	0.642519	67.470097	83.720000	78.880000	16.769987	1.109154	
0.100000	0.467605	0.651898	68.092810	83.850000	78.480000	16.579253	1.112772	
0.100000	0.459279	0.693872	68.589105	84.076000	76.880000	16.428651	1.102284	
0.100000	0.449897	0.785909	68.888199	84.638000	75.080000	16.965530	1.087675	
0.100000	0.455239	0.632732	69.011988	84.248000	79.300000	16.505847	1.096369	
0.100000	0.447363	0.723773	69.437891	84.682000	77.430000	17.050556	1.108403	
0.100000	0.444961	0.637804	69.676980	84.692000	79.250000	16.563246	1.078182	
0.100000	0.439367	0.618689	70.015509	84.960000	79.490000	16.701157	1.184828	
0.100000	0.438353	0.899244	70.331447	84.916000	72.270000	16.506947	1.138311	
0.100000	0.429708	0.781911	70.146995	85.096000	76.980000	16.160113	1.107813	
0.100000	0.433249	0.483589	71.430628	85.124000	83.710000	16.861972	1.418315	
0.100000	0.426225	0.707166	73.088769	85.422000	77.580000	16.282443	1.060261	
0.100000	0.431128	0.641843	74.451173	85.164000	79.130000	16.737449	1.069310	
0.100000	0.423229	0.557697	73.462098	85.366000	81.240000	17.025981	1.060148	
0.100000	0.415774	0.723998	76.291339	85.680000	77.230000	16.680269	1.309701	
0.100000	0.417985	0.556783	75.760641	85.440000	81.660000	16.638615	1.107307	
0.100000	0.421031	0.764190	73.542028	85.370000	76.420000	15.966375	1.071931	
0.100000	0.411973	0.638180	76.585686	85.774000	79.500000	16.152618	1.089611	
0.100000	0.411412	0.693982	76.968864	85.714000	77.700000	17.160027	1.078165	
0.100000	0.413500	0.530448	76.113970	85.762000	82.730000	16.439641	1.515966	
0.100000	0.403561	0.607586	77.788377	86.064000	80.370000	16.405282	1.092891	
0.100000	0.408293	0.517425	77.200322	85.906000	82.850000	15.839648	1.463147	
0.100000	0.404209	0.624611	77.480971	86.078000	79.340000	16.897265	1.078803	
0.100000	0.402668	0.858677	77.785948	86.098000	73.350000	16.516308	1.126498	
0.100000	0.400038	0.526301	78.212446	86.152000	82.180000	16.508585	1.060657	
0.100000	0.399587	0.662469	78.241455	86.212000	78.740000	16.675333	1.115614	
0.100000	0.398353	0.708267	78.116048	86.264000	77.860000	16.784902	1.499969	
0.100000	0.401183	0.887793	78.439248	86.012000	73.790000	16.709628	1.114696	
0.100000	0.400436	0.918979	77.984616	86.198000	71.510000	16.133755	1.078659	
0.100000	0.394911	0.553817	78.163938	86.524000	81.410000	16.910062	1.071127	
0.100000	0.401145	0.721636	78.315537	86.134000	77.100000	17.027171	1.085443	
0.100000	0.397561	0.692054	78.005816	86.234000	78.370000	18.104274	1.058481	
0.100000	0.393332	0.712367	77.769101	86.462000	78.080000	17.061698	1.088122	
0.100000	0.387224	1.018104	78.399209	86.684000	70.370000	16.316336	1.634046	
0.100000	0.390999	0.556107	77.610865	86.508000	81.100000	16.993789	1.073539	
0.100000	0.389227	0.779538	78.099073	86.676000	75.560000	18.600262	1.067964	
0.100000	0.394901	0.648817	77.969957	86.408000	78.600000	15.993290	1.058525	
0.100000	0.383071	0.600631	76.966870	86.682000	80.130000	17.506647	1.060111	
0.100000	0.386123	0.579022	77.851828	86.614000	81.250000	15.840055	1.084834	
0.100000	0.383813	0.568526	79.043964	86.806000	81.490000	18.736042	1.085187	
0.100000	0.388812	0.640902	78.315610	86.606000	79.250000	18.019370	1.081459	
0.100000	0.389433	0.544839	78.599964	86.784000	82.160000	16.344264	1.051965	
0.100000	0.386979	0.749588	79.134669	86.518000	76.290000	17.809397	1.075378	
0.100000	0.384806	0.528138	78.371450	86.720000	82.440000	16.766397	1.061530	
0.100000	0.383121	0.528463	79.274345	86.798000	82.630000	17.528379	1.634424	
0.100000	0.378079	0.697252	78.733336	87.002000	77.460000	15.944759	1.073496	
0.100000	0.384449	0.620601	79.096435	86.690000	80.050000	16.017620	1.087489	
0.100000	0.384494	0.551217	78.897744	86.616000	82.130000	16.674670	0.956086	
0.100000	0.379244	0.704000	79.833422	86.876000	78.430000	17.017341	1.059625	
0.100000	0.385419	0.498288	79.401713	86.738000	83.240000	16.866220	1.059293	
0.100000	0.377380	0.689561	80.007857	87.032000	78.430000	15.864498	1.024677	
0.100000	0.380762	0.760000	79.398649	86.950000	76.010000	17.696672	1.033975	
0.100000	0.379094	0.662157	78.314103	86.904000	78.650000	16.947213	0.977945	
0.100000	0.375403	0.788158	79.612252	86.868000	75.930000	15.915382	1.021569	
0.100000	0.379279	0.628911	78.877396	86.972000	79.990000	17.289724	0.974534	
0.100000	0.371442	0.740570	78.821962	87.272000	75.650000	17.833449	0.976472	
0.100000	0.373764	0.591590	78.028954	87.114000	80.280000	17.200860	0.974845	
0.100000	0.372406	0.999327	77.844582	87.184000	71.510000	16.506835	1.078769	
0.100000	0.372318	1.088088	78.867059	87.064000	69.630000	17.525614	1.075385	
0.100000	0.370782	0.732998	77.648060	87.238000	77.020000	17.904502	1.091252	
0.100000	0.379611	0.692959	77.791133	86.962000	77.620000	17.113639	1.081664	
0.100000	0.370596	0.590557	77.738169	87.154000	80.670000	17.757839	1.078264	
0.100000	0.369970	0.765543	76.812750	87.012000	75.450000	16.607750	1.091532	
0.100000	0.366566	1.360114	78.275976	87.498000	66.090000	16.638915	1.357626	
0.100000	0.368754	0.557785	76.688913	87.448000	81.850000	17.904661	1.054838	
0.100000	0.372910	0.778074	77.461353	87.140000	75.950000	17.317451	1.406530	
0.100000	0.376117	0.750511	77.585026	86.998000	76.590000	17.109052	1.084186	
0.100000	0.373059	0.647167	77.682740	87.072000	79.070000	16.026535	1.066373	
0.100000	0.368347	0.770345	77.806935	87.424000	77.740000	17.830770	1.061327	
0.100000	0.371604	0.630262	77.478799	87.138000	79.500000	17.277190	1.061974	
0.100000	2.149053	2.042647	78.029873	16.516000	20.330000	28.183671	1.970983	
0.100000	1.860018	1.841226	73.458724	25.122000	26.350000	28.378575	1.971445	
0.100000	1.810372	1.868648	71.308505	28.020000	24.350000	29.194515	1.764858	
0.100000	1.746136	1.801103	68.306391	31.540000	29.040000	34.865223	1.606956	
0.100000	1.645570	1.903196	65.025692	36.322000	31.060000	31.686035	1.782505	
0.100000	1.535920	1.606372	63.208772	41.090000	41.000000	28.379759	1.981281	
0.100000	1.442763	1.566047	62.076636	45.718000	41.480000	30.394259	2.598761	
0.100000	1.363625	1.385786	60.212943	49.094000	48.240000	31.350888	1.989879	
0.100000	1.275410	1.368711	60.135836	52.828000	50.150000	32.586811	1.970087	
0.100000	1.203487	1.228829	58.796247	55.748000	55.250000	28.407814	1.689472	
0.100000	1.148367	1.369175	58.217618	58.084000	51.290000	30.898621	3.047029	
0.100000	1.090441	1.922157	58.152318	60.040000	42.570000	29.715170	1.944255	
0.100000	1.037320	1.522070	56.753799	62.308000	53.550000	28.129584	3.069289	
0.100000	0.988940	1.159535	57.134023	64.130000	59.790000	28.386452	1.981481	
0.100000	0.942942	1.379558	56.677979	65.908000	55.660000	28.495161	2.602561	
0.100000	0.901915	2.872518	57.281623	67.418000	37.000000	28.907686	1.947194	
0.100000	0.878383	0.996314	54.705326	68.618000	65.160000	29.005611	1.908237	
0.100000	0.846963	1.088706	55.108045	69.858000	64.340000	29.060172	2.002702	
0.100000	0.817683	0.833100	56.771965	70.696000	71.010000	29.728566	1.913017	
0.100000	0.786469	0.984926	57.777285	72.078000	67.300000	29.009097	1.989478	
0.100000	0.764524	0.888309	58.832567	72.716000	69.280000	30.208565	2.012134	
0.100000	0.746926	0.891816	58.751983	73.620000	69.380000	30.841567	2.228179	
0.100000	0.727032	0.925776	58.084566	74.280000	69.640000	31.718414	2.354919	
0.100000	0.705149	0.850018	61.108368	75.320000	71.490000	32.021587	2.189995	
0.100000	0.692735	0.859041	60.925237	75.404000	71.020000	32.032646	2.199764	
0.100000	0.671272	1.194475	61.669032	76.344000	65.260000	31.421037	2.806482	
0.100000	0.653220	0.789523	62.259220	76.916000	73.000000	32.204985	2.121515	
0.100000	0.635973	0.797121	62.759906	77.754000	73.610000	32.297742	2.220169	
0.100000	0.622467	0.949053	63.714341	77.904000	69.470000	31.516733	2.368439	
0.100000	0.615727	0.748994	55.531966	78.530000	75.460000	31.267552	2.195487	
0.100000	0.600635	0.697853	57.687906	78.970000	77.310000	31.547593	2.089081	
0.100000	0.583832	0.995185	58.664725	79.500000	70.270000	31.782987	2.102843	
0.100000	0.573366	0.961608	60.091446	79.932000	69.840000	31.640617	2.094827	
0.100000	0.560933	0.788746	61.012399	80.234000	74.110000	31.391915	2.348833	
0.100000	0.553071	0.771411	63.294348	80.718000	75.930000	31.462334	2.175515	
0.100000	0.538589	0.929808	64.178941	81.234000	71.800000	32.390976	2.121080	
0.100000	0.525050	1.160179	65.647858	81.582000	67.450000	32.033502	2.200673	
0.100000	0.521544	0.776195	66.040238	81.736000	74.180000	31.663531	2.152601	
0.100000	0.513327	0.948366	67.302648	82.184000	72.060000	31.710997	2.191770	
0.100000	0.503111	0.693942	67.037110	82.542000	76.690000	31.615114	2.431536	
0.100000	0.491441	0.686735	66.399300	82.866000	77.510000	31.513360	2.144464	
0.100000	0.481411	0.611063	68.703405	83.144000	79.910000	31.224991	2.013554	
0.100000	0.477478	0.590003	70.328476	83.406000	79.870000	31.244261	2.303991	
0.100000	0.472314	1.152556	70.347019	83.482000	68.390000	31.189517	2.112939	
0.100000	0.464109	0.591784	67.523241	83.690000	80.100000	31.329280	2.300905	
0.100000	0.460991	0.604881	72.405498	83.902000	80.030000	31.058248	2.035547	
0.100000	0.449632	0.568140	72.778861	84.252000	81.320000	30.897603	2.221626	
0.100000	0.440842	0.664628	74.294128	84.644000	79.160000	30.328023	2.105597	
0.100000	0.439023	0.676285	74.071732	84.652000	79.150000	31.326525	1.961393	
0.100000	0.428674	0.595035	74.685594	85.066000	79.850000	30.965549	2.031157	
0.100000	0.428547	0.566267	75.033237	84.874000	81.580000	31.266461	2.197921	
0.100000	0.412198	0.664053	75.493195	85.614000	78.950000	31.217326	2.144917	
0.100000	0.414176	0.646991	75.983654	85.574000	79.290000	30.926044	2.181232	
0.100000	0.404203	0.703181	76.129022	85.962000	78.760000	30.767733	2.174385	
0.100000	0.399542	0.574276	75.466088	86.148000	81.400000	30.553921	2.102378	
0.100000	0.394963	0.581684	76.967828	86.272000	81.290000	30.651953	2.091456	
0.100000	0.389757	0.726784	77.334860	86.422000	77.630000	30.280796	1.983738	
0.100000	0.385229	0.612714	76.755417	86.580000	81.360000	30.773795	2.193570	
0.100000	0.385745	0.779361	77.918410	86.364000	77.400000	30.778138	2.280176	
0.100000	0.379034	0.545955	78.152403	86.738000	82.300000	30.920560	2.249840	
0.100000	0.377467	0.608948	77.402277	86.902000	80.690000	30.606069	2.223406	
0.100000	0.364825	0.558523	77.552226	87.330000	82.020000	31.396005	2.163683	
0.100000	0.363071	0.613378	78.457748	87.270000	80.310000	31.177305	2.342015	
0.100000	0.356549	0.641245	78.840350	87.542000	80.120000	30.823078	2.049377	
0.100000	0.352739	0.543450	78.325869	87.686000	82.820000	31.408364	2.255370	
0.100000	0.349351	0.531388	77.986970	87.780000	82.850000	30.967749	2.059254	
0.100000	0.344620	0.530277	79.273613	87.932000	83.230000	31.157150	2.085458	
0.100000	0.339666	0.643128	79.222393	88.066000	79.440000	30.003139	2.163274	
0.100000	0.334990	0.704911	79.905753	88.230000	78.520000	30.028180	2.556281	
0.100000	0.330155	0.669360	79.934890	88.526000	80.880000	30.083519	2.129854	
0.100000	0.332842	0.529236	80.342812	88.276000	83.010000	30.709073	2.893213	
0.100000	0.327421	0.498441	80.509106	88.602000	83.150000	30.324417	2.029676	
0.100000	0.329180	0.530288	79.019920	88.352000	83.250000	30.265479	2.020953	
0.100000	0.319450	0.540206	80.985644	88.852000	83.100000	30.193017	2.702369	
0.100000	0.319071	0.574109	81.111935	88.816000	82.950000	30.421321	2.120306	
0.100000	0.313882	0.617691	81.417004	88.978000	81.580000	30.356252	2.019939	
