LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.750871	1.619421	33.716000	41.200000	16.942198	1.074530	
0.100000	1.313222	1.786885	51.906000	38.730000	16.891334	0.919133	
0.100000	1.074271	1.088942	61.268000	60.260000	16.851260	1.094590	
0.100000	0.913443	1.053359	67.252000	63.970000	16.987144	1.018949	
0.100000	0.816271	0.937767	71.270000	66.740000	16.893206	1.025827	
0.100000	0.743607	0.841048	73.998000	70.990000	17.204708	1.001538	
0.100000	0.713823	0.948355	75.088000	69.600000	17.020758	1.011244	
0.100000	0.672716	0.902788	76.508000	70.880000	17.231394	1.086670	
0.100000	0.646546	1.479037	77.542000	57.450000	17.179325	1.112459	
0.100000	0.622158	1.269208	78.424000	60.520000	17.276426	1.087898	
0.100000	0.604530	0.865371	79.224000	72.180000	17.103605	1.043819	
0.100000	0.589255	0.889152	79.764000	70.640000	16.950855	1.091610	
0.100000	0.582676	1.517718	79.718000	58.140000	17.143290	1.129329	
0.100000	0.572574	0.753158	80.416000	75.060000	17.058722	1.061327	
0.100000	0.557244	1.296951	80.684000	61.810000	17.037793	1.055776	
0.100000	0.543274	0.689248	81.154000	76.890000	17.365362	1.118825	
0.100000	0.549598	0.888094	81.112000	72.340000	17.382883	1.102095	
0.100000	0.536062	0.831125	81.522000	71.580000	17.315780	1.054720	
0.100000	0.529497	1.136484	81.840000	67.340000	17.488648	1.055940	
0.100000	0.528976	0.921805	81.758000	70.120000	17.510150	1.088672	
0.100000	0.513730	0.673357	82.298000	77.330000	17.101975	1.036201	
0.100000	0.511341	0.827886	82.240000	73.390000	17.115291	1.048022	
0.100000	0.509091	1.140949	82.184000	66.970000	17.072470	1.040910	
0.100000	0.499819	0.987158	82.694000	67.810000	17.093651	1.096673	
0.100000	0.501151	0.644320	82.668000	78.850000	17.080073	1.043910	
0.100000	0.489039	0.750744	83.170000	75.120000	16.965140	1.107981	
0.100000	0.484624	0.746102	83.366000	75.500000	16.933891	1.048609	
0.100000	0.483539	1.088064	83.186000	67.410000	17.133272	1.083469	
0.100000	0.488891	0.901681	83.214000	72.290000	17.066014	1.035198	
0.100000	0.478697	0.883452	83.492000	72.900000	17.159790	1.037328	
0.100000	0.469888	0.673343	83.860000	77.150000	17.144479	1.034698	
0.100000	0.476237	0.770503	83.566000	74.210000	16.897633	1.038030	
0.100000	0.470646	1.187151	83.776000	65.270000	17.173289	1.143669	
0.100000	0.470338	0.610954	83.746000	79.300000	17.168344	1.087720	
0.100000	0.469951	0.983995	83.992000	69.440000	17.152086	1.054895	
0.100000	0.462087	0.687461	84.074000	78.420000	17.244196	0.935489	
0.100000	0.458361	0.827303	84.232000	74.690000	17.161179	1.075213	
0.100000	0.455820	0.613503	84.434000	78.770000	17.240281	1.079454	
0.100000	0.457601	0.745703	84.266000	76.520000	17.288669	1.044477	
0.100000	0.458547	0.894993	84.194000	72.710000	17.230865	1.065819	
0.100000	0.450821	1.315502	84.426000	62.990000	16.874676	1.080483	
0.100000	0.455206	0.723571	84.114000	75.880000	16.956788	1.041708	
0.100000	0.457483	0.682031	84.172000	76.730000	16.961446	1.075424	
0.100000	0.451696	0.795084	84.372000	73.200000	17.111077	1.031528	
0.100000	0.447919	1.029188	84.522000	71.130000	16.887733	1.094692	
0.100000	0.441919	0.876925	84.770000	72.160000	17.078412	1.107433	
0.100000	0.442770	0.691314	84.776000	76.530000	17.185982	1.093817	
0.100000	0.446680	0.707279	84.606000	76.850000	17.218373	1.043794	
0.100000	0.437589	1.094807	84.766000	67.360000	17.173438	1.040316	
0.100000	0.437440	0.622573	84.908000	79.310000	17.256181	1.064023	
0.100000	0.426502	0.800372	85.346000	75.020000	17.261427	1.099299	
0.100000	0.431509	0.710316	85.058000	77.230000	17.394025	1.028685	
0.100000	0.446211	0.883615	84.624000	72.890000	17.480930	1.087249	
0.100000	0.429629	0.654792	85.082000	78.720000	17.392234	1.088897	
0.100000	0.428118	0.712449	85.198000	76.800000	17.392048	1.026796	
0.100000	0.426774	0.637232	85.334000	79.020000	17.350261	1.109144	
0.100000	0.432751	0.776449	85.020000	75.260000	17.410946	1.046311	
0.100000	0.432568	0.968300	85.232000	71.430000	17.405396	1.082738	
0.100000	0.427645	0.916639	85.316000	70.850000	17.345703	1.064971	
0.100000	0.429385	0.775244	85.284000	74.390000	17.342081	1.050448	
0.100000	0.425103	0.738577	85.484000	76.200000	17.010648	1.033450	
0.100000	0.425699	0.883698	85.442000	71.730000	17.165108	1.063761	
0.100000	0.424474	0.868190	85.292000	74.360000	17.373880	1.110846	
0.100000	0.420970	0.603604	85.508000	80.510000	17.226747	1.116138	
0.100000	0.420473	0.731746	85.500000	76.820000	17.263572	1.133547	
0.100000	0.414833	0.945354	85.728000	71.380000	17.021042	1.098673	
0.100000	0.423663	0.594106	85.390000	80.670000	17.069789	1.048083	
0.100000	0.422655	0.632111	85.354000	78.500000	16.992393	1.003047	
0.100000	0.417141	0.712470	85.654000	77.730000	17.000259	1.066777	
0.100000	0.422269	0.742087	85.448000	75.240000	16.947971	1.047840	
0.100000	0.410582	0.889059	85.824000	72.390000	17.136324	1.065025	
0.100000	0.416401	1.021572	85.642000	70.980000	17.191136	1.081600	
0.100000	0.414483	0.700397	85.652000	77.850000	17.086703	1.079308	
0.100000	0.411946	0.786532	85.812000	75.510000	17.072366	1.069287	
0.100000	0.411772	0.637846	85.784000	78.990000	17.052706	0.980270	
0.100000	0.401137	0.712466	86.212000	77.620000	17.171032	1.102444	
0.100000	0.417464	0.656160	85.542000	78.770000	17.154663	1.117317	
0.100000	0.414492	0.948169	85.788000	72.650000	17.021349	1.098321	
0.100000	0.407380	0.868609	86.042000	72.760000	17.257141	1.063546	
0.100000	0.401408	0.780630	86.194000	75.630000	17.102366	1.072760	
0.100000	0.405211	0.702254	86.132000	76.630000	17.214451	1.099297	
0.100000	0.415949	0.663117	85.724000	77.840000	17.381233	1.055386	
0.100000	0.402800	0.674619	85.986000	78.100000	17.286667	1.111044	
0.100000	0.405145	0.534210	86.008000	82.570000	17.266557	1.106961	
0.100000	0.401343	0.582525	86.272000	80.620000	17.196988	1.141653	
0.100000	0.400016	0.961532	86.194000	71.230000	17.203385	1.058188	
0.100000	0.396578	0.610975	86.398000	79.600000	17.172858	1.138002	
0.100000	0.407301	0.536772	85.974000	81.610000	17.241831	1.070028	
0.100000	0.407480	0.621610	85.932000	79.060000	17.379663	1.125043	
0.100000	0.407839	1.199372	85.906000	69.180000	17.187607	1.103241	
0.100000	0.398740	0.707794	86.426000	76.950000	17.706578	1.040132	
0.100000	0.402293	0.844728	85.942000	73.670000	17.607691	1.048019	
0.010000	0.284956	0.328247	90.378000	88.970000	17.486593	1.058660	
0.010000	0.248771	0.320760	91.616000	88.870000	17.545095	1.048835	
0.010000	0.231827	0.319310	92.158000	89.390000	17.529216	1.110498	
0.010000	0.224128	0.311357	92.282000	89.620000	16.957298	1.112447	
0.010000	0.217141	0.314207	92.608000	89.700000	17.037286	1.085388	
0.010000	0.211989	0.325870	92.732000	89.460000	17.054827	1.026262	
0.010000	0.206097	0.309783	92.950000	89.790000	17.126863	1.011526	
0.010000	0.201071	0.332279	93.054000	89.370000	16.994314	1.088481	
0.010000	0.197013	0.319462	93.360000	89.670000	17.237690	1.025614	
0.010000	0.193289	0.319433	93.390000	89.440000	17.238734	1.070775	
0.010000	0.191713	0.320529	93.410000	89.550000	17.220397	1.056632	
0.010000	0.187125	0.326109	93.538000	89.520000	17.140324	0.951714	
0.010000	0.185002	0.322299	93.578000	89.610000	17.160851	1.057632	
0.010000	0.179278	0.336294	93.938000	89.390000	17.027129	1.083932	
0.010000	0.179240	0.329632	93.904000	89.580000	16.961357	1.071028	
0.010000	0.179743	0.336030	93.752000	89.210000	17.130596	1.000073	
0.010000	0.177468	0.332927	93.948000	89.280000	17.067101	1.125904	
0.010000	0.175140	0.334113	93.928000	89.690000	17.128672	1.058429	
0.010000	0.171900	0.342549	94.048000	88.850000	17.220460	1.025903	
0.010000	0.174523	0.332423	94.044000	89.310000	17.291208	1.088813	
0.010000	0.167886	0.347128	94.254000	89.220000	17.175306	1.057437	
0.010000	0.163493	0.339636	94.360000	89.350000	17.060489	1.129836	
0.010000	0.168542	0.343595	94.106000	89.530000	17.349202	1.069818	
0.010000	0.161331	0.364793	94.476000	88.830000	17.177187	1.054547	
0.010000	0.164192	0.345945	94.416000	89.350000	17.292104	1.092532	
0.010000	0.164510	0.359021	94.306000	89.380000	17.287588	1.089880	
0.010000	0.162144	0.361171	94.374000	88.870000	17.304480	1.083632	
0.010000	0.167177	0.343333	94.162000	89.400000	17.440496	1.047449	
0.010000	0.159478	0.346428	94.428000	89.370000	17.218164	1.109312	
0.010000	0.158368	0.368241	94.436000	88.830000	17.273417	1.054703	
0.010000	0.160874	0.349407	94.394000	89.270000	17.394548	1.051515	
0.010000	0.159752	0.361941	94.396000	88.750000	17.192308	1.106140	
0.010000	0.160368	0.364637	94.466000	89.270000	17.407779	1.105884	
0.010000	0.158420	0.349395	94.436000	89.400000	17.294987	1.099049	
0.010000	0.155462	0.380551	94.600000	88.380000	17.116500	1.053776	
0.010000	0.159200	0.362620	94.524000	88.810000	17.234441	0.985609	
0.010000	0.159140	0.374425	94.524000	88.660000	17.096754	1.088485	
0.010000	0.156209	0.365373	94.544000	88.990000	17.204014	1.085938	
0.010000	0.154758	0.384684	94.650000	88.670000	17.165855	1.109377	
0.010000	0.153525	0.374493	94.718000	88.770000	17.197404	1.150280	
0.010000	0.158713	0.375656	94.432000	88.700000	17.108498	1.060486	
0.010000	0.158129	0.399879	94.490000	87.970000	17.358971	1.085613	
0.010000	0.155170	0.352659	94.636000	89.380000	17.329226	1.082407	
0.010000	0.147564	0.416202	94.908000	87.900000	17.206432	1.132886	
0.010000	0.157101	0.421150	94.510000	87.650000	17.244786	1.054835	
0.010000	0.158734	0.398276	94.352000	88.360000	17.323295	1.078134	
0.010000	0.154404	0.375395	94.676000	88.100000	17.247039	1.056232	
0.010000	0.155610	0.397068	94.562000	88.570000	17.330453	1.033739	
0.010000	0.154729	0.419759	94.600000	87.820000	17.191570	1.044532	
0.010000	0.159596	0.384198	94.462000	88.340000	17.108473	1.095257	
0.010000	0.156282	0.395888	94.482000	88.170000	17.114258	1.106222	
0.010000	0.156755	0.429550	94.468000	87.600000	17.094549	1.027935	
0.010000	0.155541	0.408551	94.542000	88.210000	16.978219	1.063807	
0.010000	0.152485	0.393565	94.748000	88.420000	17.173309	1.083474	
0.010000	0.157745	0.376015	94.538000	88.870000	17.185081	1.084397	
0.010000	0.155206	0.370482	94.664000	88.890000	17.086441	1.121117	
0.010000	0.156410	0.432221	94.660000	87.270000	17.184028	1.039334	
0.001000	0.123874	0.324961	95.832000	90.130000	17.155989	1.056949	
0.001000	0.107320	0.325942	96.540000	90.240000	17.415433	1.149644	
0.001000	0.103580	0.326123	96.594000	90.230000	17.249343	0.957365	
0.001000	0.100273	0.328134	96.732000	90.250000	17.307850	1.107986	
0.001000	0.096883	0.327961	96.954000	90.120000	17.355484	1.133607	
0.001000	0.095677	0.326270	96.916000	90.240000	17.431331	1.138623	
0.001000	0.092848	0.331373	96.968000	90.080000	17.227652	1.051941	
0.001000	0.095131	0.332927	96.922000	90.070000	17.117417	1.062606	
0.001000	0.090430	0.331570	97.150000	90.260000	17.394132	1.111759	
0.001000	0.092350	0.332812	97.028000	90.200000	17.196984	1.138187	
0.001000	0.087884	0.332224	97.210000	90.210000	17.344806	1.071087	
0.001000	0.088179	0.335735	97.130000	90.050000	17.063312	1.080041	
0.001000	0.088336	0.337001	97.160000	90.060000	16.951044	1.126145	
0.001000	0.086068	0.335790	97.270000	90.170000	16.986023	1.054474	
0.001000	0.083618	0.336577	97.354000	90.190000	16.910997	1.054484	
