LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.830108	1.584728	30.126000	40.130000	29.061709	1.712269	
0.100000	1.497980	1.725401	43.788000	37.540000	24.539965	1.086517	
0.100000	1.320566	1.810540	51.888000	41.020000	25.640724	1.598721	
0.100000	1.176617	1.759573	57.788000	47.780000	30.037323	1.610808	
0.100000	1.082543	1.439353	61.200000	52.180000	29.762707	1.688170	
0.100000	1.031252	1.295112	63.054000	57.340000	30.881134	1.718491	
0.100000	0.981242	1.644933	65.262000	51.310000	28.380006	1.015314	
0.100000	0.937918	1.224822	66.754000	58.130000	24.022907	1.778312	
0.100000	0.908746	1.388574	67.802000	55.680000	30.133755	1.642070	
0.100000	0.873677	1.085056	69.384000	63.540000	30.857702	1.696756	
0.100000	0.850782	1.261345	70.270000	59.280000	30.584583	1.691197	
0.100000	0.837848	1.208406	70.808000	59.260000	29.346861	1.051288	
0.100000	0.818608	1.100692	71.410000	64.700000	22.978494	1.724662	
0.100000	0.812229	1.439518	71.602000	58.590000	30.879705	1.569344	
0.100000	0.807215	1.148453	71.858000	60.030000	30.401287	1.652145	
0.100000	0.790300	1.548962	72.720000	53.260000	30.111128	1.574749	
0.100000	0.781883	1.134282	72.698000	60.520000	31.186400	1.061791	
0.100000	0.775105	1.815061	72.894000	52.880000	22.156951	1.534976	
0.100000	0.776913	1.081700	73.066000	62.060000	30.291337	1.701708	
0.100000	0.765298	0.983843	73.420000	67.670000	30.742805	1.542307	
0.100000	0.753294	1.513256	73.756000	55.750000	30.875072	1.392329	
0.100000	0.753403	0.910346	73.900000	69.810000	31.744899	1.023970	
0.100000	0.747029	1.178484	73.952000	62.430000	20.585870	1.552344	
0.100000	0.745758	0.936345	74.086000	69.180000	29.901918	1.764835	
0.100000	0.741791	1.085148	74.316000	65.390000	30.238947	1.626903	
0.100000	0.734355	1.784371	74.736000	50.530000	33.376817	1.535588	
0.100000	0.735951	1.003055	74.356000	68.110000	32.517758	1.402310	
0.100000	0.744746	0.945158	74.038000	68.090000	18.914548	1.702858	
0.100000	0.732955	0.942431	74.518000	69.120000	31.149750	1.612375	
0.100000	0.726103	0.805816	74.512000	71.440000	29.981629	1.719345	
0.100000	0.718532	1.360812	75.038000	60.960000	32.271057	1.514968	
0.100000	0.719254	0.965268	75.036000	66.800000	32.549351	1.444223	
0.100000	0.718357	0.930917	75.198000	68.710000	18.286094	1.569090	
0.100000	0.722639	1.432232	74.846000	57.390000	30.785088	1.549913	
0.100000	0.706056	0.970416	75.520000	67.900000	30.097069	1.502167	
0.100000	0.715293	2.574791	75.416000	40.610000	30.445381	1.568599	
0.100000	0.713097	1.046089	75.084000	67.180000	30.829878	1.796122	
0.100000	0.714782	1.239339	75.284000	63.800000	16.620567	1.709301	
0.100000	0.706490	1.306280	75.464000	61.580000	30.039918	1.629736	
0.100000	0.705655	1.191046	75.552000	63.430000	31.438564	1.622940	
0.100000	0.703847	1.207204	75.610000	61.880000	30.222685	1.601015	
0.100000	0.706404	1.121072	75.622000	65.710000	30.550004	1.667469	
0.100000	0.716101	1.465102	75.168000	56.110000	19.872559	1.118379	
0.100000	0.703361	0.933544	75.408000	68.760000	31.778831	1.392143	
0.100000	0.701653	0.840499	75.712000	71.380000	30.967611	1.711898	
0.100000	0.693465	1.005605	75.958000	66.160000	30.219510	1.764045	
0.100000	0.691846	1.118158	76.056000	65.310000	29.829663	1.659282	
0.100000	0.695858	0.939379	75.654000	69.000000	24.088719	1.081104	
0.100000	0.692549	0.921773	75.944000	68.550000	27.650530	1.472642	
0.100000	0.700982	0.880204	75.784000	70.460000	30.876519	1.615956	
0.100000	0.691998	1.033345	76.044000	66.660000	30.764871	1.539860	
0.100000	0.701329	1.013533	75.808000	67.660000	30.091778	1.543663	
0.100000	0.688924	0.858164	76.038000	70.880000	26.746286	1.044943	
0.100000	0.688918	0.816574	76.250000	72.170000	23.935849	1.425822	
0.100000	0.692460	0.978515	76.026000	68.070000	30.611675	1.684342	
0.100000	0.689526	1.366698	76.112000	60.860000	30.499944	1.659114	
