LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.896071	1.664820	27.606000	38.230000	51.217066	2.564697	
0.100000	1.470681	1.544106	45.922000	47.810000	52.474603	2.319553	
0.100000	1.236475	1.360213	55.500000	53.540000	50.913153	2.346376	
0.100000	1.119416	1.291687	59.948000	56.610000	51.537209	2.339082	
0.100000	1.050929	1.325065	62.406000	55.110000	44.477094	1.357929	
0.100000	0.998465	1.080217	64.852000	62.700000	41.178378	2.274819	
0.100000	0.950359	1.129619	66.500000	60.800000	50.213252	2.469747	
0.100000	0.908652	1.103659	68.144000	61.470000	62.530749	2.991636	
0.100000	0.861333	1.634178	69.820000	51.120000	80.437494	3.217661	
0.100000	0.836297	1.128790	70.750000	62.460000	79.419463	3.096212	
0.100000	0.814553	1.760119	71.594000	47.490000	51.948368	2.969072	
0.100000	0.801334	1.427395	72.010000	57.730000	80.474191	2.587082	
0.100000	0.778825	1.163225	73.078000	61.250000	82.398011	2.430341	
0.100000	0.762475	0.889716	73.466000	70.170000	83.243345	2.455331	
0.100000	0.756392	1.610019	73.778000	57.470000	67.932181	1.719607	
0.100000	0.745307	1.405971	74.190000	59.240000	40.464861	1.844086	
0.100000	0.729597	0.951691	74.648000	69.240000	39.570426	1.621086	
0.100000	0.730393	1.357230	74.776000	60.250000	41.514365	1.869353	
0.100000	0.714824	0.945017	75.236000	68.530000	40.505701	1.865964	
0.100000	0.708062	1.055968	75.380000	66.870000	41.909285	1.872358	
0.100000	0.706313	0.886656	75.578000	70.740000	40.585736	1.865757	
0.100000	0.702136	0.880163	75.514000	69.470000	40.319029	2.048896	
0.100000	0.702027	0.912959	75.670000	68.760000	41.503965	1.769196	
0.100000	0.695365	0.819777	75.946000	72.190000	39.921900	2.048725	
0.100000	0.688400	0.936763	76.058000	68.950000	40.959873	1.901918	
0.100000	0.676760	1.194166	76.564000	64.980000	78.265191	3.173419	
0.100000	0.683752	1.048749	76.048000	66.410000	80.239010	2.754511	
0.100000	0.677967	0.955512	76.476000	66.920000	80.387648	2.483374	
0.100000	0.672651	0.929118	76.492000	69.160000	81.645076	2.472666	
0.100000	0.665695	1.065715	77.060000	67.750000	78.947789	2.958284	
0.100000	0.656080	1.556439	77.326000	57.270000	63.364307	2.931787	
0.100000	0.652149	0.960904	77.530000	68.050000	78.882114	2.944402	
0.100000	0.640186	1.203592	77.908000	63.080000	80.187053	3.118493	
0.100000	0.636472	0.982689	78.130000	67.940000	79.314491	3.123984	
0.100000	0.632004	0.799812	78.114000	73.260000	78.920353	2.966745	
0.100000	0.652766	1.261921	77.420000	62.350000	52.182842	3.018618	
0.100000	0.651175	1.274914	77.632000	63.270000	79.819460	2.601637	
0.100000	0.637873	1.122983	77.888000	65.080000	80.182313	2.617519	
0.100000	0.628748	1.163238	78.314000	65.810000	79.493955	3.052870	
0.100000	0.623944	0.984722	78.528000	68.350000	79.025012	3.038562	
0.100000	0.649293	1.248250	77.618000	64.010000	74.940732	2.047672	
0.100000	0.641835	1.207618	77.898000	61.350000	42.738951	1.982790	
0.100000	0.630655	1.742757	78.054000	52.140000	39.952599	1.940129	
0.100000	0.628873	1.068612	78.172000	66.170000	41.180600	1.927832	
0.100000	0.616909	0.958328	78.622000	68.560000	40.200264	1.925284	
