LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.687405	2.004673	36.404000	32.460000	13.123808	0.882634	
0.100000	1.230874	1.344797	55.332000	54.250000	13.192009	0.803779	
0.100000	1.015385	1.137606	63.376000	60.210000	12.713519	0.676749	
0.100000	0.881971	1.278017	68.922000	58.680000	12.915909	0.873487	
0.100000	0.788866	1.335414	72.230000	60.990000	13.173265	0.845720	
0.100000	0.736744	0.950595	74.406000	67.730000	13.628903	0.841636	
0.100000	0.701047	0.825482	75.444000	72.840000	13.226844	0.858411	
0.100000	0.676594	1.303194	76.574000	63.320000	13.381755	0.903386	
0.100000	0.646512	0.741007	77.638000	74.790000	13.327911	0.682959	
0.100000	0.635857	0.896984	77.946000	70.060000	13.398240	0.825778	
0.100000	0.606843	0.818738	78.838000	73.860000	13.344654	0.880013	
0.100000	0.606294	0.944116	78.864000	69.930000	13.361282	0.896463	
0.100000	0.594139	0.703541	79.386000	76.570000	13.446632	0.791516	
0.100000	0.585581	0.952249	79.552000	69.930000	13.193384	0.902298	
0.100000	0.572979	0.831818	80.204000	72.440000	13.426615	0.682634	
0.100000	0.558906	0.727172	80.642000	76.660000	13.383481	0.864034	
0.100000	0.557626	0.776977	80.732000	74.420000	13.423581	0.864667	
0.100000	0.553697	0.701898	80.888000	76.630000	13.512975	0.835198	
0.100000	0.546434	0.729998	81.102000	75.290000	13.476488	0.877890	
0.100000	0.544760	1.176437	81.136000	64.500000	13.631629	0.852162	
0.100000	0.530394	0.952736	81.616000	69.510000	13.257550	0.848168	
0.100000	0.535391	0.770221	81.644000	74.870000	13.286454	0.893817	
0.100000	0.527987	0.847024	81.826000	73.300000	13.242113	0.853111	
0.100000	0.519760	0.716450	82.040000	77.060000	13.119069	0.864348	
0.100000	0.530234	0.840416	81.878000	72.090000	13.345850	0.824893	
0.100000	0.517024	0.960077	82.128000	69.090000	13.455877	0.923959	
0.100000	0.515199	0.671744	82.242000	77.160000	13.199068	0.817984	
0.100000	0.516471	0.774392	82.042000	74.780000	13.529352	0.864383	
0.100000	0.515754	0.683434	82.186000	77.670000	13.244855	0.841229	
0.100000	0.504544	0.786946	82.538000	74.100000	13.396256	0.896674	
0.100000	0.505985	0.999999	82.486000	68.640000	13.293304	0.891692	
0.100000	0.508004	0.874629	82.480000	72.430000	13.361695	0.852942	
0.100000	0.503991	0.746535	82.622000	75.630000	13.019581	0.843648	
0.100000	0.502877	0.636954	82.608000	78.770000	13.237495	0.886490	
0.100000	0.495602	1.139239	82.758000	67.390000	13.198807	0.802233	
0.100000	0.496884	0.655678	82.910000	79.140000	13.362081	0.885647	
0.100000	0.495656	0.815795	82.822000	75.150000	13.164130	0.811862	
0.100000	0.487320	0.717908	83.058000	76.260000	13.329420	0.884670	
0.100000	0.482738	0.749233	83.362000	75.680000	12.999996	0.893441	
0.100000	0.491478	0.594553	83.008000	80.190000	13.253903	0.848948	
0.100000	0.480143	0.732497	83.266000	75.250000	13.460003	0.834405	
0.100000	0.497320	0.682971	82.836000	77.200000	13.223018	0.830215	
0.100000	0.484041	0.997491	83.032000	70.480000	13.322896	0.844783	
0.100000	0.478078	0.711207	83.426000	76.180000	13.182043	0.877051	
0.100000	0.484812	1.108347	83.262000	68.780000	13.001083	0.874977	
0.100000	0.471863	0.639714	83.530000	77.990000	13.467963	0.859811	
0.100000	0.480549	0.618624	83.624000	79.480000	13.275681	0.898749	
0.100000	0.480381	0.952268	83.368000	70.290000	13.469458	0.905068	
0.100000	0.478878	0.710549	83.378000	76.800000	13.411678	0.873646	
0.100000	0.477171	0.947842	83.686000	71.710000	13.516537	0.774155	
0.100000	0.479221	0.635207	83.494000	78.400000	13.459709	0.855318	
0.100000	0.473742	0.752506	83.714000	74.560000	13.312607	0.869170	
0.100000	0.471222	0.665966	83.774000	77.950000	13.337180	0.802839	
0.100000	0.473916	0.625882	83.572000	79.890000	13.145254	0.881572	
0.100000	0.465673	1.185603	83.966000	68.090000	13.251812	0.875391	
0.100000	0.462432	0.614062	84.026000	79.400000	13.199344	0.901105	
0.100000	0.471680	0.707589	83.788000	77.120000	13.347318	0.904574	
0.100000	0.470506	0.763148	83.854000	76.080000	13.563162	0.854150	
0.100000	0.470622	0.784822	83.838000	75.440000	13.337363	0.914635	
0.100000	0.470994	0.766396	83.752000	74.410000	13.512679	0.891070	
0.100000	0.457297	0.935725	84.324000	72.070000	13.208020	0.884065	
0.100000	0.468063	0.734442	83.874000	76.100000	12.999982	0.833500	
0.100000	0.462691	0.739024	84.048000	76.040000	13.252903	0.779382	
0.100000	0.460611	0.763835	84.112000	74.910000	13.085098	0.884555	
0.100000	0.465141	0.800871	84.026000	74.800000	13.426443	0.878611	
0.100000	0.457027	0.857903	84.222000	73.890000	13.285346	0.890802	
0.100000	0.453096	0.610470	84.300000	79.690000	13.361552	0.886837	
0.100000	0.462674	0.602902	84.118000	79.950000	13.047147	0.851201	
0.100000	0.458096	0.982994	84.158000	71.190000	13.337176	0.980355	
