LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.773599	2.055680	31.806000	32.870000	30.796972	1.624001	
0.100000	1.443516	1.343169	46.504000	49.250000	29.875558	1.565377	
0.100000	1.278153	1.407408	53.154000	49.970000	30.016022	1.598468	
0.100000	1.152384	1.417449	58.418000	53.290000	33.247015	1.575055	
0.100000	1.074570	1.158606	61.288000	58.660000	16.734650	1.038599	
0.100000	1.016727	1.613259	63.518000	49.460000	29.976854	1.648182	
0.100000	0.969952	1.110876	65.430000	61.870000	32.928376	1.369169	
0.100000	0.935887	1.147703	66.752000	61.090000	32.442806	1.654742	
0.100000	0.902396	1.430167	68.088000	53.840000	30.951258	1.615228	
0.100000	0.874900	1.419529	69.324000	59.440000	30.236956	1.697111	
0.100000	0.853457	1.244780	70.206000	59.560000	19.939081	1.104094	
0.100000	0.839561	1.280284	70.786000	58.290000	30.341237	1.566243	
0.100000	0.821170	1.324993	71.380000	59.320000	30.110687	1.527495	
0.100000	0.809499	1.092215	71.710000	62.940000	30.637388	1.575496	
0.100000	0.792425	1.138935	72.334000	63.580000	33.497649	1.629878	
0.100000	0.774925	1.357588	72.926000	61.260000	30.393502	1.629741	
0.100000	0.781198	1.118575	72.722000	63.930000	33.161067	1.586363	
0.100000	0.766895	0.833558	73.468000	71.440000	16.643649	1.146191	
0.100000	0.761794	0.962366	73.596000	67.520000	32.950376	1.638872	
0.100000	0.748344	1.365271	74.078000	58.970000	29.710036	1.505102	
0.100000	0.740258	0.872214	74.264000	70.160000	33.300647	1.652456	
0.100000	0.747657	1.049504	73.922000	65.190000	30.092225	1.543575	
0.100000	0.745813	1.111075	74.058000	63.420000	30.284279	1.555737	
0.100000	0.736330	1.041618	74.574000	64.550000	32.534080	1.570503	
0.100000	0.728034	1.317317	74.810000	60.240000	15.748134	1.672598	
0.100000	0.721962	1.541643	74.960000	55.980000	30.788736	1.707882	
0.100000	0.725427	0.950266	74.752000	67.990000	30.887033	1.632827	
0.100000	0.718122	0.923888	75.042000	68.250000	34.367814	1.657132	
0.100000	0.719094	0.877652	75.128000	69.860000	31.208128	1.635035	
0.100000	0.710228	1.851053	75.284000	52.910000	30.645743	1.738021	
0.100000	0.706074	1.040231	75.518000	66.140000	15.900311	1.612501	
0.100000	0.706074	0.886988	75.464000	69.140000	32.975865	1.600585	
0.100000	0.708189	0.860093	75.302000	70.370000	30.500914	1.621675	
0.100000	0.700625	1.133230	75.746000	64.430000	31.176134	1.649625	
0.100000	0.702149	1.457242	75.682000	55.260000	32.172489	1.607125	
0.100000	0.693041	0.955828	76.076000	68.310000	30.089193	1.670479	
0.100000	0.697767	1.221800	75.854000	62.320000	31.440238	0.992525	
0.100000	0.694493	1.123051	75.776000	65.340000	20.044691	1.632982	
0.100000	0.704840	1.032378	75.704000	67.990000	32.612602	1.211476	
0.100000	0.691173	0.933617	75.982000	68.730000	33.786736	1.576646	
0.100000	0.690041	0.920606	75.952000	70.130000	31.841156	1.289991	
0.100000	0.693355	1.241452	75.982000	63.450000	33.057702	1.642948	
0.100000	0.690004	0.824232	76.124000	71.830000	30.568991	1.418588	
0.100000	0.687728	1.014942	76.148000	66.210000	26.034080	1.037304	
0.100000	0.687284	1.696605	76.148000	54.050000	25.693281	1.562746	
0.100000	0.685641	1.016876	76.430000	68.080000	32.414393	1.697883	
0.100000	0.684904	0.794159	76.370000	73.660000	30.658231	1.580765	
