LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.721613	1.884281	34.054000	35.960000	15.493874	0.968819	
0.100000	1.315032	1.311985	52.064000	52.070000	14.786558	1.003844	
0.100000	1.068019	1.660447	61.202000	52.030000	14.757507	1.041137	
0.100000	0.913833	1.213685	67.672000	60.330000	15.228734	1.102714	
0.100000	0.813868	1.148103	71.562000	61.720000	15.391782	1.050914	
0.100000	0.754825	1.385225	73.714000	59.790000	15.615965	1.058083	
0.100000	0.719265	1.157618	75.044000	61.560000	15.532665	1.105515	
0.100000	0.685383	0.866485	76.250000	71.420000	15.455684	1.076954	
0.100000	0.662374	1.229636	76.898000	62.590000	15.708688	1.051442	
0.100000	0.648800	0.867472	77.402000	70.320000	14.633549	1.051475	
0.100000	0.626646	0.972273	78.268000	69.910000	15.558858	0.985884	
0.100000	0.609803	1.341230	78.806000	63.510000	15.485704	1.135443	
0.100000	0.600957	0.803956	79.046000	72.000000	15.729956	1.027415	
0.100000	0.594512	0.824289	79.548000	71.810000	15.497859	1.032688	
0.100000	0.587557	0.675063	79.608000	76.570000	15.282801	1.022875	
0.100000	0.562317	0.701697	80.660000	75.450000	15.365555	0.982112	
0.100000	0.570516	1.102146	80.400000	64.740000	15.077286	0.963532	
0.100000	0.558715	0.669518	80.702000	76.780000	15.817695	0.998105	
0.100000	0.558300	0.722718	80.618000	76.400000	15.456493	1.029595	
0.100000	0.545308	0.659438	81.200000	77.690000	15.470607	1.020726	
0.100000	0.538152	0.778932	81.402000	73.510000	15.401312	1.008837	
0.100000	0.537588	1.009328	81.328000	69.120000	15.325459	1.093999	
0.100000	0.533646	0.711955	81.550000	75.490000	15.617969	1.077585	
0.100000	0.528966	1.168558	81.640000	67.120000	14.731094	1.021815	
0.100000	0.522842	0.789262	81.862000	72.720000	15.168987	0.990292	
0.100000	0.516781	0.692516	82.132000	77.100000	16.294546	1.046113	
0.100000	0.517592	0.644419	82.100000	78.200000	16.053961	0.994299	
0.100000	0.515385	0.770838	82.010000	73.890000	16.011926	1.092272	
0.100000	0.520097	0.772377	81.874000	75.360000	16.249896	1.087362	
0.100000	0.506319	0.981309	82.448000	70.770000	16.335587	1.092310	
0.100000	0.503016	1.016922	82.450000	69.300000	14.783547	1.047094	
0.100000	0.502616	0.732126	82.592000	75.690000	15.283939	1.124197	
0.100000	0.501252	0.691252	82.812000	76.860000	15.334696	1.040209	
0.100000	0.502805	0.870673	82.612000	73.950000	15.467177	1.055066	
0.100000	0.493849	0.672309	83.076000	77.620000	15.336478	1.030195	
0.100000	0.487841	0.793636	83.150000	75.120000	15.443651	1.009757	
0.100000	0.494487	0.894547	82.936000	71.750000	15.434886	1.055948	
0.100000	0.494233	0.740992	82.988000	75.790000	14.862905	0.967888	
0.100000	0.495133	0.751874	83.080000	74.810000	15.379554	1.006118	
0.100000	0.495838	0.744323	82.942000	75.650000	15.617285	1.035078	
0.100000	0.480282	0.650603	83.466000	78.320000	15.778332	1.061899	
0.100000	0.484855	0.793481	83.472000	72.650000	15.704890	1.032631	
0.100000	0.481818	0.796103	83.448000	74.920000	15.753035	1.048314	
0.100000	0.482914	0.845559	83.460000	73.640000	15.541300	1.041445	
0.100000	0.483459	0.969706	83.264000	71.110000	15.177872	0.957115	
0.100000	0.477440	0.678313	83.596000	77.800000	16.146664	1.036258	
0.100000	0.477016	0.696131	83.562000	77.850000	16.079271	1.132102	
0.100000	0.477046	0.608315	83.442000	80.230000	15.916519	1.092204	
0.100000	0.476882	0.711281	83.404000	76.570000	24.218277	1.652539	
0.100000	0.474254	1.005704	83.762000	71.100000	30.438582	1.769255	
0.100000	0.472254	0.953448	83.646000	71.190000	31.662473	1.549518	
0.100000	0.471833	1.070793	83.864000	67.830000	30.712527	1.689675	
0.100000	0.475217	0.664546	83.446000	77.260000	24.673258	1.263851	
0.100000	0.471965	1.141793	83.698000	65.750000	28.602266	1.712905	
0.100000	0.474135	0.803943	83.476000	73.810000	30.757326	1.691244	
0.100000	0.468549	0.815946	83.814000	73.490000	31.125623	1.604776	
0.100000	0.464499	0.726101	83.890000	76.170000	31.038102	1.556249	
0.100000	0.467287	1.419908	83.950000	63.870000	23.960536	1.199087	
0.100000	0.471662	0.925868	83.846000	70.420000	29.403850	1.620306	
0.100000	0.464770	0.694364	83.938000	76.580000	30.665053	1.764398	
0.100000	0.459992	0.742653	84.128000	75.190000	30.899179	1.645144	
0.100000	0.470116	0.787735	83.904000	73.830000	30.745459	1.794215	
0.100000	0.465055	0.637475	84.004000	78.630000	23.131335	1.108411	
0.100000	0.471107	0.669499	83.736000	77.630000	30.172554	1.735343	
0.100000	0.461951	0.967080	84.180000	70.470000	31.338028	1.689123	
0.100000	0.458156	0.771181	84.128000	75.550000	30.237411	1.787902	
0.100000	0.462639	0.823433	84.088000	74.330000	31.006156	1.691218	
0.100000	0.461708	1.054075	84.176000	69.470000	22.647221	1.255029	
0.100000	0.457912	0.618076	84.124000	79.440000	31.317956	1.501332	
0.100000	0.460662	0.687556	84.000000	77.480000	31.294978	1.516418	
0.100000	0.459064	0.608996	84.244000	79.510000	31.194946	1.767370	
0.100000	0.459967	0.656747	84.128000	78.180000	31.166328	1.687819	
0.100000	0.459945	0.614573	84.164000	79.490000	20.388548	1.263580	
0.100000	0.462670	0.847630	84.120000	72.410000	33.005930	1.545799	
0.100000	0.460322	0.738276	84.126000	75.710000	32.913699	1.279938	
0.100000	0.451577	0.714914	84.390000	75.580000	30.445471	1.804897	
0.100000	0.456531	0.775389	84.258000	74.360000	31.242610	1.854883	
0.100000	0.459576	1.202071	84.282000	63.500000	19.221236	1.239156	
0.100000	0.451316	0.702641	84.412000	76.620000	32.180007	1.475688	
0.100000	0.455416	0.595432	84.288000	80.310000	32.497003	1.396515	
0.100000	0.450370	0.914194	84.542000	72.010000	30.847119	1.715051	
0.100000	0.461425	0.921356	84.084000	73.140000	30.703178	1.745665	
0.100000	0.448965	1.041186	84.522000	70.970000	19.265523	1.642730	
0.100000	0.455731	0.866316	84.220000	73.720000	31.366860	1.684959	
0.100000	0.453869	0.675491	84.388000	78.560000	31.002469	1.463286	
0.100000	0.450720	0.792753	84.428000	74.870000	30.984512	1.588456	
0.100000	0.450599	0.638964	84.460000	78.890000	32.057204	1.556190	
0.100000	0.454640	0.648524	84.216000	78.470000	19.910349	1.546798	
0.100000	0.451462	0.609978	84.462000	78.980000	31.602911	1.756809	
0.100000	0.447517	0.614774	84.494000	79.390000	31.205696	1.591309	
0.100000	0.443108	0.928759	84.722000	70.970000	32.106883	1.650206	
0.100000	0.449632	0.913646	84.362000	73.840000	31.656532	1.087669	
0.010000	0.340803	0.378284	88.362000	87.120000	22.775200	1.671556	
0.010000	0.305389	0.369526	89.482000	87.430000	31.052398	1.672727	
0.010000	0.292879	0.367798	90.054000	87.740000	31.822781	1.720628	
0.010000	0.285556	0.376415	90.198000	87.460000	31.433632	1.545484	
0.010000	0.280945	0.356186	90.334000	87.920000	27.760729	1.055418	
0.010000	0.274746	0.361393	90.496000	87.500000	25.910744	1.729076	
0.010000	0.268503	0.355663	90.726000	87.870000	31.064143	1.758744	
0.010000	0.266978	0.361245	90.816000	87.810000	32.178099	1.624578	
0.010000	0.262322	0.359495	91.078000	87.970000	31.194142	1.758485	
0.010000	0.255984	0.357792	91.156000	87.990000	24.145141	1.094331	
0.010000	0.253241	0.371181	91.044000	87.580000	27.818707	1.670022	
0.010000	0.254302	0.369238	91.210000	87.770000	31.270151	1.530296	
0.010000	0.247523	0.405468	91.480000	86.890000	31.341421	1.697569	
0.010000	0.249389	0.373067	91.386000	87.630000	30.819271	1.773758	
0.010000	0.245543	0.372609	91.584000	87.420000	21.789235	1.136348	
0.010000	0.248676	0.364341	91.366000	87.810000	31.805453	1.543325	
0.010000	0.243950	0.367197	91.540000	87.710000	32.300225	1.375758	
0.010000	0.244096	0.365550	91.650000	88.150000	33.197970	1.214343	
0.010000	0.240338	0.372387	91.720000	87.660000	31.691371	1.650092	
0.010000	0.238113	0.373726	91.820000	87.860000	18.192108	1.503340	
0.010000	0.238084	0.376132	91.754000	87.720000	31.155951	1.600525	
0.010000	0.239599	0.363413	91.640000	88.010000	31.937995	1.659653	
0.010000	0.235925	0.370123	91.842000	87.820000	31.905125	1.509826	
0.010000	0.232256	0.391085	92.058000	87.150000	30.606502	1.014789	
0.010000	0.235135	0.384715	91.786000	87.410000	22.408694	1.634842	
0.010000	0.235308	0.368957	91.818000	87.720000	31.296872	1.507356	
0.010000	0.229175	0.380462	92.060000	87.800000	31.516744	1.724332	
0.010000	0.231130	0.401058	91.976000	87.320000	31.873317	1.611099	
0.010000	0.229893	0.382000	91.932000	87.580000	24.966858	1.073442	
0.010000	0.232352	0.399129	91.882000	87.400000	28.705835	1.650075	
0.010000	0.232530	0.400088	92.006000	87.310000	31.632720	1.579498	
0.010000	0.232648	0.416129	91.876000	86.960000	31.677401	1.564512	
0.010000	0.230247	0.378298	91.996000	87.850000	32.247045	1.622205	
0.010000	0.227987	0.379378	92.166000	87.870000	21.637684	1.111057	
0.010000	0.229592	0.405317	91.932000	87.000000	31.979271	1.514144	
0.010000	0.227721	0.407525	92.072000	87.200000	32.655794	1.455728	
0.010000	0.231219	0.435383	91.930000	85.970000	33.765431	1.228399	
0.010000	0.228864	0.439368	91.976000	86.170000	33.217900	1.486407	
0.010000	0.224067	0.390747	92.216000	87.360000	17.946106	1.442488	
0.010000	0.227679	0.397742	91.960000	87.430000	31.630198	1.586738	
0.010000	0.229489	0.413137	92.008000	86.380000	31.267318	1.674733	
0.010000	0.227050	0.414285	92.006000	86.730000	31.672686	1.574675	
0.010000	0.227628	0.428466	92.014000	86.130000	31.796647	1.566236	
0.010000	0.224969	0.414968	92.144000	86.910000	18.211183	1.602670	
0.010000	0.230518	0.395653	91.856000	87.250000	30.834689	1.747832	
0.010000	0.229390	0.416877	91.958000	86.550000	31.284929	1.629117	
0.010000	0.228935	0.419604	92.084000	86.240000	31.860439	1.746680	
0.010000	0.227794	0.379440	91.922000	87.880000	30.942742	1.623694	
0.010000	0.227055	0.411419	92.108000	86.760000	21.773962	1.726644	
0.010000	0.228506	0.475529	91.956000	85.500000	30.063567	1.696732	
0.010000	0.230463	0.418717	92.038000	86.420000	30.513762	1.635046	
0.010000	0.230591	0.415580	91.930000	87.060000	32.026842	1.739340	
0.010000	0.225574	0.417154	92.052000	86.410000	31.585123	1.661882	
0.010000	0.224760	0.445195	92.128000	85.780000	24.120285	1.600473	
0.010000	0.227208	0.434888	91.898000	86.130000	31.238250	1.548455	
0.010000	0.226905	0.403988	92.012000	87.040000	31.531948	1.764466	
0.010000	0.228477	0.396700	92.172000	87.180000	32.075077	1.637658	
0.001000	0.192892	0.339511	93.400000	88.860000	30.914465	1.741414	
0.001000	0.180855	0.339355	93.866000	88.860000	26.940704	1.624410	
0.001000	0.176384	0.338225	93.988000	88.960000	30.798667	1.523643	
0.001000	0.174203	0.340602	94.096000	89.020000	32.139513	1.701300	
0.001000	0.172455	0.341947	94.248000	89.040000	31.281214	1.719266	
0.001000	0.170698	0.343197	94.242000	89.080000	31.296822	1.638160	
0.001000	0.170602	0.344500	94.270000	88.870000	30.410094	1.675078	
0.001000	0.169362	0.344620	94.394000	89.150000	31.150925	1.689181	
0.001000	0.166421	0.340646	94.258000	89.120000	32.432493	1.534076	
0.001000	0.165962	0.343481	94.428000	89.080000	32.424218	1.350248	
0.001000	0.165871	0.342583	94.466000	89.180000	32.831430	1.375759	
0.001000	0.166208	0.345525	94.398000	88.950000	32.418494	1.267951	
0.001000	0.164209	0.340759	94.432000	89.310000	32.520806	1.361176	
0.001000	0.163519	0.341588	94.490000	88.920000	32.384066	1.322694	
0.001000	0.163613	0.346623	94.428000	88.970000	32.755650	1.406912	
0.001000	0.161447	0.348366	94.504000	89.100000	32.677185	1.339314	
0.001000	0.162822	0.349349	94.524000	89.080000	33.038362	1.526373	
0.001000	0.161176	0.346019	94.550000	89.060000	32.463722	1.395324	
0.001000	0.164366	0.345210	94.466000	89.050000	33.137290	1.454534	
0.001000	0.161623	0.348158	94.548000	88.900000	32.800575	1.368367	
0.001000	0.162955	0.349788	94.404000	88.850000	33.184042	1.493764	
0.001000	0.157719	0.350788	94.712000	89.080000	32.464289	1.442110	
0.001000	0.160404	0.349077	94.504000	88.820000	32.957746	1.351647	
0.001000	0.158952	0.353047	94.736000	88.910000	32.638394	1.375887	
0.001000	0.159009	0.352359	94.564000	88.970000	33.047676	1.099005	
0.001000	0.161104	0.354693	94.542000	88.750000	33.016095	1.146695	
0.001000	0.156694	0.361285	94.640000	88.940000	29.350233	1.646835	
0.001000	0.156310	0.348263	94.726000	89.120000	31.400012	1.578296	
0.001000	0.156469	0.353820	94.834000	88.940000	31.256659	1.718788	
0.001000	0.155790	0.353886	94.622000	88.930000	31.795854	1.668123	
0.001000	0.158754	0.350064	94.612000	89.020000	31.719806	1.695872	
0.010000	1.494550	1.125998	48.136000	60.680000	29.492610	2.004585	
0.010000	0.726652	0.730944	74.614000	75.670000	34.365571	1.814010	
0.010000	0.484439	0.565748	83.272000	81.580000	34.173040	1.770030	
0.010000	0.392223	0.465969	86.304000	84.840000	34.792092	1.578060	
0.010000	0.341761	0.450054	88.050000	85.370000	35.292178	1.584997	
0.010000	0.339693	0.484403	88.154000	84.190000	34.315507	1.399507	
0.010000	0.311472	0.443092	89.034000	85.770000	35.293109	1.836365	
0.010000	0.288761	0.417489	89.858000	86.360000	35.449243	1.796895	
0.010000	0.272943	0.417826	90.466000	86.530000	35.191639	1.790292	
0.010000	0.256314	0.405628	91.172000	86.910000	31.299387	1.233372	
0.010000	0.275484	0.441072	90.198000	85.620000	33.418246	1.794010	
0.010000	0.263736	0.402008	90.764000	87.050000	34.673581	1.687826	
0.010000	0.247253	0.415620	91.310000	86.640000	34.676085	1.758871	
0.010000	0.237460	0.396080	91.696000	87.230000	34.137265	1.964092	
0.010000	0.224279	0.370347	92.158000	88.310000	24.937322	1.234872	
0.010000	0.247861	0.485536	91.210000	84.940000	33.625825	1.877993	
0.010000	0.237267	0.437157	91.664000	86.590000	34.464101	1.709409	
0.010000	0.227282	0.390457	92.118000	87.870000	34.419932	1.803811	
0.010000	0.216267	0.366741	92.266000	87.960000	34.324489	1.707053	
0.010000	0.207352	0.370182	92.804000	88.460000	21.374940	1.767403	
0.010000	0.224791	0.479599	92.198000	85.530000	35.062483	1.605413	
0.010000	0.227109	0.419215	92.102000	86.320000	34.597510	1.802879	
0.010000	0.214764	0.380896	92.498000	88.140000	33.515609	1.944356	
0.010000	0.202795	0.417958	92.960000	86.940000	32.377870	1.200895	
0.010000	0.196776	0.382803	93.068000	87.570000	27.645516	1.904387	
0.010000	0.211747	0.454366	92.570000	85.870000	34.237124	1.618678	
0.010000	0.212809	0.429745	92.584000	86.450000	35.197848	1.805089	
0.010000	0.200399	0.376986	93.058000	88.160000	34.439275	1.854821	
0.010000	0.193834	0.394499	93.160000	87.680000	24.413872	1.310707	
0.010000	0.181655	0.408659	93.642000	87.390000	35.422585	1.324449	
0.010000	0.206273	0.397079	92.732000	87.340000	33.919759	1.748747	
0.010000	0.200755	0.527069	92.856000	84.340000	34.181118	1.761435	
0.010000	0.191682	0.395147	93.308000	87.620000	33.916500	1.963567	
0.010000	0.178574	0.394585	93.732000	87.800000	21.970970	1.822368	
0.010000	0.172377	0.402088	94.060000	88.150000	33.953560	1.734056	
0.010000	0.193947	0.500115	93.154000	85.260000	34.187089	1.787736	
0.010000	0.190733	0.468393	93.218000	86.140000	33.188699	1.788452	
0.010000	0.181768	0.421041	93.736000	87.190000	32.447928	1.143538	
0.010000	0.171413	0.422524	94.002000	87.010000	33.100907	1.853249	
0.010000	0.161442	0.388611	94.464000	87.950000	33.983749	1.641617	
0.010000	0.190506	0.408075	93.260000	87.370000	33.517755	1.815752	
0.010000	0.184341	0.405472	93.484000	87.420000	34.669158	1.842384	
0.010000	0.177535	0.427096	93.770000	87.030000	26.603787	1.915577	
0.010000	0.162501	0.413237	94.402000	87.720000	35.162966	1.827787	
0.010000	0.156178	0.382988	94.622000	88.560000	35.075913	1.759246	
0.010000	0.180268	0.448372	93.496000	86.900000	34.517120	1.891651	
0.010000	0.176619	0.484301	93.756000	85.560000	24.155212	1.320617	
0.010000	0.166746	0.389823	94.162000	88.200000	36.503338	1.659181	
0.010000	0.154892	0.397943	94.662000	87.990000	36.092588	1.687162	
0.010000	0.144621	0.402690	95.026000	87.850000	35.382908	1.934788	
0.010000	0.175789	0.469320	93.736000	85.820000	34.455826	1.799546	
0.010000	0.173492	0.379770	93.872000	87.910000	21.365300	1.944265	
0.010000	0.160186	0.392251	94.450000	88.150000	34.965574	1.830570	
0.010000	0.148684	0.439734	94.798000	87.090000	34.513487	1.811782	
0.010000	0.140235	0.381566	95.194000	88.410000	34.330517	1.855302	
0.010000	0.169617	0.446842	94.038000	86.790000	35.335209	1.114253	
0.010000	0.167128	0.437294	94.090000	86.980000	24.204641	1.734968	
0.010000	0.156926	0.423120	94.538000	87.130000	34.389714	1.848566	
0.010000	0.143728	0.380848	94.966000	88.540000	35.441229	1.858792	
0.010000	0.135273	0.385008	95.296000	88.420000	34.523562	1.875549	
0.010000	0.169945	0.499086	94.112000	84.950000	28.230128	0.887957	
0.010000	0.164168	0.403365	94.188000	87.230000	29.721619	1.741010	
0.010000	0.156991	0.397321	94.528000	87.690000	34.724146	1.806059	
0.010000	0.147836	0.407048	94.978000	87.570000	34.750397	1.751382	
0.010000	0.137257	0.397990	95.188000	88.120000	34.662722	1.770701	
0.010000	0.162855	0.483049	94.290000	85.520000	23.295486	1.382054	
0.010000	0.154924	0.406925	94.626000	87.560000	35.131781	1.503145	
0.010000	0.150284	0.410094	94.772000	87.670000	36.127541	1.417604	
0.010000	0.138417	0.407104	95.266000	87.880000	35.860131	1.575608	
0.010000	0.127627	0.391914	95.638000	88.040000	35.546166	1.664572	
0.010000	0.154119	0.575665	94.590000	84.250000	20.488627	1.815308	
0.010000	0.156219	0.451332	94.508000	86.700000	34.624507	1.773486	
0.010000	0.146131	0.397087	94.880000	88.010000	34.840676	1.813414	
0.010000	0.134837	0.401881	95.384000	88.370000	35.022972	1.767488	
0.010000	0.119843	0.425687	95.938000	87.150000	34.296134	1.741999	
0.010000	0.152879	0.513272	94.618000	84.830000	21.684187	1.786307	
0.010000	0.151621	0.487288	94.618000	85.640000	34.835108	1.833448	
0.010000	0.142171	0.434259	95.104000	87.360000	34.612095	1.748503	
0.010000	0.134143	0.446302	95.334000	86.670000	34.323449	1.729960	
0.010000	0.120890	0.356538	95.856000	89.650000	34.441244	1.896590	
0.010000	0.148642	0.493945	94.796000	85.720000	26.312927	1.802668	
0.010000	0.144982	0.443574	94.942000	86.930000	35.022714	1.810404	
0.010000	0.134130	0.392026	95.362000	88.240000	34.577859	1.827129	
0.010000	0.126137	0.376733	95.712000	88.870000	34.888747	1.821326	
0.010000	0.114347	0.404209	96.102000	88.130000	34.110326	1.793482	
0.010000	0.142136	0.431685	95.048000	87.420000	31.992512	1.830154	
0.010000	0.145414	0.391755	94.904000	88.160000	34.914684	1.705355	
0.010000	0.131931	0.424136	95.432000	87.630000	34.828235	1.991773	
0.010000	0.117236	0.364380	96.020000	88.980000	35.703064	1.644522	
0.010000	0.113446	0.364235	96.068000	89.210000	35.896263	1.551752	
0.010000	0.142607	0.435690	95.048000	87.250000	36.466447	1.601346	
0.010000	0.144567	0.441692	94.972000	87.440000	36.436267	1.491675	
