LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.758105	1.932815	33.280000	34.950000	11.639377	0.684175	
0.100000	1.354001	1.670158	50.644000	45.730000	11.542217	0.700082	
0.100000	1.117280	1.526209	59.832000	51.340000	11.554058	0.774560	
0.100000	0.973876	1.371803	65.102000	54.700000	11.558708	0.754404	
0.100000	0.861907	1.083977	69.580000	63.670000	11.638793	0.712826	
0.100000	0.780472	0.947706	72.642000	68.930000	11.665939	0.765276	
0.100000	0.722875	1.213447	74.738000	61.430000	11.746838	0.808440	
0.100000	0.687977	0.979502	76.102000	67.960000	11.700839	0.782125	
0.100000	0.668639	0.913775	76.686000	68.980000	11.705680	0.786628	
0.100000	0.638324	1.316094	77.810000	59.950000	11.753705	0.790625	
0.100000	0.622167	0.698418	78.420000	76.010000	11.685784	0.687728	
0.100000	0.610256	0.730314	79.026000	75.590000	11.698007	0.798224	
0.100000	0.605242	0.909552	79.108000	69.840000	11.684904	0.688098	
0.100000	0.583261	0.798934	79.838000	74.020000	11.449474	0.721976	
0.100000	0.575368	0.957849	80.140000	70.640000	11.643595	0.716906	
0.100000	0.562096	0.800726	80.792000	75.010000	11.747730	0.743215	
0.100000	0.560255	0.873414	80.834000	70.600000	11.679108	0.691670	
0.100000	0.547905	1.037086	80.816000	67.420000	11.588896	0.674470	
0.100000	0.541679	0.855319	81.334000	72.320000	11.559113	0.739380	
0.100000	0.544504	0.731162	81.074000	75.650000	11.603011	0.672748	
0.100000	0.527338	1.260126	81.694000	63.440000	11.531722	0.710382	
0.100000	0.528221	0.838165	81.818000	71.930000	11.517614	0.752025	
0.100000	0.525326	1.136121	81.934000	67.200000	11.634867	0.675400	
0.100000	0.527952	0.727831	81.856000	76.180000	11.670287	0.729112	
0.100000	0.525526	0.755783	82.084000	74.110000	11.647583	0.733256	
0.100000	0.516032	0.891093	82.100000	72.900000	11.525913	0.804362	
0.100000	0.510197	0.697200	82.504000	76.880000	11.477347	0.744885	
0.100000	0.505984	0.999519	82.506000	69.760000	11.359276	0.741152	
0.100000	0.509074	0.993383	82.394000	69.320000	11.736058	0.712867	
0.100000	0.504730	0.787444	82.506000	73.830000	11.628045	0.760859	
0.100000	0.493989	0.740886	82.862000	75.480000	11.649533	0.780805	
0.100000	0.505076	0.607705	82.368000	79.320000	11.408534	0.752264	
0.100000	0.496077	0.641565	82.850000	79.310000	11.565184	0.717683	
0.100000	0.492604	0.833989	83.002000	73.260000	11.356627	0.788179	
0.100000	0.494353	0.733049	82.966000	76.190000	11.342845	0.759990	
0.100000	0.484874	1.249080	83.334000	64.990000	11.737096	0.726274	
0.100000	0.484656	1.194156	83.246000	65.790000	11.613429	0.774705	
0.100000	0.483516	0.664970	83.122000	77.730000	11.700087	0.785949	
0.100000	0.487040	0.612616	83.230000	79.570000	11.734175	0.745465	
0.100000	0.478652	0.683137	83.618000	77.520000	11.474345	0.745976	
0.100000	0.478356	0.858721	83.508000	73.830000	11.322999	0.742936	
0.100000	0.478728	0.739229	83.622000	76.880000	11.562228	0.730837	
0.100000	0.479998	0.824315	83.456000	73.490000	11.487558	0.744320	
0.100000	0.477521	0.694646	83.542000	76.630000	11.448635	0.732398	
0.100000	0.471815	0.633838	83.806000	78.540000	11.485347	0.765201	
0.100000	0.469207	0.759052	83.712000	74.400000	11.809302	0.727129	
0.100000	0.486365	0.732781	83.188000	76.520000	11.712131	0.746141	
0.100000	0.474349	0.709300	83.556000	76.100000	11.592647	0.735389	
0.100000	0.472431	0.944489	83.804000	72.610000	11.744634	0.752785	
0.100000	0.466530	0.724135	84.070000	75.780000	11.603016	0.775103	
0.100000	0.466500	0.859954	83.950000	73.470000	11.666502	0.731265	
0.100000	0.474997	1.015867	83.490000	69.610000	11.574425	0.731174	
0.100000	0.463345	1.072634	84.086000	68.640000	11.557337	0.796770	
0.100000	0.474307	0.652523	83.866000	77.590000	11.603246	0.766390	
0.100000	0.468331	0.685548	83.962000	77.120000	11.561542	0.770382	
0.100000	0.451624	0.971637	84.516000	70.800000	11.542315	0.701171	
0.100000	0.467603	0.766220	83.886000	75.460000	11.461529	0.760482	
0.100000	0.464568	0.968284	84.024000	70.370000	11.588197	0.748132	
0.100000	0.466725	0.654384	83.972000	77.850000	11.496997	0.716038	
0.100000	0.460770	0.822710	84.284000	73.790000	11.547665	0.718401	
0.100000	0.456752	0.792218	84.308000	74.770000	11.465538	0.730962	
0.100000	0.458300	0.777173	84.070000	76.050000	11.287695	0.759745	
0.100000	0.457930	0.559616	84.170000	81.110000	11.550717	0.725656	
0.100000	0.457210	0.883509	84.112000	72.900000	11.387954	0.718568	
0.100000	0.463292	0.710093	84.118000	75.710000	11.616998	0.801743	
0.100000	0.452616	0.771813	84.406000	74.090000	11.687112	0.728002	
0.100000	0.455959	0.605218	84.478000	80.180000	11.486198	0.781722	
