LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.775184	1.541236	42.660000	33.092000	42.660000	13.827370	0.798297	
0.100000	1.362738	1.440118	42.660000	50.102000	51.300000	14.279034	0.941895	
0.100000	1.101995	1.150638	46.980000	60.534000	58.530000	13.988693	0.871294	
0.100000	0.946960	1.014261	51.081600	66.544000	64.640000	14.738872	0.991335	
0.100000	0.837468	1.156275	54.793333	70.406000	62.260000	15.038963	1.124370	
0.100000	0.769668	0.924712	55.958751	73.030000	67.860000	15.253980	1.094203	
0.100000	0.725420	0.911776	58.083164	74.752000	69.510000	14.961547	1.029026	
0.100000	0.690192	1.076629	59.752303	76.262000	66.770000	15.220548	1.017214	
0.100000	0.669990	0.822474	60.304283	76.820000	72.420000	15.499667	1.077108	
0.100000	0.645609	1.410039	61.748387	77.470000	58.000000	16.563335	1.373761	
0.100000	0.622356	0.868110	60.368383	78.434000	70.980000	16.895330	1.200373	
0.100000	0.605589	0.807862	61.432275	78.998000	73.320000	16.586915	1.176623	
0.100000	0.608531	0.798505	62.553528	78.934000	73.170000	16.666444	1.307675	
0.100000	0.595315	0.748881	63.384738	79.346000	74.890000	16.882981	1.173716	
0.100000	0.577022	1.273174	64.250082	80.222000	62.230000	16.904260	1.249901	
0.100000	0.569683	0.777221	63.447782	80.206000	74.000000	16.686864	1.194575	
0.100000	0.566502	0.811024	64.145192	80.622000	72.990000	16.606684	1.152686	
0.100000	0.554942	0.825192	64.603858	80.642000	73.140000	16.767702	1.204171	
0.100000	0.550396	0.894855	64.999179	80.944000	72.060000	16.496902	1.212598	
0.100000	0.540899	1.494006	65.228557	81.392000	61.810000	16.895278	1.255775	
0.100000	0.533879	0.620946	64.494975	81.498000	78.940000	16.621181	1.330350	
0.100000	0.528933	1.326126	65.384189	81.882000	65.610000	16.540390	1.171087	
0.100000	0.529987	1.181977	65.022167	81.602000	64.770000	16.624964	1.178662	
0.100000	0.520669	1.026771	64.656066	81.904000	69.030000	16.737448	1.142993	
0.100000	0.514914	0.969758	64.677243	82.354000	69.860000	16.889542	1.250092	
0.100000	0.512233	1.224369	64.759638	82.280000	61.640000	16.604823	1.156024	
0.100000	0.511615	0.800313	64.245820	82.314000	73.650000	16.427771	1.203997	
0.100000	0.498853	0.782298	64.632269	82.816000	74.980000	16.927832	1.114676	
0.100000	0.497387	0.726154	65.057768	82.934000	76.370000	16.706039	1.197337	
0.100000	0.499032	0.690061	65.520606	82.692000	76.740000	16.904988	1.153560	
0.100000	0.493605	0.791176	67.493450	82.962000	74.910000	16.750709	1.191744	
0.100000	0.491437	0.646769	69.017117	82.948000	78.990000	16.666334	1.133991	
0.100000	0.486352	0.696495	70.543800	83.386000	76.900000	16.798414	1.206807	
0.100000	0.486281	0.751883	70.609821	83.264000	76.340000	16.786063	1.186124	
0.100000	0.478364	0.555077	71.789054	83.476000	81.300000	17.011717	1.257046	
0.100000	0.483298	0.740689	72.641190	83.500000	75.860000	16.660517	1.197887	
0.100000	0.474357	0.668018	72.452757	83.740000	78.300000	16.460193	1.198226	
0.100000	0.475223	0.628162	73.646771	83.602000	80.390000	16.788689	1.174329	
0.100000	0.475943	0.644733	71.997240	83.546000	78.670000	16.946620	1.149776	
0.100000	0.467185	0.658020	74.304150	84.002000	77.520000	16.928019	1.198481	
0.100000	0.469531	0.855581	74.849898	83.732000	73.430000	16.695679	1.184334	
0.100000	0.467239	1.258436	74.736608	83.884000	64.280000	16.555040	1.161991	
0.100000	0.460664	0.891210	74.310634	84.256000	72.420000	16.719299	1.260953	
0.100000	0.462080	0.633119	72.358508	83.988000	78.940000	16.759790	1.220969	
0.100000	0.459943	0.666393	74.484610	84.212000	77.610000	16.854261	1.167495	
0.100000	0.457118	0.805349	74.540241	84.340000	72.860000	16.786479	1.156432	
0.100000	0.455970	0.626974	74.453522	84.276000	79.080000	16.490008	1.203594	
0.100000	0.446498	0.734567	74.595878	84.442000	77.210000	16.787280	1.281037	
0.100000	0.451373	0.701758	73.282775	84.556000	77.380000	16.853386	1.233255	
0.100000	0.449158	0.607828	76.023452	84.356000	79.600000	16.847711	1.137684	
0.100000	0.447907	0.663908	74.327191	84.650000	78.390000	16.722419	1.186240	
0.100000	0.441272	0.745533	74.467876	84.730000	76.200000	16.615734	1.254264	
0.100000	0.452795	0.740657	75.195459	84.340000	75.640000	16.837688	1.293996	
0.100000	0.449875	0.716023	75.344125	84.504000	76.970000	16.467215	1.263613	
