LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.778845	1.698334	33.284000	38.890000	17.083258	0.942981	
0.100000	1.351403	1.362156	50.400000	52.870000	17.233157	0.977563	
0.100000	1.071053	1.822227	61.292000	49.410000	17.342681	0.966815	
0.100000	0.913980	1.157195	67.358000	62.080000	17.346010	0.992838	
0.100000	0.808396	1.506288	71.716000	56.080000	17.328179	0.957314	
0.100000	0.740569	1.057466	74.096000	65.960000	16.660108	0.981883	
0.100000	0.697427	1.116218	75.788000	64.450000	16.778628	0.967628	
0.100000	0.668093	0.904627	76.726000	69.580000	16.881404	0.966155	
0.100000	0.635432	0.952708	77.918000	68.450000	16.961468	0.963192	
0.100000	0.617450	1.141892	78.676000	64.760000	16.880121	0.973757	
0.100000	0.602631	0.776469	79.084000	73.720000	16.969969	0.986058	
0.100000	0.582863	0.862060	79.866000	73.020000	17.042138	0.949650	
0.100000	0.571452	0.777133	80.154000	73.240000	17.327534	0.966070	
0.100000	0.563291	0.850106	80.514000	71.410000	17.313175	0.951715	
0.100000	0.559557	0.842236	80.704000	72.000000	17.283678	0.964806	
0.100000	0.549488	1.221114	81.204000	64.500000	16.938556	0.987134	
0.100000	0.538535	0.651689	81.454000	78.250000	17.151753	0.953420	
0.100000	0.529419	0.663365	81.728000	77.530000	17.262593	0.959763	
0.100000	0.527455	0.833681	81.778000	72.950000	17.254879	0.949687	
0.100000	0.520300	0.905151	82.136000	71.900000	17.310972	0.965813	
0.100000	0.509273	0.852594	82.404000	72.370000	16.839221	1.001950	
0.100000	0.511814	0.781126	82.274000	74.150000	17.041764	0.942223	
0.100000	0.504027	1.067068	82.734000	68.050000	16.932767	0.959067	
0.100000	0.498430	1.115592	82.956000	66.090000	17.230860	0.973522	
0.100000	0.499275	0.709113	82.754000	76.790000	17.112199	0.956994	
0.100000	0.491770	1.130647	83.070000	67.420000	16.520417	0.958318	
0.100000	0.491739	0.775613	83.090000	75.130000	17.100368	0.948090	
0.100000	0.489296	0.695323	83.226000	76.850000	16.991070	1.006277	
0.100000	0.480374	0.844730	83.514000	73.580000	16.961830	0.988879	
0.100000	0.477452	1.336558	83.576000	60.820000	16.999036	0.958428	
0.100000	0.467644	0.864370	83.786000	73.040000	16.765558	0.971183	
0.100000	0.477647	0.662549	83.380000	77.760000	16.628562	0.983008	
0.100000	0.470303	0.622456	83.636000	80.170000	16.774114	0.968580	
0.100000	0.469861	0.848809	83.778000	73.230000	17.104273	0.971744	
0.100000	0.463789	0.637174	84.072000	78.870000	17.085377	0.967080	
0.100000	0.465736	1.158688	83.894000	68.200000	16.995339	0.935973	
0.100000	0.456604	0.822195	84.238000	73.900000	16.864826	0.965177	
0.100000	0.456635	0.730166	84.322000	75.820000	17.189525	0.959286	
0.100000	0.454411	0.734550	84.270000	76.030000	17.187077	1.013616	
0.100000	0.458237	0.775453	84.082000	76.540000	16.972271	0.931998	
0.100000	0.435377	0.686703	85.024000	76.700000	16.873524	0.974287	
0.100000	0.450256	1.224303	84.496000	64.220000	17.130062	0.971311	
0.100000	0.442493	0.572577	84.806000	81.630000	17.007636	0.972596	
0.100000	0.446188	0.867635	84.764000	72.370000	17.167769	0.999435	
0.100000	0.453410	0.577922	84.330000	80.770000	17.109850	0.954758	
0.100000	0.434308	0.698259	85.116000	76.700000	16.699753	0.973400	
0.100000	0.447806	0.974214	84.520000	71.540000	17.079250	0.963266	
0.100000	0.443436	0.730170	84.734000	76.120000	17.121841	0.962571	
0.100000	0.438612	0.617738	84.770000	79.160000	17.019717	0.947267	
0.100000	0.442936	0.608030	84.714000	79.900000	17.192566	0.967805	
0.100000	0.424423	0.633051	85.424000	78.500000	16.777447	0.953758	
0.100000	0.435502	1.052980	85.086000	68.290000	16.893384	0.989521	
0.100000	0.437116	0.791925	84.796000	74.740000	16.961194	0.942708	
0.100000	0.431600	0.611098	85.194000	80.080000	17.073743	0.946525	
0.100000	0.428675	0.826225	85.178000	75.340000	17.241719	0.939706	
0.100000	0.423389	0.803247	85.346000	74.610000	16.680585	0.950010	
0.100000	0.426578	0.971648	85.276000	72.650000	16.952522	0.955126	
0.100000	0.434971	1.400295	84.822000	64.600000	16.860516	0.942841	
0.100000	0.429345	0.615260	84.986000	79.560000	17.025392	0.990611	
0.100000	0.426897	0.685627	85.410000	77.500000	17.069260	0.938118	
0.100000	0.422367	0.690004	85.478000	77.430000	16.835656	0.983930	
0.100000	0.432608	1.175393	85.138000	68.270000	17.086642	0.956156	
0.100000	0.417663	0.797921	85.674000	74.090000	17.154088	0.951378	
0.100000	0.427562	0.731048	85.170000	76.360000	17.273694	0.944927	
0.100000	0.423376	0.983473	85.510000	69.800000	17.255888	0.991680	
0.100000	0.412593	0.590073	85.814000	81.550000	16.757467	0.961706	
0.100000	0.424701	0.604798	85.448000	79.500000	16.996519	0.958055	
0.100000	0.419829	0.698264	85.614000	77.700000	17.230551	0.947774	
0.100000	0.410035	0.651920	85.864000	78.660000	16.943904	0.982210	
0.100000	0.421355	0.644378	85.520000	78.090000	17.111325	0.934549	
0.100000	0.408343	0.559723	86.092000	81.570000	16.836666	0.958962	
0.100000	0.418129	0.741361	85.746000	76.390000	16.851387	0.953061	
0.100000	0.415478	0.772658	85.648000	74.850000	16.956489	0.994782	
0.100000	0.418584	0.667804	85.548000	78.120000	16.908167	0.963717	
0.100000	0.410908	0.886574	85.824000	73.160000	17.084293	0.973665	
0.100000	0.406571	0.645412	86.168000	78.640000	17.050182	0.966927	
0.100000	0.412766	0.751069	85.794000	76.810000	17.125291	0.966944	
0.100000	0.409037	0.628834	85.972000	79.550000	17.315506	0.985957	
0.100000	0.415314	0.810116	85.742000	76.410000	17.425014	0.966971	
