LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.712990	1.600730	35.618000	43.730000	24.774684	1.211105	
0.100000	1.261949	1.942186	54.266000	40.930000	24.647234	1.292093	
0.100000	1.016277	1.164176	63.738000	59.810000	24.693665	1.203455	
0.100000	0.876874	1.398598	68.906000	57.710000	24.320547	1.255531	
0.100000	0.793439	1.166813	72.272000	61.170000	15.723545	1.220661	
0.100000	0.730918	1.075849	74.312000	65.170000	24.349907	1.271199	
0.100000	0.708481	1.408123	75.278000	59.950000	24.403657	1.280449	
0.100000	0.677517	0.861858	76.350000	70.920000	24.590389	1.320767	
0.100000	0.651412	1.056347	77.264000	65.240000	24.448594	1.327304	
0.100000	0.632727	1.531481	78.034000	59.780000	15.948835	1.250981	
0.100000	0.613481	1.104598	78.788000	66.210000	24.478521	1.231065	
0.100000	0.606739	0.920835	78.902000	71.160000	24.401272	1.266037	
0.100000	0.599431	0.919971	79.240000	70.280000	24.575953	1.318887	
0.100000	0.579121	1.623688	80.058000	58.360000	24.165945	1.115359	
0.100000	0.577018	1.878001	80.094000	52.840000	15.748437	1.257843	
0.100000	0.563249	0.782999	80.628000	73.530000	24.255111	1.278502	
0.100000	0.556162	1.012243	80.766000	69.720000	24.413387	1.247524	
0.100000	0.553777	0.936724	81.106000	70.660000	24.269482	1.328367	
0.100000	0.550701	0.734464	80.966000	75.600000	24.417423	1.286617	
0.100000	0.538004	1.004147	81.424000	68.610000	15.513437	1.341105	
0.100000	0.533512	0.787793	81.488000	74.620000	24.521688	1.207122	
0.100000	0.532286	0.736591	81.868000	75.540000	24.515238	1.278283	
0.100000	0.526860	0.676185	81.892000	77.660000	24.803673	1.290398	
0.100000	0.526031	0.900044	81.712000	72.350000	24.588016	1.248873	
0.100000	0.518649	0.643986	82.004000	78.490000	15.825556	1.277282	
0.100000	0.511007	0.818437	82.424000	73.530000	24.941519	1.302837	
0.100000	0.526042	0.893768	81.756000	71.980000	24.620144	1.256606	
0.100000	0.507047	1.060609	82.462000	70.070000	24.678010	1.244122	
0.100000	0.510849	0.689828	82.484000	77.410000	24.248826	1.282304	
0.100000	0.503231	0.794855	82.760000	74.850000	15.795922	1.315091	
0.100000	0.497653	0.865890	82.738000	72.980000	24.583080	1.332738	
0.100000	0.495718	0.788879	82.824000	74.770000	24.504849	1.305702	
0.100000	0.501134	1.008050	82.782000	69.270000	24.041462	1.324170	
0.100000	0.492890	0.984729	82.940000	70.670000	24.324319	1.308202	
0.100000	0.493884	0.776667	83.044000	74.980000	15.482006	1.326595	
0.100000	0.488649	0.911845	83.090000	72.810000	24.527637	1.340852	
0.100000	0.490463	0.903036	83.178000	71.980000	24.557766	1.350192	
0.100000	0.483770	0.885381	83.500000	73.040000	24.513817	1.284675	
0.100000	0.487216	0.821106	83.128000	73.340000	24.400887	1.289835	
0.100000	0.493496	0.988208	82.942000	71.610000	15.868514	1.274378	
0.100000	0.470453	0.947168	83.830000	71.140000	24.651564	1.266704	
0.100000	0.475013	0.782096	83.810000	75.010000	24.775360	1.268347	
0.100000	0.481362	1.058226	83.420000	70.250000	24.857554	1.334181	
0.100000	0.474689	1.067907	83.628000	67.610000	24.477431	1.226192	
0.100000	0.485962	0.636616	83.512000	79.060000	16.123867	1.210890	
0.100000	0.466366	0.844748	83.972000	74.580000	24.506768	1.245341	
0.100000	0.477863	0.818474	83.726000	74.040000	24.627992	1.266992	
0.100000	0.468978	1.040399	83.912000	68.160000	24.150728	1.362022	
0.100000	0.477722	0.667913	83.588000	78.220000	24.466655	1.298744	
0.100000	0.477847	0.558053	83.566000	80.740000	15.561630	1.268087	
0.100000	0.465270	0.962510	84.086000	71.050000	24.670667	1.287154	
0.100000	0.473689	0.774231	83.768000	74.460000	24.517359	1.289708	
0.100000	0.469931	1.291365	83.570000	63.970000	24.596655	1.293929	
0.100000	0.472456	0.875573	83.866000	73.650000	24.523295	1.284410	
0.100000	0.467739	1.361055	83.868000	63.740000	15.749806	1.232932	
0.100000	0.467096	0.762327	83.798000	74.910000	24.751318	1.242008	
0.100000	0.462783	1.169713	83.968000	66.480000	24.114655	1.272994	
0.100000	0.464586	0.614406	84.068000	79.710000	24.446771	1.281331	
0.100000	0.467829	1.166824	83.934000	64.200000	24.475949	1.300767	
0.100000	0.467447	0.725532	83.784000	75.240000	15.634001	1.282092	
0.100000	0.454746	0.853680	84.526000	72.700000	24.310775	1.271280	
0.100000	0.462139	0.747914	84.124000	75.760000	24.538376	1.123597	
0.100000	0.455861	0.811681	84.432000	73.690000	24.466733	1.267418	
0.100000	0.461030	0.693961	84.222000	78.130000	24.261757	1.287381	
0.100000	0.461355	0.908052	84.146000	72.820000	15.464890	1.311113	
0.100000	0.458056	0.742174	84.162000	76.800000	24.266243	1.284631	
0.100000	0.455070	0.894324	84.476000	74.350000	24.572348	1.323680	
0.100000	0.454069	0.689396	84.390000	78.400000	24.391996	1.220596	
0.100000	0.457096	0.568365	84.246000	80.460000	24.384407	1.311800	
0.100000	0.455603	0.935520	84.344000	71.960000	15.761214	1.203990	
0.100000	0.452305	0.970614	84.370000	71.160000	24.751372	1.343668	
0.100000	0.454338	0.697865	84.318000	77.250000	24.635650	1.267066	
0.100000	0.450048	0.752129	84.510000	75.880000	24.753148	1.239264	
0.100000	0.454334	0.691632	84.444000	77.310000	24.833850	1.142089	
0.100000	0.453409	0.741719	84.350000	75.810000	16.364338	1.267207	
0.100000	0.448266	0.784158	84.456000	75.360000	24.973409	1.157035	
0.100000	0.448324	0.816717	84.414000	74.730000	24.665159	1.095036	
0.100000	0.452890	0.632487	84.454000	79.020000	24.710162	1.154246	
0.100000	0.452413	0.668322	84.420000	77.520000	24.744648	1.163174	
0.100000	0.455881	0.879227	84.202000	74.050000	16.241843	1.270665	
0.100000	0.445808	0.827762	84.536000	73.770000	24.746058	1.103293	
0.100000	0.448696	1.352008	84.470000	62.740000	24.878669	1.059299	
