LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.720378	1.629139	35.244000	43.180000	26.356027	1.486821	
0.100000	1.278008	1.221672	53.342000	56.110000	27.048069	1.371342	
0.100000	1.032083	1.069378	62.958000	62.560000	26.875755	1.367988	
0.100000	0.892761	0.953665	68.112000	67.260000	25.613883	1.337878	
0.100000	0.809854	1.088095	71.354000	65.430000	27.025600	1.336065	
0.100000	0.722233	0.820404	74.722000	72.420000	25.927081	1.525259	
0.100000	0.661718	0.819725	76.848000	72.450000	27.380357	1.522809	
0.100000	0.614619	0.841862	78.468000	74.240000	27.468665	1.304677	
0.100000	0.579069	0.645492	79.934000	78.280000	26.438308	1.523968	
0.100000	0.541168	0.727878	81.270000	77.000000	27.484985	1.541196	
0.100000	0.514235	0.613308	82.100000	80.120000	25.920473	1.511251	
0.100000	0.490723	0.662092	82.848000	78.930000	27.216209	1.529618	
0.100000	0.477296	0.556251	83.374000	81.950000	26.206579	1.395918	
0.100000	0.456248	0.805677	84.130000	74.130000	27.348053	1.559486	
0.100000	0.440856	0.604249	84.534000	80.330000	27.505434	1.532351	
0.100000	0.425914	0.555428	85.246000	81.350000	25.829420	1.578366	
0.100000	0.411564	0.540347	85.722000	82.420000	27.402693	1.496199	
0.100000	0.398816	0.512198	86.154000	83.400000	25.864412	1.558234	
0.100000	0.384688	0.614442	86.476000	80.290000	27.439387	1.547503	
0.100000	0.376288	0.583789	86.958000	81.390000	27.324377	1.374734	
0.100000	0.366113	0.526171	87.218000	83.010000	26.723657	1.558525	
0.100000	0.358881	0.519306	87.368000	83.210000	27.442481	1.534142	
0.100000	0.343094	0.495581	87.926000	83.560000	25.892982	1.333777	
0.100000	0.337253	0.526074	88.234000	83.760000	27.399345	1.520252	
0.100000	0.326800	0.580879	88.572000	82.140000	26.112134	1.461101	
0.100000	0.323120	0.495478	88.756000	84.510000	27.560877	1.514403	
0.100000	0.317249	0.533695	88.912000	83.570000	27.678996	1.539227	
0.100000	0.312922	0.526478	89.074000	83.240000	25.870303	1.541872	
0.100000	0.303596	0.490876	89.292000	84.840000	27.417527	1.543401	
0.100000	0.295225	0.794173	89.618000	78.600000	25.682436	1.532088	
0.100000	0.289443	0.600534	89.848000	81.580000	27.292382	1.408354	
0.100000	0.281888	0.446534	90.076000	86.000000	26.845601	1.132206	
0.100000	0.276419	0.531273	90.268000	83.320000	26.066732	1.340669	
0.100000	0.273120	0.445165	90.462000	86.000000	26.848357	1.328057	
0.100000	0.274319	0.458826	90.360000	85.600000	25.710114	1.505157	
0.100000	0.260783	0.458712	90.796000	85.760000	27.490452	1.473624	
0.100000	0.257207	0.692356	91.144000	79.930000	26.272479	1.542135	
0.100000	0.257639	0.426552	90.918000	86.370000	27.418523	1.508483	
0.100000	0.247223	0.478585	91.318000	85.450000	27.368520	1.507498	
0.100000	0.243259	0.447248	91.380000	86.250000	25.896277	1.510397	
0.100000	2.006416	1.742903	28.124000	35.620000	49.735966	2.557592	
0.100000	1.471314	1.500847	44.750000	47.760000	50.974571	2.777266	
0.100000	1.206629	1.217527	55.842000	57.730000	49.256381	2.789282	
0.100000	1.030920	1.133631	63.198000	61.350000	48.982425	2.788654	
0.100000	0.914247	1.120135	67.590000	65.510000	49.344412	2.784937	
0.100000	0.825533	0.991546	70.798000	66.770000	51.369312	2.734170	
0.100000	0.740461	1.108014	73.936000	64.880000	49.290994	2.747880	
0.100000	0.676753	0.731766	76.156000	75.150000	49.434859	2.775478	
0.100000	0.624607	0.719831	78.234000	76.310000	49.087321	2.842247	
0.100000	0.575310	0.815099	79.960000	73.360000	50.829898	2.782320	
0.100000	0.540181	0.654142	81.240000	77.880000	48.957768	2.404712	
0.100000	0.506368	0.590735	82.294000	79.890000	48.447788	2.413305	
0.100000	0.480178	0.732944	83.300000	77.100000	48.518910	2.777570	
0.100000	0.458491	0.652590	84.138000	79.370000	50.780266	2.642759	
0.100000	0.437365	0.588458	84.834000	80.750000	49.147831	2.706577	
0.100000	0.421496	0.692611	85.210000	77.940000	49.386121	2.816352	
0.100000	0.403293	0.596021	85.800000	80.770000	49.452479	2.815815	
0.100000	0.387087	0.527595	86.600000	82.690000	50.901260	2.769506	
0.100000	0.368284	0.518611	87.094000	83.810000	49.213018	2.759065	
0.100000	0.359921	0.518396	87.456000	83.340000	49.266470	2.834494	
0.100000	0.345484	0.533193	87.944000	83.230000	49.413094	2.728822	
0.100000	0.336767	0.519993	88.316000	83.520000	50.984870	2.486147	
0.100000	0.323405	0.481133	88.690000	84.510000	49.996016	2.741484	
0.100000	0.313277	0.566211	89.122000	82.960000	49.654875	2.793647	
0.100000	0.308590	0.548866	89.136000	83.130000	49.379151	2.715749	
0.100000	0.292346	0.450729	89.602000	85.530000	50.610826	2.401793	
0.100000	0.287782	0.625529	89.960000	81.440000	50.193736	2.453098	
0.100000	0.279420	0.525434	90.294000	83.740000	48.442155	2.430442	
0.100000	0.264881	0.531364	90.782000	84.450000	48.622949	2.824314	
0.100000	0.260276	0.485881	90.792000	85.250000	50.304250	2.352937	
0.100000	0.254832	0.458771	90.918000	86.120000	51.002977	2.725766	
0.100000	0.245208	0.499310	91.448000	84.830000	49.399032	2.752425	
0.100000	0.244680	0.459206	91.358000	85.710000	49.425140	2.812054	
0.100000	0.234517	0.445553	91.752000	86.130000	49.420281	2.565022	
0.100000	0.230119	0.449160	91.916000	86.750000	50.914637	2.697705	
0.100000	0.218881	0.493881	92.218000	85.070000	49.406057	2.811353	
0.100000	0.221230	0.574376	92.134000	83.250000	49.324384	2.678953	
0.100000	0.210156	0.460811	92.626000	86.240000	49.264235	2.697034	
0.100000	0.209148	0.476065	92.610000	86.350000	50.760076	2.720125	
0.100000	0.200538	0.500466	92.992000	85.490000	49.195515	2.760524	
