LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.762819	1.584944	32.726000	39.900000	11.513483	1.076244	
0.100000	1.495121	1.508604	44.900000	45.500000	9.425687	1.559414	
0.100000	1.352645	1.340792	51.028000	51.390000	14.113677	1.553878	
0.100000	1.275310	1.384317	54.198000	51.130000	13.614832	1.270297	
0.100000	1.215128	1.402759	56.898000	50.370000	14.042560	1.483059	
0.100000	1.186997	1.218566	57.500000	56.530000	11.665122	1.627594	
0.100000	1.186693	1.217063	57.528000	56.700000	12.664764	1.605203	
0.100000	1.187256	1.214063	57.400000	56.630000	12.705416	1.334451	
0.100000	1.188754	1.215148	57.416000	56.720000	12.441153	1.589658	
0.100000	1.189099	1.222515	57.316000	56.330000	12.638726	1.638573	
0.100000	1.187550	1.214939	57.632000	56.740000	12.573070	1.582839	
0.100000	1.185990	1.214027	57.824000	56.560000	12.639150	1.546094	
0.100000	1.188466	1.220287	57.350000	56.510000	8.383656	1.081616	
0.100000	1.188233	1.214217	57.478000	56.780000	10.864243	1.626710	
0.100000	1.188779	1.211274	57.386000	56.870000	12.679606	1.605497	
0.100000	1.189220	1.221399	57.474000	56.440000	12.738692	1.557382	
0.100000	1.187239	1.213395	57.404000	56.700000	12.482658	1.426828	
0.100000	1.187600	1.217825	57.584000	56.580000	11.770947	1.559239	
0.100000	1.188235	1.221722	57.582000	56.490000	12.616270	1.603299	
0.100000	1.187273	1.217880	57.530000	56.640000	12.699815	1.343417	
0.100000	1.186896	1.215163	57.330000	56.510000	12.663761	1.595741	
0.100000	1.188309	1.216786	57.468000	56.660000	11.839170	1.439462	
0.100000	1.187023	1.217108	57.456000	56.590000	12.575024	1.571357	
0.100000	1.186151	1.219153	57.586000	56.460000	12.409083	1.544262	
0.100000	1.187535	1.222322	57.486000	56.530000	8.404320	1.136403	
0.100000	1.185082	1.210169	57.692000	56.890000	12.750914	1.594964	
0.100000	1.188239	1.215092	57.640000	56.710000	12.164056	1.401218	
0.100000	1.187268	1.213540	57.518000	56.640000	12.604290	1.447297	
0.100000	1.189835	1.215241	57.372000	56.720000	12.508598	1.570037	
0.100000	1.188526	1.214081	57.372000	56.690000	11.710238	1.572386	
0.100000	1.189146	1.215812	57.582000	56.560000	12.453876	1.419518	
0.100000	1.188619	1.214138	57.468000	56.680000	12.015689	1.602880	
0.100000	1.186609	1.211634	57.508000	56.730000	12.619774	1.585194	
0.100000	1.184373	1.215957	57.608000	56.590000	11.490848	1.514779	
0.100000	1.186776	1.219354	57.540000	56.560000	12.619386	1.576040	
0.100000	1.187769	1.217827	57.668000	56.560000	9.313830	1.160918	
0.100000	1.186721	1.212204	57.620000	56.740000	12.348988	1.588791	
0.100000	1.187113	1.214610	57.490000	56.610000	12.540925	1.547155	
0.100000	1.187565	1.213466	57.460000	56.640000	11.657524	1.592483	
0.100000	1.189280	1.217576	57.506000	56.720000	12.566488	1.496332	
0.100000	1.187739	1.216341	57.314000	56.660000	12.402422	1.623019	
0.100000	1.187134	1.217530	57.476000	56.650000	12.755646	1.566957	
0.100000	1.188822	1.212202	57.320000	56.760000	11.790413	1.579088	
0.100000	1.187910	1.215085	57.606000	56.860000	12.682774	1.502170	
0.100000	1.185104	1.213906	57.604000	56.790000	12.599089	1.373734	
0.100000	1.187950	1.215503	57.600000	56.730000	12.754879	1.568056	
0.100000	1.188367	1.223048	57.336000	56.480000	11.539759	1.031310	
0.100000	1.187873	1.214321	57.396000	56.610000	7.745831	1.417257	
0.100000	1.188523	1.211900	57.640000	56.820000	12.519627	1.579158	
0.100000	1.188711	1.209989	57.310000	56.880000	12.866404	1.541944	
0.100000	1.188658	1.217189	57.526000	56.430000	12.554806	1.563049	
0.100000	1.188212	1.213458	57.482000	56.820000	12.246016	1.333846	
0.100000	1.187639	1.212706	57.638000	56.710000	12.669688	1.585886	
0.100000	1.187646	1.217878	57.462000	56.580000	12.758891	1.598478	
