LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.722811	1.495349	35.302000	46.040000	19.317065	1.153928	
0.100000	1.239140	1.624854	55.014000	47.490000	19.444603	1.270385	
0.100000	1.036118	1.193477	62.878000	59.850000	19.441865	1.190333	
0.100000	0.900454	1.015166	68.290000	64.940000	19.320341	1.121988	
0.100000	0.818729	0.933220	71.338000	68.530000	18.784091	1.122665	
0.100000	0.743140	0.958862	73.984000	67.920000	18.776719	1.112225	
0.100000	0.702473	0.844738	75.662000	71.590000	19.354648	1.133610	
0.100000	0.667871	1.280390	76.790000	60.340000	19.201609	1.186145	
0.100000	0.645811	0.822270	77.584000	72.060000	19.164303	1.249249	
0.100000	0.620011	0.850828	78.620000	71.830000	18.984740	1.159298	
0.100000	0.606743	0.802809	79.084000	73.410000	19.195836	1.218500	
0.100000	0.590597	0.972152	79.718000	69.230000	19.134461	1.230241	
0.100000	0.573799	1.305928	80.168000	61.710000	18.759976	1.142751	
0.100000	0.561415	0.929538	80.626000	70.780000	19.009771	1.188047	
0.100000	0.550466	0.768292	81.084000	74.830000	19.414279	1.196309	
0.100000	0.538308	0.723860	81.496000	76.840000	19.314136	1.266106	
0.100000	0.536387	0.977537	81.604000	69.380000	19.000893	1.246126	
0.100000	0.538150	0.815544	81.574000	73.030000	19.149441	1.113241	
0.100000	0.530581	0.638738	81.814000	78.730000	18.921779	1.303036	
0.100000	0.516887	0.738744	82.320000	75.860000	19.279418	1.089178	
0.100000	0.508846	0.801665	82.624000	74.880000	18.691988	1.278330	
0.100000	0.506349	0.794973	82.628000	74.820000	19.058497	1.261340	
0.100000	0.499975	1.375420	83.000000	62.420000	19.089731	1.267562	
0.100000	0.497007	0.972861	82.912000	70.460000	19.141309	1.147746	
0.100000	0.491516	0.906904	83.054000	71.670000	19.004637	1.179641	
0.100000	0.487033	0.672889	83.364000	77.660000	19.329137	1.255971	
0.100000	0.490787	1.438614	83.100000	63.960000	19.382689	1.214452	
0.100000	0.475640	0.988981	83.670000	70.730000	18.887065	1.135916	
0.100000	0.469794	0.795856	83.882000	75.290000	19.279266	1.161545	
0.100000	0.468571	0.816974	83.948000	72.920000	19.598767	1.151516	
0.100000	0.460001	0.845571	84.076000	74.240000	19.164635	1.106201	
0.100000	0.466803	0.755022	84.050000	74.320000	19.086886	1.056236	
0.100000	0.468637	0.661881	83.814000	77.580000	19.065914	1.164023	
0.100000	0.467987	0.685973	83.926000	77.330000	19.397484	1.177637	
0.100000	0.458503	0.938463	84.176000	72.680000	18.850392	1.231297	
0.100000	0.449298	0.807241	84.516000	75.190000	19.059386	1.210064	
0.100000	0.450362	0.808397	84.602000	74.730000	19.292587	1.240000	
0.100000	0.453705	1.097140	84.372000	67.560000	19.233801	1.170977	
0.100000	0.454500	0.756314	84.492000	75.900000	19.213119	1.146416	
0.100000	0.455002	1.271386	84.316000	63.330000	18.987343	1.174994	
0.100000	0.438394	1.135254	84.960000	66.760000	19.498634	1.177147	
0.100000	0.439336	0.779368	84.846000	75.380000	19.133572	1.055670	
0.100000	0.444615	0.757201	84.760000	76.100000	18.815323	1.228878	
0.100000	0.439426	0.778014	84.860000	75.960000	19.085707	1.160529	
0.100000	0.440261	0.643840	84.910000	78.980000	19.303156	1.229049	
0.100000	0.432014	0.756719	85.146000	75.280000	19.219604	1.206677	
0.100000	0.428706	0.909242	85.106000	73.640000	19.363308	1.269323	
0.100000	0.442977	0.607098	84.754000	80.060000	19.503861	1.288920	
0.100000	0.435865	0.773157	84.946000	74.700000	19.233815	1.334561	
0.100000	0.431425	0.725162	85.300000	76.140000	18.855852	1.104159	
0.100000	0.426439	0.834108	85.292000	73.420000	19.142574	1.216384	
0.100000	0.432492	0.554476	84.996000	81.570000	19.114198	1.246915	
0.100000	0.424782	0.631978	85.458000	79.010000	19.056484	1.145282	
0.100000	0.434402	1.494835	84.944000	61.350000	18.994353	1.187486	
0.100000	0.424177	0.532456	85.298000	82.310000	19.107981	1.193030	
0.100000	0.424673	0.756509	85.454000	75.380000	19.168723	1.192498	
0.100000	0.424107	1.112430	85.400000	69.960000	18.946149	1.046601	
0.100000	0.431770	0.752057	85.110000	76.510000	18.609396	1.188506	
0.100000	0.415775	1.069747	85.768000	67.970000	18.995764	1.096873	
0.100000	0.424021	0.755437	85.200000	75.530000	18.998627	1.295181	
0.100000	0.416576	0.750816	85.662000	75.720000	19.278563	1.212984	
0.100000	0.419097	0.703301	85.492000	77.210000	19.125096	1.295534	
0.100000	0.423618	0.911570	85.424000	72.020000	18.988678	1.209591	
0.100000	0.415841	0.698963	85.700000	77.650000	19.107648	1.232340	
0.100000	0.420606	0.605336	85.358000	79.340000	18.931719	1.159525	
0.100000	0.412147	0.885893	85.852000	73.900000	19.410663	1.220227	
0.100000	0.418444	0.563462	85.734000	81.480000	19.352298	1.198234	
0.100000	0.413170	0.811703	85.794000	74.610000	19.359570	1.164122	
0.100000	0.412117	0.925429	85.784000	71.020000	19.320842	1.230771	
0.100000	0.412073	0.666817	85.942000	77.470000	19.195877	1.204922	
0.100000	0.407494	0.959547	86.012000	72.250000	18.789299	1.203250	
0.100000	0.413941	0.589466	85.722000	81.190000	18.853804	1.112007	
0.100000	0.410683	0.751181	85.930000	75.440000	18.699839	1.121124	
0.100000	0.410203	0.652011	85.984000	78.810000	18.975333	1.167327	
0.100000	0.409235	0.901407	85.850000	71.530000	18.995625	1.145136	
0.100000	0.400590	1.221436	86.170000	64.920000	19.183841	1.260861	
0.100000	0.406060	0.921267	85.912000	71.510000	19.113133	1.224010	
0.100000	0.409989	0.812265	85.844000	75.530000	18.939156	1.339873	
0.100000	0.405617	0.718454	86.100000	77.730000	18.923249	1.161298	
0.100000	0.405446	0.710286	86.080000	77.310000	18.926693	1.077456	
0.100000	0.410064	2.057767	85.814000	55.360000	19.093111	1.246050	
0.100000	0.410336	0.749879	86.012000	76.730000	19.025021	1.215216	
0.100000	0.401544	0.757861	86.216000	76.470000	19.121702	1.177529	
0.100000	0.408353	0.803426	85.858000	74.460000	19.197348	1.178505	
0.100000	0.399738	0.566054	86.330000	80.580000	19.008703	1.321927	
0.100000	0.395358	0.567777	86.434000	80.740000	19.217857	1.161791	
0.100000	0.407996	0.820395	85.880000	74.960000	18.894869	1.107924	
0.100000	0.400724	0.701088	86.394000	77.320000	18.747723	1.216429	
0.100000	0.408495	0.752201	85.938000	75.130000	18.991277	1.233665	
0.100000	0.404214	0.766070	86.092000	75.460000	19.246287	1.150050	
0.100000	0.393613	0.600116	86.480000	80.670000	19.349696	1.179669	
0.100000	0.403597	0.697212	86.068000	77.550000	19.120532	1.213556	
0.010000	0.283520	0.324566	90.434000	89.160000	19.130033	1.071519	
0.010000	0.243283	0.322555	91.640000	89.130000	18.925144	1.113961	
0.010000	0.231968	0.317118	92.082000	89.390000	18.798773	1.087338	
0.010000	0.220752	0.309924	92.468000	89.690000	19.252519	1.178827	
0.010000	0.215219	0.312206	92.610000	89.640000	19.207330	1.261569	
0.010000	0.209990	0.315507	92.788000	89.430000	19.018349	1.208489	
0.010000	0.201625	0.316294	93.160000	89.510000	19.186787	1.175874	
0.010000	0.198859	0.305975	93.230000	89.880000	18.944326	1.071701	
0.010000	0.195398	0.310678	93.254000	89.750000	19.100861	1.229462	
0.010000	0.191176	0.314654	93.492000	89.650000	19.084351	1.070970	
0.010000	0.191103	0.314969	93.400000	89.780000	18.736643	1.258837	
0.010000	0.184396	0.315610	93.614000	89.680000	19.099514	1.284162	
0.010000	0.183186	0.312394	93.682000	89.950000	19.001063	1.180233	
0.010000	0.176107	0.320763	94.018000	89.620000	19.224674	1.141417	
0.010000	0.176880	0.333634	93.998000	89.450000	19.351909	1.142661	
0.010000	0.174746	0.329935	94.024000	89.300000	19.219009	1.251088	
0.010000	0.174998	0.323451	93.922000	89.560000	19.301126	1.301681	
0.010000	0.168071	0.319537	94.260000	89.740000	18.909463	1.125293	
0.010000	0.168630	0.339327	94.184000	89.450000	19.188558	1.194896	
0.010000	0.167895	0.321357	94.102000	89.730000	19.114835	1.139074	
0.010000	0.168007	0.330917	94.194000	89.580000	19.267462	1.094014	
0.010000	0.164833	0.350360	94.428000	88.880000	18.925451	1.200819	
0.010000	0.161793	0.341486	94.316000	89.060000	19.182276	1.113595	
0.010000	0.157526	0.346077	94.574000	89.430000	19.214366	1.130100	
0.010000	0.161911	0.377567	94.474000	88.340000	19.029258	1.108098	
0.010000	0.164791	0.333859	94.212000	89.640000	18.638729	1.208403	
0.010000	0.162254	0.357957	94.376000	89.020000	19.011868	1.196505	
0.010000	0.160508	0.332063	94.482000	89.570000	19.059267	1.100865	
0.010000	0.158264	0.344337	94.594000	89.210000	19.034808	1.203899	
0.010000	0.162086	0.378972	94.412000	88.650000	19.044044	1.254266	
0.010000	0.157686	0.356502	94.540000	88.950000	19.275775	1.215302	
0.010000	0.159634	0.372310	94.494000	88.610000	19.172220	1.152676	
0.010000	0.157996	0.360095	94.556000	88.520000	18.588151	1.083051	
0.010000	0.154554	0.341668	94.684000	89.160000	19.098366	1.323387	
0.010000	0.160145	0.410799	94.436000	88.020000	18.970448	1.233629	
0.010000	0.155965	0.351902	94.584000	88.630000	19.041267	1.204109	
0.010000	0.152181	0.364236	94.718000	88.900000	19.130153	1.230651	
0.010000	0.153196	0.354003	94.632000	89.090000	19.240109	1.168857	
0.010000	0.152395	0.350713	94.746000	89.240000	19.282252	1.237664	
0.010000	0.153178	0.374255	94.680000	88.690000	19.438615	1.192369	
0.010000	0.153853	0.390174	94.678000	88.190000	18.813801	1.116222	
0.010000	0.156193	0.391198	94.588000	88.640000	19.270015	1.225160	
0.010000	0.156969	0.405462	94.498000	87.410000	19.653771	1.181334	
0.010000	0.150027	0.385830	94.684000	88.510000	19.295465	1.195844	
0.010000	0.150972	0.352674	94.808000	89.200000	19.050409	1.241209	
0.010000	0.155673	0.410036	94.628000	87.070000	19.368632	1.200354	
0.010000	0.155018	0.433491	94.576000	87.940000	19.179710	1.264261	
0.010000	0.155308	0.387601	94.548000	88.780000	18.527490	1.048702	
0.010000	0.151827	0.438747	94.634000	87.580000	19.311177	1.229061	
0.010000	0.156606	0.416144	94.634000	87.680000	19.307119	1.147408	
0.010000	0.154997	0.395833	94.666000	88.050000	19.189215	1.254508	
