LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.777568	1.734660	33.350000	39.090000	20.033597	1.271135	
0.100000	1.325251	1.309760	51.554000	53.660000	19.805758	1.354293	
0.100000	1.071640	1.138844	61.530000	60.230000	19.769615	1.342201	
0.100000	0.944939	1.092644	66.250000	62.230000	19.798346	1.250473	
0.100000	0.846091	1.117700	69.982000	60.480000	19.953164	1.318042	
0.100000	0.761444	1.133605	73.178000	62.970000	19.870066	1.281054	
0.100000	0.718526	1.032288	75.024000	65.320000	19.977545	1.338158	
0.100000	0.674133	0.923256	76.826000	70.280000	19.942298	1.352519	
0.100000	0.646285	0.828741	77.674000	72.390000	19.837061	1.363917	
0.100000	0.627711	1.234813	78.224000	63.510000	20.000330	1.427306	
0.100000	0.600616	0.760606	79.368000	73.670000	19.999286	1.305669	
0.100000	0.586700	0.850774	79.672000	72.180000	20.046314	1.343961	
0.100000	0.569054	0.956914	80.494000	69.400000	19.926086	1.314475	
0.100000	0.561928	0.720350	80.562000	75.670000	20.078811	1.270005	
0.100000	0.553823	0.951933	80.804000	69.420000	19.917513	1.327346	
0.100000	0.537203	0.867227	81.526000	71.600000	19.940444	1.305393	
0.100000	0.532438	0.799097	81.632000	74.240000	19.948075	1.310113	
0.100000	0.520828	0.835248	82.198000	73.210000	20.203263	1.328196	
0.100000	0.518833	0.688945	82.114000	77.450000	20.169298	1.300984	
0.100000	0.514574	0.724758	82.252000	75.520000	19.950464	1.222934	
0.100000	0.500069	0.668882	82.942000	77.470000	20.130832	1.216394	
0.100000	0.500274	0.923113	82.748000	69.390000	20.094786	1.198203	
0.100000	0.492901	0.637020	83.004000	78.910000	20.078246	1.256522	
0.100000	0.490231	0.688724	83.132000	77.040000	20.013521	1.317053	
0.100000	0.483699	0.592758	83.450000	80.150000	20.028079	1.349561	
0.100000	0.483359	0.699178	83.362000	77.270000	20.267875	1.241112	
0.100000	0.482478	0.642790	83.472000	78.470000	19.991498	1.277399	
0.100000	0.476104	0.651845	83.720000	77.980000	20.202297	1.287812	
0.100000	0.472344	1.680018	83.934000	59.380000	19.637139	1.310976	
0.100000	0.476431	0.811042	83.580000	74.020000	20.032669	1.318320	
0.100000	0.459346	1.005020	84.048000	69.480000	19.926085	1.329484	
0.100000	0.471478	0.624185	83.584000	79.050000	19.918931	1.241022	
0.100000	0.461329	0.682350	84.234000	77.350000	19.772642	1.188093	
0.100000	0.458968	1.003942	84.134000	68.330000	19.882694	1.326662	
0.100000	0.457472	0.844432	84.336000	73.830000	19.995576	1.259257	
0.100000	0.451417	0.879680	84.432000	73.960000	20.289021	1.333121	
0.100000	0.466657	0.755047	84.002000	75.600000	20.223818	1.264037	
0.100000	0.456214	0.671896	84.270000	78.350000	19.927390	1.342901	
0.100000	0.455373	1.058234	84.336000	70.490000	19.907263	1.295454	
0.100000	0.443687	1.001722	84.920000	72.020000	19.969814	1.336004	
0.100000	0.447678	0.708565	84.626000	77.180000	19.986753	1.335686	
0.100000	0.444341	0.787340	84.614000	74.620000	19.722798	1.312914	
0.100000	0.442140	0.965127	84.806000	71.040000	20.169574	1.302101	
0.100000	0.441383	0.858634	84.602000	73.930000	20.212221	1.315137	
0.100000	0.441210	0.669022	85.030000	77.660000	20.259103	1.288899	
0.100000	0.430376	0.735615	85.096000	76.760000	20.015719	1.352620	
0.100000	0.436210	0.581099	84.994000	80.350000	19.824263	1.230294	
0.100000	0.438574	0.792508	84.874000	75.830000	19.877384	1.246321	
0.100000	0.432042	0.683716	85.070000	77.490000	20.138969	1.257645	
0.100000	0.435789	0.802392	84.962000	73.900000	20.022097	1.241505	
0.100000	0.425898	0.830065	85.358000	73.920000	19.884115	1.291936	
0.100000	0.435050	0.811836	85.102000	74.710000	20.094050	1.299299	
0.100000	0.432715	0.803563	85.130000	74.030000	20.095717	1.407643	
0.100000	0.430503	0.861684	85.178000	73.330000	20.358385	1.237782	
0.100000	0.425265	0.614046	85.380000	80.190000	19.981865	1.279026	
0.100000	0.420239	0.585168	85.426000	80.470000	20.073016	1.273963	
0.100000	0.427976	0.845299	85.282000	74.470000	20.217364	1.258718	
0.100000	0.427869	0.702095	85.268000	77.770000	19.911855	1.321733	
0.100000	0.424727	0.785317	85.400000	77.250000	20.132566	1.315401	
0.100000	0.423598	1.028853	85.294000	68.390000	20.142943	1.260177	
0.100000	0.419179	0.941974	85.516000	69.800000	20.004440	1.309002	
0.100000	0.421035	0.599809	85.538000	79.990000	20.053803	1.299228	
0.100000	0.421652	0.586797	85.550000	80.700000	19.977869	1.339704	
0.100000	0.419788	0.935898	85.534000	71.800000	19.957363	1.296603	
0.100000	0.417242	0.917323	85.600000	73.100000	19.687584	1.310777	
0.100000	0.419497	0.714280	85.538000	76.450000	20.045259	1.358182	
0.100000	0.415133	0.821148	85.636000	75.460000	19.946949	1.136705	
0.100000	0.418510	0.559131	85.482000	81.280000	20.119263	1.303249	
0.100000	0.409491	0.619309	85.874000	79.390000	19.940392	1.301636	
0.100000	0.414220	0.837022	85.676000	73.470000	19.961954	1.290503	
0.100000	0.407510	0.780777	85.902000	75.420000	19.971924	1.303085	
0.100000	0.414440	1.185734	85.844000	67.270000	20.066049	1.270849	
0.100000	0.410544	0.872352	85.948000	71.980000	19.948029	1.297187	
0.100000	0.412936	0.543792	85.908000	81.430000	19.678285	1.332145	
0.100000	0.411706	0.599047	85.670000	80.630000	20.251221	1.363793	
0.100000	0.403543	0.648779	86.130000	78.890000	20.068714	1.314997	
0.100000	0.412377	0.619675	85.718000	80.000000	19.770541	1.310710	
0.100000	0.406746	0.748831	85.988000	76.630000	20.134591	1.219425	
0.100000	0.412594	0.579061	85.846000	80.690000	20.030174	1.313863	
0.100000	0.410973	0.722374	85.932000	77.460000	20.016771	1.318353	
0.100000	0.404896	0.797389	85.982000	75.120000	20.099979	1.298629	
0.100000	0.407913	0.733900	86.026000	76.170000	19.995082	1.224304	
0.100000	0.405818	0.802767	86.012000	76.000000	20.073147	1.288234	
0.100000	0.406914	1.084020	86.160000	66.250000	20.118916	1.297761	
0.100000	0.404500	0.616149	85.968000	79.470000	19.994673	1.364139	
0.100000	0.394986	0.964474	86.496000	72.590000	20.268508	1.392818	
0.100000	0.404783	0.805753	85.982000	74.510000	19.811477	1.237652	
0.100000	0.410228	0.728934	85.778000	77.790000	20.310113	1.318241	
0.100000	0.401896	0.719755	86.266000	77.130000	20.276611	1.249697	
0.100000	0.404553	0.550427	85.980000	81.440000	20.408182	1.275305	
0.100000	0.397991	0.706803	86.232000	77.010000	20.010419	1.368258	
0.100000	0.400265	0.559390	86.290000	81.500000	20.046408	1.333216	
0.010000	0.283437	0.329485	90.412000	88.960000	20.076789	1.305302	
0.010000	0.245478	0.323752	91.730000	89.050000	20.117585	1.266014	
0.010000	0.229220	0.314424	92.308000	89.440000	20.085665	1.285119	
0.010000	0.220991	0.311939	92.492000	89.380000	19.813042	1.249328	
0.010000	0.217391	0.321330	92.648000	89.030000	20.083125	1.331584	
0.010000	0.211728	0.322247	92.788000	89.180000	20.120389	1.277600	
0.010000	0.204146	0.308964	93.094000	89.840000	20.184038	1.358432	
0.010000	0.201161	0.317720	93.092000	89.720000	20.141127	1.386638	
0.010000	0.195768	0.304769	93.276000	89.990000	20.066819	1.332506	
0.010000	0.190180	0.330647	93.434000	89.080000	20.466061	1.324731	
0.010000	0.187393	0.313461	93.542000	90.120000	19.979432	1.349137	
0.010000	0.187248	0.325152	93.534000	89.560000	20.124767	1.284122	
0.010000	0.187020	0.314098	93.506000	89.810000	20.297333	1.372186	
0.010000	0.182499	0.307512	93.746000	89.910000	19.970669	1.301568	
0.010000	0.179295	0.328255	93.802000	89.570000	20.013603	1.256910	
0.010000	0.175862	0.324344	93.966000	89.820000	20.041964	1.317084	
0.010000	0.172733	0.324764	94.130000	89.790000	20.230568	1.335386	
0.010000	0.174822	0.326218	94.106000	89.450000	19.755029	1.269798	
0.010000	0.171396	0.328917	94.068000	89.600000	20.271836	1.334920	
0.010000	0.170657	0.326750	94.060000	89.630000	20.203354	1.361895	
0.010000	0.170930	0.339783	93.984000	89.340000	20.202021	1.343019	
0.010000	0.165782	0.341200	94.328000	89.350000	20.310096	1.207844	
0.010000	0.166802	0.341650	94.342000	89.160000	20.066574	1.282900	
0.010000	0.162440	0.339008	94.412000	89.400000	20.332674	1.292601	
0.010000	0.164774	0.330403	94.358000	89.440000	20.204240	1.339480	
0.010000	0.162709	0.332718	94.352000	89.560000	20.208192	1.334628	
0.010000	0.161845	0.374723	94.370000	88.380000	20.181309	1.314167	
0.010000	0.167139	0.358518	94.134000	88.900000	20.084490	1.205748	
0.010000	0.160713	0.336619	94.410000	89.590000	20.092429	1.323000	
0.010000	0.157974	0.376737	94.660000	88.490000	19.821940	1.326360	
0.010000	0.157903	0.350570	94.492000	89.020000	20.051744	1.252951	
0.010000	0.157790	0.342403	94.506000	89.320000	20.190016	1.297905	
0.010000	0.159864	0.332559	94.420000	89.450000	20.224147	1.292444	
0.010000	0.155431	0.405942	94.610000	87.820000	20.201217	1.297951	
0.010000	0.154706	0.360349	94.656000	88.630000	20.023296	1.255599	
0.010000	0.156222	0.341485	94.662000	89.190000	20.205344	1.271546	
0.010000	0.157338	0.352604	94.504000	89.230000	19.929547	1.253938	
0.010000	0.158451	0.355110	94.536000	89.100000	20.150854	1.346507	
0.010000	0.155209	0.362555	94.488000	88.680000	19.836078	1.377314	
0.010000	0.155738	0.387813	94.574000	88.300000	19.834906	1.285040	
0.010000	0.155183	0.371009	94.628000	88.840000	19.592825	1.249165	
0.010000	0.157039	0.354542	94.596000	89.060000	20.190150	1.306891	
0.010000	0.152708	0.374044	94.698000	88.670000	19.866467	1.303017	
0.010000	0.154189	0.360700	94.552000	89.120000	19.918986	1.337847	
0.010000	0.156133	0.369639	94.446000	88.890000	19.800095	1.350794	
0.010000	0.158590	0.387270	94.388000	88.720000	19.570781	1.309184	
0.010000	0.153997	0.363763	94.602000	88.960000	20.169899	1.237115	
0.010000	0.152867	0.383352	94.696000	88.570000	20.159657	1.313745	
0.010000	0.152934	0.349809	94.732000	89.410000	19.877498	1.338862	
0.010000	0.153720	0.366624	94.624000	88.600000	20.142362	1.329946	
0.010000	0.151686	0.439624	94.616000	86.910000	19.805352	1.258275	
0.010000	0.157277	0.394875	94.480000	88.070000	19.945157	1.264367	
0.010000	0.155858	0.365526	94.632000	88.710000	19.920380	1.296576	
0.010000	0.155744	0.448450	94.464000	87.010000	20.432911	1.310221	
0.010000	0.153931	0.421532	94.558000	87.340000	19.995241	1.321102	
0.010000	0.155917	0.496948	94.542000	85.850000	19.699503	1.261964	
0.010000	0.153097	0.373848	94.674000	88.810000	19.989839	1.284846	
0.001000	0.119185	0.325705	95.854000	90.050000	19.978489	1.272158	
0.001000	0.109802	0.324111	96.354000	90.040000	19.990038	1.285477	
0.001000	0.103483	0.325721	96.624000	90.210000	19.947401	1.304577	
0.001000	0.098551	0.321938	96.776000	90.360000	19.845018	1.267339	
0.001000	0.097059	0.323673	96.732000	90.330000	19.802037	1.118851	
0.001000	0.094173	0.327894	96.926000	90.310000	19.909853	1.260484	
0.001000	0.093330	0.328657	96.944000	90.310000	20.167243	1.321920	
0.001000	0.093580	0.323960	96.888000	90.240000	19.769568	1.303939	
0.001000	0.090923	0.329005	97.052000	90.380000	19.975056	1.348458	
0.001000	0.089288	0.326498	97.136000	90.390000	19.985300	1.335541	
0.001000	0.088728	0.330432	97.106000	90.190000	19.757453	1.303059	
0.001000	0.088738	0.330943	97.054000	90.370000	20.171396	1.327190	
0.001000	0.087851	0.330660	97.170000	90.260000	20.088055	1.309669	
0.001000	0.085153	0.331638	97.256000	90.320000	19.956242	1.273245	
0.001000	0.083856	0.332242	97.394000	90.400000	20.268285	1.218627	
0.001000	0.084921	0.332117	97.272000	90.300000	19.939566	1.292689	
0.001000	0.084113	0.334231	97.264000	90.510000	19.998119	1.281573	
0.001000	0.083893	0.332787	97.262000	90.320000	19.854637	1.338806	
0.001000	0.081289	0.337712	97.380000	90.390000	20.079242	1.317084	
0.001000	0.080354	0.340128	97.410000	90.360000	19.986020	1.346516	
0.001000	0.080889	0.337471	97.370000	90.420000	20.203731	1.229898	
0.001000	0.083655	0.338981	97.320000	90.120000	19.971168	1.260377	
0.001000	0.080241	0.332895	97.380000	90.520000	20.086148	1.336797	
0.001000	0.080720	0.338824	97.478000	90.530000	20.086863	1.043725	
0.001000	0.080482	0.338896	97.418000	90.380000	19.863044	1.338996	
0.001000	0.078060	0.337121	97.534000	90.500000	19.944068	1.356357	
0.001000	0.078162	0.339363	97.524000	90.350000	19.787630	1.338003	
0.001000	0.080630	0.339728	97.352000	90.300000	20.007435	1.354369	
0.001000	0.076930	0.341273	97.520000	90.380000	20.109373	1.310604	
0.001000	0.079036	0.338714	97.458000	90.540000	20.309205	1.221370	
0.001000	0.077699	0.340655	97.518000	90.540000	19.934826	1.274731	
0.010000	1.107720	0.544783	60.184000	81.780000	24.145029	1.613584	
0.010000	0.315773	0.435736	88.968000	85.830000	24.095927	1.372509	
0.010000	0.218917	0.389341	92.166000	87.670000	24.139712	1.539929	
0.010000	0.194766	0.412721	93.110000	87.250000	24.119757	1.510718	
0.010000	0.177897	0.406640	93.786000	87.670000	24.089266	1.496974	
0.010000	0.167434	0.425205	94.060000	87.270000	24.461208	1.588247	
0.010000	0.164338	0.397647	94.170000	87.800000	24.254857	1.511599	
