LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.097656	2.583097	1.531884	33.904001	42.260000	31.538665	1.555312	
0.097656	1.973522	1.951974	54.450001	43.880000	30.945375	1.536800	
0.097656	1.587785	0.942015	65.378001	67.830000	32.105008	1.600320	
0.097656	1.340307	0.916653	72.448001	68.050000	31.526411	1.617047	
0.097656	1.198035	0.946749	75.396002	68.620000	31.651275	1.535031	
0.095367	1.086706	1.517349	77.952001	60.430000	32.519008	1.587108	
0.095367	1.023669	0.708771	78.922002	75.970000	32.741663	1.602387	
0.095367	0.968930	0.942771	79.862001	68.700000	30.923961	1.633876	
0.095367	0.935412	0.710739	80.624002	75.630000	32.555113	1.579769	
0.095367	0.914827	0.883590	81.058001	73.250000	32.454514	1.710072	
0.094250	0.886633	0.868493	81.975998	72.000000	31.060039	1.592572	
0.094250	0.886613	0.836344	81.967998	72.320000	31.413557	1.606668	
0.094250	0.878943	0.882914	82.113998	72.820000	31.171175	1.638240	
0.094250	0.865606	0.894088	82.621998	71.940000	31.498082	1.685839	
0.094250	0.863778	0.697911	82.563998	75.290000	30.910698	1.550382	
0.093514	0.849038	0.861636	83.239998	71.690000	31.614498	1.599338	
0.093514	0.848832	0.675015	83.085998	77.370000	31.029175	1.598479	
0.093514	0.845146	0.768858	83.359998	75.330000	30.931244	1.681689	
0.093514	0.837670	0.675811	83.513998	77.540000	31.741937	1.578209	
0.093514	0.830895	0.799203	83.717998	73.720000	31.449336	1.680934	
0.092783	0.825710	1.022071	83.887998	69.060000	31.382402	1.665743	
0.092783	0.820191	0.598972	84.175998	79.480000	31.598442	1.683239	
0.092783	0.823921	0.845969	84.003998	73.590000	32.028572	1.580985	
0.092783	0.814499	0.769853	84.473998	76.340000	31.615862	1.618647	
0.092783	0.814940	0.797380	84.411998	73.820000	31.857688	1.499936	
0.092783	0.808712	0.629821	84.330000	78.850000	31.090545	1.585029	
0.092783	0.808720	0.553030	84.270000	81.230000	30.210505	1.523399	
0.092783	0.807583	1.641365	84.472000	59.020000	31.430572	1.459530	
0.092783	0.795910	0.643331	84.784000	78.520000	31.335690	1.575817	
0.092783	0.789783	0.683164	84.906000	77.400000	31.130090	1.579650	
