LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.765270	2.053949	34.850000	33.118000	34.850000	19.810282	1.096453	
0.100000	1.248252	1.410546	34.850000	54.590000	50.120000	19.811647	1.142023	
0.100000	0.983251	1.099256	42.485000	64.630000	63.030000	19.787268	1.103100	
0.100000	0.826990	0.951318	49.786800	70.724000	66.630000	20.082896	1.138280	
0.100000	0.716265	1.376263	53.967778	75.050000	59.370000	20.145468	1.083144	
0.100000	0.653704	1.064153	54.039263	77.258000	66.210000	19.762616	1.094419	
0.100000	0.605189	0.836055	55.936553	79.010000	72.770000	19.786006	1.103853	
0.100000	0.565821	0.733462	58.573484	80.354000	76.310000	20.228630	1.118473	
0.100000	0.537604	0.689155	60.984938	81.222000	76.670000	20.021404	1.088634	
0.100000	0.513105	0.667482	62.694360	82.270000	78.760000	20.072805	1.146280	
0.100000	0.493207	0.585884	64.272083	82.980000	80.610000	23.908063	1.392547	
0.100000	0.479701	0.705872	65.724634	83.506000	75.830000	24.126402	1.426999	
0.100000	0.466887	0.650880	66.144129	83.924000	78.350000	23.796536	1.467671	
0.100000	0.454538	0.578769	66.835745	84.250000	80.600000	23.920313	1.410936	
0.100000	0.441867	0.715769	67.675160	84.754000	76.170000	24.036721	1.381203	
0.100000	0.435995	0.705254	67.830412	85.014000	76.760000	24.041822	1.407989	
0.100000	0.423090	0.596191	68.043273	85.386000	79.960000	23.902561	1.402485	
0.100000	0.418750	0.924776	68.569541	85.712000	71.470000	23.946244	1.403732	
0.100000	0.412598	0.676954	68.160770	85.878000	78.490000	23.978626	1.379612	
0.100000	0.403885	0.688012	68.511642	86.102000	77.920000	23.952359	1.413070	
0.100000	0.399120	0.543564	68.759008	86.172000	81.930000	23.638284	1.424821	
0.100000	0.394160	0.736019	69.322805	86.456000	76.950000	23.828066	1.409507	
0.100000	0.393949	0.768345	69.388387	86.436000	75.990000	23.988949	1.383445	
0.100000	0.387701	0.587723	69.375691	86.532000	80.290000	23.772555	1.382183	
0.100000	0.371919	0.546273	69.703149	87.166000	82.130000	23.650922	1.397392	
0.100000	0.378136	0.718060	70.125523	86.922000	77.380000	23.747725	1.414311	
0.100000	0.377821	0.506623	70.155347	87.020000	82.540000	23.803103	1.379261	
0.100000	0.370938	0.762648	70.542952	87.350000	76.660000	23.757692	1.375331	
0.100000	0.364451	0.545902	70.492868	87.412000	82.660000	23.886730	1.382728	
