LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.314478	1.553859	36.370000	44.410000	27.415882	1.335935	
0.100000	1.734481	1.782097	56.730000	48.620000	27.342026	1.220920	
0.100000	1.429812	1.146359	66.310000	62.480000	27.482795	1.408954	
0.100000	1.226840	0.865751	72.184000	70.010000	28.235816	1.496726	
0.100000	1.100953	1.582272	75.476000	56.600000	28.115704	1.360959	
0.100000	1.003724	0.719847	77.952000	75.690000	28.005934	1.397158	
0.100000	0.944189	0.999392	79.154000	66.510000	28.705044	1.385387	
0.100000	0.896043	0.790464	80.206000	74.070000	28.414872	1.145657	
0.100000	0.867267	0.680059	80.836000	76.530000	28.204405	1.416799	
0.100000	0.838741	0.681090	81.442000	77.240000	28.288423	1.407772	
0.100000	0.812222	0.678265	82.396000	77.800000	27.512521	1.344248	
0.100000	0.810054	0.637726	82.304000	78.210000	28.220868	1.391686	
0.100000	0.789954	0.984680	82.802000	70.050000	28.631960	1.327093	
0.100000	0.776953	0.935538	83.266000	71.460000	28.503786	1.264407	
0.100000	0.771639	0.614479	83.542000	79.710000	28.292102	1.338459	
0.100000	0.755328	0.753019	83.906000	74.430000	27.920510	1.402289	
0.100000	0.762188	0.664535	83.630000	76.960000	28.102979	1.195481	
0.100000	0.758079	0.735323	83.992000	76.420000	27.827284	1.430342	
0.100000	0.740166	0.979454	84.514000	70.650000	28.549625	1.456868	
0.100000	0.752392	0.671518	84.168000	79.050000	28.373244	1.174943	
0.100000	0.724430	0.728035	85.102000	77.120000	28.351285	1.444205	
0.100000	0.739058	1.124233	84.578000	67.630000	28.430472	1.395248	
0.100000	0.728617	1.038999	85.146000	69.630000	27.678259	1.412737	
0.100000	0.730053	1.052738	84.950000	69.470000	28.837526	1.457578	
0.100000	0.728203	0.832739	84.910000	72.330000	28.627951	1.329465	
0.100000	0.710370	0.745580	85.490000	75.580000	28.030309	1.408893	
0.100000	0.715405	1.017651	85.422000	69.610000	28.569618	1.345548	
0.100000	0.719682	0.747830	85.326000	76.060000	28.410418	1.405969	
0.100000	0.714001	0.808507	85.512000	74.420000	28.166172	1.451652	
0.100000	0.705360	1.100206	85.658000	69.390000	28.405215	1.402664	
0.100000	0.708494	0.642352	85.656000	79.460000	27.883169	1.435777	
0.100000	0.711878	0.887359	85.536000	72.190000	28.143746	1.321403	
0.100000	0.698869	0.827663	85.962000	75.370000	27.813860	1.395945	
0.100000	0.711154	0.798937	85.648000	73.680000	28.311742	1.352212	
0.100000	0.700656	0.821766	85.932000	74.630000	28.163685	1.360217	
0.100000	0.692259	0.747288	86.110000	77.200000	27.706289	1.318084	
0.100000	0.692291	0.704359	86.130000	78.260000	28.423817	1.310427	
0.100000	0.693282	0.821007	85.998000	73.150000	27.948753	1.367850	
0.100000	0.695660	0.623432	86.030000	79.350000	28.580483	1.406840	
0.100000	0.695442	0.927471	86.170000	71.470000	28.274809	1.415796	
0.100000	0.680761	0.653088	86.588000	78.690000	27.544913	1.360337	
0.100000	0.690169	0.799560	86.068000	76.130000	28.222132	1.319677	
0.100000	0.681555	0.624488	86.464000	79.210000	27.853295	1.422592	
0.100000	0.685357	0.671704	86.470000	78.260000	27.954065	1.319813	
0.100000	0.678684	0.673745	86.502000	78.740000	29.658258	1.643129	
0.100000	0.674331	0.584160	86.530000	80.570000	30.741081	1.463451	
0.100000	0.680180	0.771217	86.546000	75.810000	29.860833	1.582598	
0.100000	0.680569	0.568999	86.502000	81.070000	31.173542	1.527349	
0.100000	0.682469	0.560626	86.386000	81.240000	30.212776	1.551957	
0.100000	0.671867	0.665071	86.730000	78.350000	30.659202	1.559574	
0.100000	0.665047	0.565206	86.952000	80.790000	30.237058	1.515366	
0.100000	0.678502	1.054987	86.434000	69.980000	30.724997	1.563860	
0.100000	0.676445	1.458186	86.666000	62.090000	29.230504	1.539950	
0.100000	0.678453	0.679095	86.256000	76.670000	30.815324	1.507005	
0.100000	0.665492	0.588377	86.856000	80.510000	29.917401	1.509464	
0.100000	0.661282	0.566331	86.994000	79.850000	29.893827	1.523116	
0.100000	0.669115	0.606852	86.646000	80.360000	29.741983	1.652706	
0.100000	0.670428	0.664155	86.700000	79.640000	30.313067	1.494997	
0.100000	0.667959	0.597692	86.782000	80.270000	29.623055	1.483737	
0.100000	0.669744	0.656980	86.730000	79.030000	30.631602	1.644131	
0.100000	0.658216	0.494789	86.972000	83.550000	29.819450	1.618692	
0.100000	0.664135	0.747300	86.836000	75.300000	30.816372	1.572199	
0.100000	0.665798	0.525240	86.836000	82.380000	29.481527	1.533641	
0.100000	0.657839	0.940853	86.920000	71.380000	30.508656	1.584371	
0.100000	0.659574	0.687078	86.928000	77.910000	29.782862	1.611417	
0.100000	0.647166	0.670403	87.410000	78.900000	29.748347	1.601405	
0.100000	0.665860	0.729297	86.696000	77.770000	29.687069	1.713267	
0.100000	0.660973	0.647457	87.064000	79.950000	30.196911	1.571302	
0.100000	0.660906	0.627147	86.942000	80.000000	29.569856	1.414500	
0.100000	0.653672	0.788469	87.224000	77.540000	29.886976	1.586381	
