LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.666527	1.327519	52.300000	37.866000	52.300000	20.049435	1.120863	
0.100000	1.176858	1.129234	52.300000	57.586000	60.700000	20.004174	1.105119	
0.100000	0.953272	1.009311	56.500000	65.758000	64.460000	20.077607	1.129288	
0.100000	0.825380	0.986557	59.180000	70.690000	65.850000	20.092596	1.124101	
0.100000	0.716226	1.292600	60.763333	74.962000	61.290000	20.316103	1.145763	
0.100000	0.641739	0.717957	60.281108	77.898000	75.390000	23.770283	1.426320	
0.100000	0.597001	0.671634	63.610547	79.360000	77.260000	24.030819	1.427917	
0.100000	0.560798	0.799778	65.982998	80.650000	74.310000	23.951298	1.489635	
0.100000	0.532224	0.625506	66.919032	81.500000	78.420000	23.921267	1.434984	
0.100000	0.513632	1.002909	68.334505	82.176000	71.240000	24.104877	1.433083	
0.100000	0.493149	1.037049	68.144835	83.012000	69.190000	24.037425	1.403538	
0.100000	0.484393	0.629908	67.735850	83.226000	79.170000	24.432098	1.428679	
0.100000	0.469664	1.058207	68.890705	83.826000	69.460000	24.261354	1.453949	
0.100000	0.463892	0.647486	68.468522	84.060000	78.240000	24.249023	1.432912	
0.100000	0.442412	0.727418	69.264251	84.732000	75.740000	24.252561	1.421770	
0.100000	0.430057	0.816678	69.595280	85.022000	75.730000	24.136665	1.431675	
0.100000	0.430347	0.704629	69.866067	85.094000	77.200000	24.312188	1.445800	
0.100000	0.421178	0.747407	70.247012	85.414000	77.150000	24.283730	1.417946	
0.100000	0.419322	0.668496	70.558237	85.694000	77.730000	24.179833	1.395415	
0.100000	0.406775	0.784786	70.875755	86.142000	75.870000	24.244791	1.506888	
0.100000	0.398503	0.569729	70.975903	86.296000	81.700000	23.938945	1.427165	
0.100000	0.398381	0.764376	71.573488	86.392000	77.610000	24.260549	1.466923	
0.100000	0.396191	0.588317	71.739093	86.258000	81.170000	24.370553	1.532959	
0.100000	0.384230	0.582250	72.170359	86.694000	81.610000	24.285712	1.413569	
0.100000	0.382834	0.533406	72.576413	86.974000	81.900000	24.405816	1.448182	
0.100000	0.369775	0.713807	72.950896	87.100000	78.740000	24.090301	1.425643	
0.100000	0.377406	0.507250	73.052992	87.086000	83.130000	24.228544	1.492337	
0.100000	0.372338	0.550959	73.449682	87.252000	81.820000	24.179750	1.411572	
0.100000	0.374411	0.538809	73.711996	87.132000	82.670000	24.308366	1.437577	
0.100000	0.362285	0.666176	74.000777	87.434000	79.660000	24.239893	1.421893	
0.100000	0.358188	0.769283	75.580205	87.600000	75.050000	24.046034	1.435657	
0.100000	0.353541	0.766545	76.089550	87.824000	75.510000	24.297494	1.452009	
0.100000	0.360686	0.629085	76.253100	87.592000	80.390000	24.351435	1.444399	
0.100000	0.351363	0.637073	75.860796	87.862000	80.060000	24.192627	1.445206	
0.100000	0.358762	0.643291	78.170031	87.750000	78.850000	24.344931	1.439353	
0.100000	0.342957	0.631205	78.484230	88.156000	79.260000	24.074264	1.428443	
0.100000	0.351458	0.619422	78.107823	87.944000	80.160000	24.189805	1.428704	
0.100000	0.349259	0.521622	78.834369	88.002000	82.830000	24.245234	1.415924	
0.100000	0.337877	0.494100	78.054200	88.502000	83.700000	24.301700	1.428729	
0.100000	0.338786	0.501429	78.122094	88.380000	82.960000	24.191154	1.460195	
0.100000	0.328986	0.806134	79.876941	88.710000	75.870000	24.066389	1.443372	
0.100000	0.338611	0.651558	78.214736	88.356000	78.500000	24.273870	1.492106	
0.100000	0.335327	0.674211	79.502391	88.556000	79.070000	24.326468	1.460726	
0.100000	0.332831	0.593771	79.113091	88.532000	80.830000	24.178602	1.405636	
0.100000	0.330926	0.763840	79.222413	88.560000	77.210000	24.296287	1.440717	
0.100000	0.327180	1.039346	79.305086	88.860000	73.520000	24.087861	1.408373	
0.100000	0.331757	0.493638	78.924626	88.560000	83.880000	24.397272	1.446060	
0.100000	0.331741	0.563375	79.328174	88.610000	81.380000	24.341234	1.416864	
0.100000	0.331112	0.647902	79.191665	88.538000	79.300000	24.351687	1.440949	
0.100000	0.325104	0.655161	80.041448	88.760000	79.340000	24.203012	1.454799	
0.100000	0.320433	0.608140	79.404937	88.988000	80.820000	24.129280	1.441065	
0.100000	0.325361	0.511258	80.010870	88.718000	83.890000	24.222070	1.435146	
0.100000	0.321334	0.543674	80.324744	89.150000	82.720000	24.317543	1.443180	
0.100000	0.315853	0.515553	80.521199	89.082000	83.150000	24.321363	1.472881	
0.100000	0.324902	0.528646	80.233985	88.928000	83.190000	24.029931	1.450842	
0.100000	0.316764	0.502432	81.059321	89.002000	83.390000	24.016624	1.437027	
0.100000	0.320360	0.646124	81.020311	88.970000	80.390000	24.137002	1.456515	
0.100000	0.316291	0.482948	81.102524	89.164000	84.480000	24.292169	1.449691	
0.100000	0.317044	0.931490	80.885295	89.066000	73.850000	24.197965	1.412480	
0.100000	0.320660	0.678208	79.764976	88.934000	79.280000	24.270009	1.407909	
0.100000	0.309470	0.650903	79.800186	89.352000	80.200000	23.902077	1.412715	
0.100000	0.323528	0.629337	80.531441	88.864000	80.040000	24.213693	1.447475	
0.100000	0.318782	0.631880	80.452029	89.064000	80.260000	24.278562	1.432270	
0.100000	0.316090	0.510565	80.264721	89.132000	83.390000	24.206007	1.434313	
0.100000	0.315606	0.582445	80.525622	89.246000	81.520000	24.256568	1.478034	
0.100000	0.299282	0.540603	80.719881	89.714000	82.530000	24.142723	1.416409	
0.100000	0.315399	0.697567	81.222642	88.976000	78.910000	24.126175	1.450058	
0.100000	0.312746	0.490234	81.199208	89.228000	83.600000	24.126111	1.509958	
0.100000	0.306366	0.767600	81.247122	89.490000	77.870000	24.072309	1.438547	
0.100000	0.312016	0.917821	80.004302	89.266000	73.100000	24.180826	1.433707	
0.100000	0.303216	0.739155	79.939060	89.400000	77.790000	23.965117	1.475392	
0.100000	0.308037	0.496345	79.882811	89.514000	84.180000	24.217313	1.430616	
0.100000	0.307720	0.426667	80.414477	89.394000	85.730000	24.292207	1.444228	
0.100000	0.315019	0.591468	80.234101	89.256000	81.290000	24.253618	1.446673	
0.100000	0.308012	0.479794	79.768792	89.512000	84.170000	24.239027	1.410507	
0.100000	0.297706	0.753999	81.550398	89.784000	77.210000	24.158543	1.472817	
0.100000	0.298648	0.472721	80.908969	89.744000	84.920000	24.188294	1.442641	
0.100000	0.302486	0.598806	80.867057	89.508000	80.260000	24.237069	1.418255	
0.100000	0.304288	0.601324	80.833675	89.498000	82.050000	24.318508	1.421895	
0.100000	0.302160	0.666687	81.126098	89.642000	79.560000	24.119419	1.441410	
0.100000	0.293604	0.555925	81.468864	90.020000	81.780000	24.223164	1.456852	
0.100000	0.299767	0.600602	81.319800	89.616000	81.190000	24.122834	1.438361	
0.100000	0.307300	0.457134	81.373587	89.310000	84.510000	24.287114	1.454916	
0.100000	0.296073	0.527953	81.581719	89.828000	82.630000	24.263355	1.406977	
0.100000	0.306160	0.691263	81.678262	89.442000	79.330000	24.359123	1.420700	
0.100000	0.292127	0.513151	81.093077	89.750000	83.840000	23.991817	1.419158	
0.100000	0.301910	0.592068	81.861554	89.552000	81.700000	24.085263	1.437062	
0.100000	0.298427	0.538234	80.314442	89.692000	82.540000	24.183787	1.442029	
0.100000	0.293252	0.474508	81.242996	89.938000	84.760000	24.125634	1.432606	
0.100000	0.296366	0.502120	81.602896	89.816000	83.780000	24.257726	1.436874	
0.100000	0.294674	0.414855	81.720224	89.976000	86.070000	24.051412	1.456867	
0.100000	0.298990	0.476614	82.032659	89.750000	84.620000	24.034822	1.433563	
0.010000	0.185041	0.246562	82.652062	93.834000	91.670000	24.250646	1.397836	
0.010000	0.142655	0.241811	82.963534	95.184000	91.920000	24.266457	1.445359	
0.010000	0.129459	0.233493	83.687378	95.652000	92.610000	23.989604	1.442460	
0.010000	0.118175	0.240455	83.739718	95.996000	92.440000	24.201151	1.423837	
0.010000	0.112279	0.229591	84.979020	96.238000	92.600000	24.364701	1.421870	
0.010000	0.105567	0.234035	84.642358	96.484000	92.320000	24.079635	1.413315	
0.010000	0.097109	0.225433	84.448132	96.864000	92.940000	24.194238	1.433767	
