LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.846533	2.032682	28.870000	26.210000	10.708252	0.652699	
0.100000	1.574601	1.792635	41.434000	36.680000	10.899213	0.633471	
0.100000	1.441645	1.589847	46.944000	41.940000	9.077395	0.600379	
0.100000	1.339615	2.078279	51.442000	34.030000	11.132838	1.021240	
0.100000	1.251765	1.340959	54.874000	50.760000	9.788475	0.628295	
0.100000	1.200725	1.728253	56.852000	43.750000	9.189089	0.626123	
0.100000	1.159748	1.222933	58.366000	56.140000	10.618512	0.992649	
0.100000	1.126053	1.294144	59.948000	53.760000	9.569124	0.602729	
0.100000	1.105165	1.157368	60.560000	58.770000	10.104550	0.609927	
0.100000	1.078011	2.395624	61.514000	41.520000	9.214680	0.757381	
0.100000	1.068967	1.172857	61.954000	58.040000	9.095179	0.725437	
0.100000	1.052092	1.462465	62.492000	54.610000	10.562560	0.631840	
0.100000	1.043964	1.508464	62.730000	50.690000	9.964863	0.625195	
0.100000	1.032097	1.514475	63.310000	50.790000	9.523175	1.025543	
0.100000	1.025039	1.385792	63.544000	53.910000	10.112579	0.586553	
0.100000	1.011183	1.577109	64.130000	50.470000	9.219862	0.870964	
0.100000	1.002071	1.662434	64.400000	47.820000	9.335250	0.598696	
0.100000	1.000171	1.357611	64.530000	56.110000	10.249897	0.996831	
0.100000	0.993024	1.400800	64.566000	53.870000	11.346145	0.610289	
0.100000	0.994239	2.058103	64.644000	40.860000	9.802757	0.811445	
0.100000	0.986194	1.558749	64.964000	51.030000	9.943524	0.831880	
0.100000	0.979081	1.065466	65.130000	62.360000	9.115712	0.589510	
0.100000	0.974591	1.326821	65.438000	55.830000	9.306160	1.027130	
0.100000	0.962804	1.737838	65.964000	49.610000	11.010313	0.736232	
0.100000	0.969732	1.093002	65.728000	62.670000	10.201297	0.978776	
0.100000	0.958115	1.442519	66.198000	55.500000	9.732030	0.624367	
0.100000	0.953925	1.599123	66.202000	53.040000	9.040859	0.625038	
0.100000	0.951244	1.405740	66.688000	56.670000	10.558537	0.612543	
0.100000	0.941439	1.418705	66.728000	53.430000	10.790646	0.637177	
0.100000	0.938357	2.020301	66.830000	46.710000	10.518123	0.663914	
0.100000	0.932124	1.239499	67.306000	58.750000	10.391796	1.022670	
0.100000	0.920980	1.586303	67.746000	54.180000	9.952387	0.744261	
0.100000	0.923422	1.646157	67.432000	51.770000	10.128348	0.656801	
0.100000	0.918634	2.454496	67.708000	38.320000	9.392661	0.854834	
0.100000	0.911966	1.553247	68.024000	52.450000	10.075353	0.625570	
0.100000	0.906833	1.612663	68.240000	54.840000	10.074761	0.619947	
0.100000	0.907337	1.356430	68.114000	56.970000	9.236602	0.950360	
0.100000	0.898805	1.756706	68.606000	49.130000	10.187240	0.644446	
0.100000	0.890041	1.029201	68.840000	65.500000	10.552049	0.615911	
0.100000	0.888170	1.107532	68.972000	61.360000	10.179647	0.616266	
0.100000	0.891541	1.237499	68.908000	59.560000	10.092664	0.618740	
0.100000	0.880436	3.237586	69.248000	34.070000	10.087168	0.639171	
0.100000	0.881210	2.264445	69.196000	41.860000	9.815351	0.606732	
0.100000	0.881420	1.165320	69.054000	60.190000	9.474383	0.637884	
0.100000	0.875190	1.243493	69.594000	57.350000	9.595180	0.964787	
0.100000	0.878023	1.186721	69.276000	60.730000	9.876869	0.622132	
0.100000	0.873053	0.978019	69.372000	65.850000	9.759892	0.613312	
0.100000	0.869515	1.232526	69.554000	57.660000	10.984948	0.699764	
0.100000	0.872421	1.400032	69.836000	56.730000	9.438208	0.605086	
0.100000	0.862543	1.340916	69.938000	60.980000	9.192373	0.624228	
0.100000	0.865758	1.199183	69.810000	58.910000	9.304842	0.671707	
0.100000	0.866277	1.075250	69.956000	61.830000	10.926223	0.614149	
0.100000	0.864654	1.889228	70.102000	48.820000	9.958277	0.587531	
0.100000	0.859992	1.395299	70.004000	55.810000	10.833760	0.619480	
0.100000	0.860577	1.121957	70.116000	61.320000	10.902895	0.623493	
0.100000	0.861982	2.032814	70.196000	46.270000	10.690606	0.644290	
0.100000	0.867331	1.184378	69.562000	59.280000	10.279290	0.611141	
0.100000	0.849738	1.116297	70.526000	60.090000	9.322431	0.616970	
0.100000	0.857194	5.085256	70.078000	25.580000	9.865552	0.610425	
0.100000	0.855055	1.717694	70.168000	49.360000	10.848017	1.012247	
0.100000	0.927108	1.982272	67.744000	50.260000	11.776330	0.842698	
0.100000	0.824793	0.876423	71.278000	69.430000	11.391100	0.844159	
0.100000	0.794276	0.923796	72.586000	68.570000	12.125941	0.840576	
0.100000	0.778763	0.986104	73.066000	66.660000	12.576076	0.838038	
0.100000	0.766304	0.867953	73.386000	69.250000	11.938524	0.899680	
0.100000	0.758038	2.018967	73.718000	49.630000	11.850559	0.851550	
0.100000	0.743650	1.011237	74.184000	67.260000	12.110747	0.833879	
0.100000	0.737051	1.053905	74.370000	66.430000	11.421168	0.771815	
0.100000	0.729845	1.335057	74.750000	58.150000	11.764161	1.059085	
0.100000	0.709337	0.919178	75.408000	70.560000	12.155184	0.840713	
0.100000	0.706677	1.114309	75.664000	64.560000	11.824465	0.858321	
0.100000	0.702640	1.156343	75.416000	63.650000	11.328320	0.813697	
0.100000	0.703780	1.631406	75.586000	53.000000	12.185941	1.365371	
0.100000	0.693490	1.026162	75.842000	65.550000	12.100526	0.843884	
0.100000	0.681358	0.935738	76.436000	68.640000	12.519694	0.823311	
0.100000	0.682086	0.874251	76.372000	70.060000	11.335954	0.964613	
0.100000	0.674986	1.401728	76.796000	60.420000	12.036215	0.817118	
0.100000	0.677913	1.274712	76.366000	62.470000	11.749422	0.810390	
0.100000	0.669739	0.974280	77.020000	67.620000	11.439462	0.807951	
0.100000	0.668971	0.737292	76.774000	74.490000	11.397058	0.838332	
0.100000	0.660954	1.350869	77.172000	59.890000	12.237821	0.848377	
0.100000	0.656811	0.920022	77.314000	70.340000	12.375494	0.863353	
0.100000	0.654431	1.039184	77.278000	64.310000	11.803679	0.865488	
0.100000	0.652315	1.213650	77.256000	63.050000	11.358528	0.850754	
0.100000	0.648593	1.070638	77.414000	65.700000	11.876661	0.833941	
0.100000	0.645333	0.965959	77.790000	67.900000	13.175260	1.126648	
0.100000	0.646800	1.333134	77.576000	62.670000	12.017191	0.845588	
0.100000	0.637172	0.922473	78.022000	70.110000	11.581924	0.838149	
0.100000	0.645410	1.038692	77.836000	65.730000	12.113371	0.849990	
0.100000	0.638091	0.845872	78.002000	72.480000	11.381927	0.852227	
0.100000	0.637360	0.920557	77.866000	68.780000	11.489751	0.840105	
0.100000	0.640889	1.644586	77.906000	57.270000	11.836836	0.796760	
0.100000	0.641564	1.069078	77.858000	64.390000	12.103800	1.332176	
0.100000	0.635513	1.490703	78.204000	59.200000	12.219265	0.837363	
0.100000	0.629427	1.020669	78.262000	67.460000	12.083870	0.819151	
0.100000	0.630605	0.975776	78.234000	67.250000	12.902281	0.850919	
0.100000	0.626739	1.040261	78.130000	66.190000	11.699312	0.836242	
0.100000	0.628140	1.585422	78.360000	56.770000	12.688773	0.836391	
0.100000	0.626434	1.688365	78.476000	53.760000	12.405649	0.831434	
0.100000	0.630071	0.917414	78.178000	70.300000	11.736702	0.869909	
0.100000	0.625626	1.004680	78.482000	69.530000	11.691817	0.843691	
0.100000	0.626782	1.317977	78.290000	61.010000	11.931931	0.845363	
0.100000	0.627399	1.148243	78.402000	62.540000	12.296520	0.848252	
0.100000	0.622919	0.960424	78.352000	69.470000	12.041345	0.836187	
0.100000	0.617991	0.992113	78.720000	67.650000	11.727728	0.840457	
0.100000	0.620062	1.200274	78.708000	64.940000	12.057134	0.856755	
0.100000	0.619730	1.086473	78.700000	66.180000	11.452748	0.837922	
0.100000	0.627784	1.008626	78.340000	65.920000	11.406519	0.835854	
0.100000	0.619692	0.833553	78.620000	72.570000	11.351661	1.365807	
0.100000	0.619253	0.731727	78.610000	75.230000	11.339262	0.838995	
0.100000	0.619063	1.039729	78.670000	65.200000	11.626136	0.855675	
0.100000	0.608540	0.811696	78.978000	73.400000	11.738145	0.844766	
0.100000	0.613063	1.416205	79.082000	61.340000	12.323639	0.824670	
0.100000	0.613001	0.783295	78.942000	72.610000	12.393674	0.853451	
0.100000	0.616070	0.984285	78.572000	68.090000	12.440006	0.837425	
0.100000	0.615417	0.632135	78.964000	78.030000	12.532252	0.840580	
0.100000	0.609211	0.944901	78.800000	69.200000	12.977172	0.837966	
0.100000	0.610694	0.826310	78.742000	71.550000	12.462002	0.850547	
0.100000	0.611347	1.066733	78.848000	68.170000	12.251391	0.839283	
0.100000	0.606949	0.682805	78.984000	76.130000	11.950272	0.836211	
