LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.827432	1.854750	30.520000	30.488000	30.520000	13.627093	1.061531	
0.100000	1.487860	1.479163	30.520000	44.390000	46.810000	14.714934	1.171918	
0.100000	1.335213	1.709047	38.665000	50.984000	44.160000	17.925243	1.745178	
0.100000	1.247791	1.763282	39.885600	55.064000	46.760000	21.170210	1.895809	
0.100000	1.179302	1.325741	41.377778	57.434000	52.070000	21.689312	1.835038	
0.100000	1.136780	1.216666	43.675935	59.128000	56.920000	21.236851	2.215179	
0.100000	1.100872	1.648191	46.171533	60.840000	48.040000	22.395579	1.698633	
0.100000	1.077733	1.779021	45.710877	61.618000	46.370000	20.803975	1.821593	
0.100000	1.063701	1.451150	45.157477	61.862000	50.490000	21.180332	2.110572	
0.100000	1.046914	1.674699	45.579536	62.702000	49.290000	22.025529	1.767894	
0.100000	1.036847	1.074369	45.683899	62.984000	61.370000	21.818326	1.956060	
0.100000	1.014601	1.536185	47.631445	63.830000	46.720000	22.123763	1.332960	
0.100000	1.006069	1.313147	46.961415	64.364000	56.700000	22.089543	2.237494	
0.100000	0.991981	1.951370	47.816138	64.740000	42.400000	21.343356	2.137963	
0.100000	0.993209	1.903516	46.687533	64.868000	45.840000	21.830412	1.597727	
0.100000	0.976399	1.396140	46.234273	65.436000	56.880000	21.640314	1.697621	
0.100000	0.968726	1.703387	47.109820	65.552000	49.560000	20.363233	1.941849	
0.100000	0.961565	1.456540	47.036880	65.882000	51.410000	22.890247	1.827918	
0.100000	0.953377	1.222709	47.168133	66.208000	59.050000	21.365039	1.767803	
0.100000	0.944420	1.270139	48.006292	66.712000	59.060000	21.726682	1.607857	
0.100000	0.943809	1.198772	48.699886	66.524000	59.400000	22.042552	1.719710	
0.100000	0.932023	1.517992	49.310488	67.048000	52.760000	20.645846	1.423161	
0.100000	0.931315	1.408323	49.274484	67.196000	56.730000	21.686609	1.830878	
0.100000	0.927973	1.568641	49.568493	67.622000	50.290000	21.378315	1.541230	
0.100000	0.920627	1.274365	49.328143	67.656000	58.490000	21.777190	2.071665	
0.100000	0.920110	1.193596	49.735261	67.450000	58.840000	21.069458	1.709008	
0.100000	0.913878	1.326471	50.113966	67.880000	57.400000	19.741697	2.244730	
0.100000	0.901675	1.763513	50.345979	68.328000	43.130000	20.540118	1.787400	
0.100000	0.909439	1.088480	49.600297	68.386000	63.220000	22.687387	1.835177	
0.100000	0.907224	1.319854	50.249258	68.432000	56.830000	20.999340	1.920216	
0.100000	0.886465	1.576179	53.028730	68.832000	53.750000	21.320778	1.496453	
0.100000	0.894000	1.335491	52.692176	68.728000	57.880000	22.195014	1.709770	
0.100000	0.893752	1.355354	53.402734	68.792000	55.740000	21.210162	2.021010	
0.100000	0.884470	1.339821	54.321147	69.144000	57.790000	20.202849	1.849250	
0.100000	0.884113	2.346615	55.246068	68.998000	40.100000	22.612643	2.118872	
0.100000	0.886470	0.970384	52.985195	68.864000	65.730000	21.480655	1.830419	
0.100000	0.872184	1.371597	53.566023	69.524000	55.190000	21.031470	1.502682	
0.100000	0.877388	1.315931	54.266389	69.296000	57.790000	22.460054	1.532826	
0.100000	0.879993	1.174230	54.320245	69.078000	60.640000	20.849787	2.088499	
0.100000	0.867100	1.053475	56.474275	69.766000	64.290000	21.952821	1.726157	
0.100000	0.867890	1.788263	54.860688	69.832000	48.920000	21.290441	1.819062	
0.100000	0.871906	1.733139	55.920143	69.540000	48.870000	22.345589	1.805506	
0.100000	0.879606	1.283450	53.398064	69.334000	58.360000	21.582513	1.629316	
0.100000	0.860634	1.121563	54.215481	70.148000	61.940000	21.140742	1.674383	
0.100000	0.866160	1.386012	56.309797	69.558000	56.320000	22.011726	1.538010	
0.100000	0.862655	1.826274	55.252264	69.898000	46.540000	21.224541	1.888889	
0.100000	0.864205	1.160089	54.957622	70.240000	63.380000	21.587945	2.200906	
0.100000	0.857856	1.356404	56.605451	70.202000	58.170000	21.517270	1.637025	
0.100000	0.860962	1.179827	56.707835	70.030000	60.970000	21.790632	1.791533	
0.100000	0.856392	1.317075	57.031965	69.976000	57.910000	22.196434	1.845711	
0.100000	0.854443	1.246495	56.128723	70.402000	58.760000	22.169177	1.724780	
0.100000	0.857894	1.276806	56.872393	70.114000	56.640000	21.956081	1.787888	
0.100000	0.851848	1.366722	55.926423	70.354000	57.450000	21.352599	1.769454	
