LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.758527	1.713099	32.856000	39.710000	20.820769	1.305918	
0.100000	1.323092	1.441248	51.670000	47.930000	20.793967	1.386975	
0.100000	1.100746	1.464431	60.286000	51.190000	44.341605	2.302662	
0.100000	0.965227	1.350313	65.770000	57.070000	62.035775	3.154832	
0.100000	0.870025	1.028815	69.436000	64.400000	106.449955	3.822937	
0.100000	0.785202	1.120433	72.496000	64.430000	122.411305	4.042226	
0.100000	0.732525	1.118425	74.514000	63.980000	139.602005	4.146268	
0.100000	0.696870	0.893669	75.928000	70.340000	139.632241	3.944893	
0.100000	0.669466	0.930035	76.756000	70.470000	139.121603	4.032718	
0.100000	0.643017	1.204683	77.724000	64.970000	139.212224	4.002736	
0.100000	0.622646	1.158641	78.420000	64.310000	139.590229	4.312912	
0.100000	0.606484	0.668205	78.946000	77.240000	140.056381	3.988076	
0.100000	0.592746	1.114156	79.404000	63.390000	138.707813	4.030477	
0.100000	0.583756	0.748508	80.008000	74.880000	138.288485	4.012327	
0.100000	0.568079	1.077334	80.584000	67.670000	138.867166	3.865200	
0.100000	0.573655	0.659356	80.208000	77.280000	139.768304	3.953988	
0.100000	0.552239	0.757637	80.906000	74.300000	137.741734	4.040226	
0.100000	0.548519	0.832548	81.024000	71.880000	138.441272	4.053769	
0.100000	0.537125	0.928977	81.502000	71.150000	138.648220	4.091464	
0.100000	0.529861	1.100250	81.816000	66.740000	139.400036	3.956383	
0.100000	0.528743	0.753247	81.812000	74.360000	139.251793	3.948832	
0.100000	0.522936	0.683923	81.904000	76.790000	139.116455	4.413275	
0.100000	0.503540	1.405382	82.574000	61.530000	138.810082	3.991910	
0.100000	0.514358	0.860876	82.304000	71.090000	140.519250	4.121684	
0.100000	0.503564	0.973269	82.588000	70.840000	138.436567	4.003781	
0.100000	0.504479	0.711882	82.826000	75.720000	138.198250	4.026137	
0.100000	0.507582	0.962208	82.514000	70.860000	139.712966	4.003427	
0.100000	0.496870	0.704981	82.980000	76.670000	139.424621	4.004915	
0.100000	0.491782	0.783251	83.218000	73.490000	138.681767	4.072292	
0.100000	0.486670	0.783924	83.304000	74.140000	138.465752	4.141005	
0.100000	0.487076	0.703046	83.250000	76.520000	138.186920	3.784441	
0.100000	0.484685	0.765716	83.344000	74.990000	139.412316	4.130272	
0.100000	0.479175	0.762437	83.614000	75.690000	138.766391	3.910715	
0.100000	0.482893	0.903664	83.356000	72.590000	138.467170	4.152120	
0.100000	0.473623	0.942416	83.606000	71.060000	137.834602	3.974830	
0.100000	0.476344	0.900868	83.344000	72.480000	138.413079	4.212909	
0.100000	0.469997	0.798928	83.736000	74.600000	138.589971	4.117364	
0.100000	0.468833	0.695640	83.868000	77.270000	139.051327	3.998518	
0.100000	0.468650	0.912529	84.052000	72.280000	136.083911	4.416593	
0.100000	0.468856	0.839718	83.854000	73.790000	137.312255	4.283106	
0.100000	0.462438	1.156155	83.984000	66.790000	137.605951	4.326572	
0.100000	0.460446	0.719870	84.140000	76.000000	136.724365	4.492718	
0.100000	0.461408	0.544221	84.106000	81.480000	137.136518	4.083316	
0.100000	0.458946	0.629270	84.346000	78.980000	137.783212	4.456402	
0.100000	0.455495	0.739655	84.210000	76.750000	138.165260	4.199446	
0.100000	0.459256	0.919719	84.128000	70.620000	138.927817	4.346798	
0.100000	0.458584	0.753729	84.262000	75.800000	137.428077	4.276564	
0.100000	0.460038	0.984944	84.202000	69.310000	137.460747	4.546274	
0.100000	0.456050	0.876354	84.430000	73.680000	139.075863	3.985560	
0.100000	0.458080	0.802098	84.400000	73.730000	137.476365	4.204040	
0.100000	0.443503	0.601657	84.804000	80.470000	138.833882	4.217865	
0.100000	0.447726	0.605046	84.666000	80.160000	140.259706	4.238000	
0.100000	0.435924	0.605156	84.946000	79.860000	137.520208	4.133507	
0.100000	0.447833	0.723350	84.624000	76.070000	136.040898	4.273567	
0.100000	0.443233	0.568139	84.770000	81.040000	137.322347	4.261585	
0.100000	0.445480	0.990937	84.712000	70.630000	137.331574	4.312094	
0.100000	0.443831	0.635539	84.756000	79.480000	138.040009	4.149141	
0.100000	0.438516	0.583496	84.980000	80.700000	138.507823	4.419415	
0.100000	0.437520	0.691573	84.930000	78.250000	138.552304	4.144325	
0.100000	0.439564	0.778418	84.912000	75.370000	138.556863	4.195851	
0.100000	0.438346	0.700219	84.932000	78.310000	136.901336	4.261841	
0.100000	0.441697	0.672280	84.780000	77.610000	137.198073	4.879483	
0.100000	0.434605	0.840100	84.824000	72.710000	139.866606	4.023475	
0.100000	0.435487	0.696027	84.892000	77.670000	138.823244	4.189935	
0.100000	0.429321	0.720407	85.194000	77.310000	138.389574	4.067516	
0.100000	0.427785	0.595410	85.346000	80.680000	139.713944	4.178131	
0.100000	0.429879	0.623139	85.304000	79.700000	139.856190	4.164484	
0.100000	0.433423	0.948385	85.076000	71.850000	139.490830	4.421484	
0.100000	0.430523	0.662395	85.102000	78.010000	139.535884	3.840859	
0.100000	0.436495	0.721546	84.888000	77.730000	139.320729	3.914432	
0.100000	0.428112	0.530650	85.220000	82.630000	140.412751	3.799740	
0.100000	0.433641	0.640651	85.130000	78.700000	139.321138	4.025964	
0.100000	0.420695	0.986565	85.620000	70.330000	139.215025	3.884135	
0.100000	0.433550	0.850874	85.062000	74.670000	138.317850	3.917706	
0.100000	0.422393	0.726290	85.376000	76.480000	138.510032	4.010657	
0.100000	0.423939	0.909790	85.526000	70.950000	138.636481	3.755094	
0.100000	0.429582	0.815079	85.230000	75.320000	138.641193	3.946075	
0.100000	0.428692	0.702356	85.198000	78.190000	139.084662	3.959026	
0.100000	0.421439	0.577704	85.626000	80.490000	138.865071	3.846745	
0.100000	0.420999	0.961699	85.526000	70.380000	138.957038	3.998751	
0.100000	0.426585	0.698477	85.348000	77.140000	138.363436	3.965432	
0.100000	0.420816	1.029070	85.388000	67.720000	138.985536	3.817178	
0.100000	0.429177	0.974258	85.132000	70.600000	138.505956	3.856253	
0.100000	0.428299	0.797948	85.230000	74.510000	140.410724	3.864596	
0.100000	0.414354	0.603636	85.966000	80.370000	139.220272	3.885458	
0.100000	0.420624	0.880701	85.462000	72.500000	139.334890	3.894202	
0.100000	0.423035	0.790301	85.242000	74.530000	138.944978	3.945540	
0.100000	0.418662	0.739859	85.610000	76.870000	139.251497	4.123137	
0.100000	0.419626	0.740153	85.820000	76.760000	137.632523	3.803079	
0.100000	0.418742	0.848806	85.564000	73.070000	139.562502	3.835118	
