LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.878127	1.746780	35.280000	28.146000	35.280000	13.985956	0.826668	
0.100000	1.400930	1.736020	35.280000	47.832000	45.320000	13.813921	0.833375	
0.100000	1.133977	2.106618	40.300000	58.838000	41.930000	14.283957	0.793855	
0.100000	0.978019	1.435527	40.349600	64.846000	56.220000	14.173174	0.829876	
0.100000	0.871936	0.943245	45.225185	69.082000	67.000000	14.205845	0.825570	
0.100000	0.788326	1.119747	50.631112	72.470000	63.150000	14.118573	0.777661	
0.100000	0.738396	0.927793	52.635234	74.410000	69.030000	14.094775	0.814351	
0.100000	0.695714	1.210425	55.226438	76.006000	63.250000	14.188678	0.783355	
0.100000	0.665246	0.726620	55.767092	76.896000	75.480000	14.133759	0.774129	
0.100000	0.645881	0.959808	58.424259	77.606000	68.920000	14.080462	0.773679	
0.100000	0.622418	0.846827	59.194408	78.580000	72.120000	14.298789	0.789335	
0.100000	0.599613	1.016589	60.287188	79.290000	69.790000	14.118703	0.775903	
0.100000	0.600489	1.002534	60.790797	79.238000	67.000000	14.071287	0.806441	
0.100000	0.580747	0.903324	60.831013	80.106000	70.160000	13.964864	0.787045	
0.100000	0.574813	1.222004	61.287009	79.968000	64.520000	14.139401	0.810134	
0.100000	0.561909	0.873990	60.998054	80.654000	71.500000	14.054270	0.815360	
0.100000	0.560408	0.759845	61.566502	80.806000	75.780000	13.931027	0.788107	
0.100000	0.548560	0.797096	62.482649	81.108000	72.090000	13.765667	0.775671	
0.100000	0.539910	0.757158	62.864274	81.380000	75.420000	13.960085	0.826324	
0.100000	0.532083	0.820367	63.505882	81.818000	73.730000	14.337000	0.815193	
0.100000	0.521723	0.808732	63.892114	81.994000	73.240000	13.717494	0.809396	
0.100000	0.517850	0.744091	64.181893	82.088000	75.210000	14.172088	0.789998	
0.100000	0.525109	1.137514	64.599268	81.920000	65.280000	13.750009	0.830433	
0.100000	0.517682	1.335264	64.166335	82.168000	66.050000	13.807422	0.761175	
0.100000	0.511994	0.788990	63.866864	82.474000	75.520000	14.044530	0.788481	
0.100000	0.504454	0.812202	64.318803	82.584000	73.970000	13.776708	0.794918	
0.100000	0.502187	1.097066	64.601360	82.688000	68.060000	14.395696	0.802660	
0.100000	0.497605	0.709043	64.443033	82.758000	76.960000	14.363948	0.796531	
0.100000	0.495120	0.874025	64.903625	82.988000	70.430000	13.761304	0.779459	
0.100000	0.496957	0.614384	64.888312	82.828000	79.840000	14.069688	0.798139	
0.100000	0.490426	0.965708	67.304335	83.016000	69.690000	14.122434	0.837356	
