LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.728981	1.782350	37.800000	34.820000	37.800000	14.402293	0.897500	
0.100000	1.259464	1.263123	37.800000	53.932000	56.070000	14.407971	0.816080	
0.100000	1.051970	1.169641	46.935000	61.788000	58.990000	14.318061	0.881168	
0.100000	0.923592	0.916959	50.660800	67.006000	67.800000	14.387457	0.993236	
0.100000	0.833230	1.183411	55.215556	70.550000	62.370000	35.037888	1.090824	
0.100000	0.768176	1.147659	55.933703	73.036000	62.540000	42.536645	1.107020	
0.100000	0.722583	0.965675	56.490693	74.806000	68.220000	78.102899	1.176229	
0.100000	0.688525	0.938532	58.154538	76.178000	68.860000	78.804659	1.200711	
0.100000	0.666544	0.901781	59.366070	76.856000	70.150000	79.452436	1.135811	
0.100000	0.630871	1.106449	60.441383	78.078000	65.650000	80.140978	1.103649	
0.100000	0.627103	1.081663	60.466119	78.454000	64.750000	80.127552	1.107614	
0.100000	0.611569	1.035997	60.382252	78.888000	67.940000	78.546866	1.232308	
0.100000	0.601069	0.838560	60.802746	79.326000	72.290000	79.378648	1.092706	
0.100000	0.587976	0.980971	61.712520	79.734000	66.850000	79.905970	1.179652	
0.100000	0.578824	0.764190	61.737524	79.926000	74.920000	79.635632	1.102095	
0.100000	0.571668	0.999538	62.722736	80.242000	69.730000	78.485203	1.238530	
0.100000	0.557757	1.145121	62.930957	80.654000	66.640000	79.864060	1.079045	
0.100000	0.553027	0.773964	62.785208	81.064000	75.290000	79.505447	1.231945	
0.100000	0.546919	0.795490	63.544486	81.236000	74.940000	79.302853	1.127178	
0.100000	0.538518	0.639388	64.137824	81.710000	78.910000	78.724396	1.101341	
0.100000	0.530399	0.866459	64.996093	81.804000	70.620000	36.103729	0.960632	
0.100000	0.532582	0.867342	64.996898	81.666000	73.000000	35.370548	1.165616	
0.100000	0.519391	0.841773	65.205983	82.300000	71.760000	42.723002	1.029121	
0.100000	0.519690	0.895226	65.291239	82.172000	71.600000	60.403018	1.195537	
0.100000	0.515230	0.711878	65.358539	82.172000	77.070000	62.397984	1.184999	
0.100000	0.507138	0.844598	65.827416	82.518000	73.630000	32.176113	1.104702	
0.100000	0.506229	0.699001	65.990110	82.590000	76.940000	43.138829	1.066983	
0.100000	0.502316	1.068139	66.364478	82.684000	67.440000	54.183640	1.280779	
