LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.495361	1.720937	37.424000	41.500000	77.099409	1.220814	
0.100000	1.848012	1.905490	58.916000	46.690000	76.735593	1.283094	
0.100000	1.508506	2.324482	68.428000	44.580000	59.601136	1.125350	
0.100000	1.314680	1.036548	73.460000	65.950000	73.137740	1.024799	
0.100000	1.182231	1.057882	76.160000	66.080000	71.381928	0.972163	
0.100000	1.085726	0.815878	78.024000	72.660000	77.080981	0.989335	
0.100000	1.022452	1.019101	78.732000	68.270000	76.541255	0.948875	
0.100000	0.966098	0.828357	79.940000	71.970000	61.355073	0.922800	
0.100000	0.945141	0.995807	80.166000	65.960000	69.537082	1.083711	
0.100000	0.916962	1.378487	80.826000	63.350000	72.198762	0.938102	
0.100000	0.890204	0.833770	81.562000	72.030000	77.059999	1.100847	
0.100000	0.898398	0.957151	81.304000	68.530000	76.801785	0.997499	
0.100000	0.877136	1.081040	82.028000	67.150000	62.802070	0.842563	
0.100000	0.870291	1.855605	82.176000	58.520000	70.461282	0.991677	
0.100000	0.860591	0.746515	82.560000	75.360000	71.471243	0.959403	
0.100000	0.855377	0.669368	82.566000	77.980000	76.902330	1.034911	
0.100000	0.844431	0.833431	83.090000	74.230000	76.600931	0.940562	
0.100000	0.841162	0.698592	82.980000	76.860000	65.386344	0.860594	
0.100000	0.838882	1.115617	83.212000	68.870000	65.043055	1.048398	
0.100000	0.833317	1.085870	83.280000	67.600000	72.391280	1.028631	
0.100000	0.816077	0.576137	83.830000	80.730000	77.080938	1.049179	
0.100000	0.816064	0.672576	83.692000	77.080000	76.546155	0.929276	
0.100000	0.813833	0.681777	83.974000	78.550000	67.644608	0.864079	
0.100000	0.813615	0.596521	83.764000	79.950000	65.955935	0.923821	
0.100000	0.803471	0.714352	84.226000	77.840000	71.344278	0.949032	
0.100000	0.798838	0.565035	84.310000	80.910000	76.908417	1.102973	
0.100000	0.798956	0.855414	84.344000	72.420000	76.588917	1.017693	
0.100000	0.789650	0.906723	84.544000	71.540000	69.134942	0.940322	
0.100000	0.796603	0.930528	84.304000	69.450000	62.005507	0.938446	
0.100000	0.790091	0.686781	84.674000	76.680000	71.229321	0.866729	
0.100000	0.785269	0.599884	84.632000	78.970000	76.087501	1.153224	
0.100000	0.783942	0.635147	84.546000	78.900000	75.252279	0.959086	
0.100000	0.777572	1.171313	84.870000	67.860000	68.707188	0.957165	
