LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.617629	1.478651	32.226000	44.810000	82.785695	0.962700	
0.100000	2.004036	1.291987	52.954000	53.340000	88.973678	0.990170	
0.100000	1.628046	1.055259	64.722000	64.110000	88.182206	0.866782	
0.100000	1.364090	1.346771	71.434000	59.080000	53.832683	0.924270	
0.100000	1.211408	0.897368	74.968000	69.670000	85.972447	0.990399	
0.100000	1.100143	0.972509	77.204000	67.000000	89.199412	0.983438	
0.100000	1.028936	0.786589	78.360000	73.970000	69.425515	1.776886	
0.100000	0.983022	0.980527	79.182000	66.810000	87.997092	1.231475	
0.100000	0.940528	0.976518	80.348000	68.380000	81.285517	1.260343	
0.100000	0.928535	1.153308	80.246000	63.200000	65.939644	1.020955	
0.100000	0.900027	0.865809	81.166000	73.050000	88.515026	1.260946	
0.100000	0.893264	0.714994	81.340000	76.090000	88.207090	1.354988	
0.100000	0.882085	0.825263	81.808000	73.190000	68.518994	1.308713	
0.100000	0.873717	1.050997	81.962000	65.980000	82.442301	1.309080	
0.100000	0.878067	0.937400	82.064000	70.840000	85.438058	1.302608	
0.100000	0.859705	0.804341	82.556000	74.460000	69.906125	0.982239	
0.100000	0.860782	0.768743	82.486000	75.620000	88.539956	0.994724	
0.100000	0.851983	0.779342	82.882000	73.800000	88.709213	1.010753	
0.100000	0.843621	1.224102	83.026000	63.940000	52.165882	1.044771	
0.100000	0.837472	0.701999	83.238000	76.730000	86.732788	0.956824	
0.100000	0.828941	1.600621	83.476000	58.260000	89.686338	1.160404	
0.100000	0.833896	0.634044	83.424000	78.250000	69.656237	1.009553	
0.100000	0.831655	0.705598	83.362000	76.680000	89.025002	1.032390	
0.100000	0.816137	0.940054	83.780000	71.740000	82.983738	1.030283	
0.100000	0.817711	0.610745	83.776000	78.960000	67.258637	0.867187	
0.100000	0.820317	0.926231	83.758000	73.030000	89.008564	1.243177	
0.100000	0.808933	1.203871	83.804000	66.800000	88.494023	1.011752	
0.100000	0.811112	0.679994	83.934000	77.520000	70.346420	1.138651	
0.100000	0.804127	1.079644	83.980000	67.550000	82.676991	1.051102	
0.100000	0.798108	0.636420	84.380000	79.100000	87.623308	0.938809	
0.100000	0.786755	0.715034	84.596000	76.960000	72.249996	1.186437	
0.100000	0.794457	0.659396	84.372000	77.480000	87.677381	0.954425	
0.100000	0.787480	0.698411	84.480000	76.400000	88.036538	0.993501	
0.100000	0.780945	0.570853	84.758000	80.390000	56.233100	1.041137	
0.100000	0.779733	0.623885	84.592000	79.180000	85.863244	1.088406	
0.100000	0.784737	0.628814	84.458000	79.490000	88.608709	1.078096	
0.100000	0.780578	0.533845	84.702000	82.930000	71.465194	1.027690	
0.100000	0.775799	0.904073	84.780000	72.730000	88.165687	1.002454	
0.100000	0.774564	0.957732	84.790000	67.830000	81.753761	0.936693	
