LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	Lasso/Full_loss	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.254840	2.039311	37.382000	39.510000	0.258266	33.847433	0.863360	
0.100000	1.693030	1.730657	57.328000	45.880000	0.305721	44.106340	0.794820	
0.100000	1.390817	1.128452	67.304000	62.880000	0.334248	36.332225	0.830289	
0.100000	1.197399	0.914260	72.822000	69.460000	0.351751	45.328339	0.792004	
0.100000	1.072323	0.965242	76.158000	70.450000	0.358467	45.301058	0.874557	
0.100000	0.980928	0.794858	78.440000	74.080000	0.362020	35.813426	0.868142	
0.100000	0.925672	0.682235	79.552000	77.590000	0.358375	38.326447	0.809152	
0.100000	0.881407	0.828438	80.420000	71.480000	0.355864	41.524910	0.854366	
0.100000	0.845147	0.778619	81.148000	74.190000	0.355922	45.323027	0.848438	
0.100000	0.820928	0.733316	81.848000	75.610000	0.355680	45.168302	0.833778	
0.100000	0.802541	1.010010	82.268000	68.730000	0.355552	39.384972	0.785858	
0.100000	0.791005	0.776521	82.636000	75.080000	0.357174	35.366455	0.807209	
0.100000	0.785328	0.955708	82.762000	70.330000	0.356793	45.307143	0.874563	
0.100000	0.768458	1.107131	83.152000	66.710000	0.363315	45.217808	0.930642	
0.100000	0.766586	0.780090	83.314000	75.690000	0.364171	45.253125	0.887399	
0.100000	0.743450	0.913921	84.104000	71.760000	0.373071	32.366473	0.826004	
0.100000	0.752884	1.200692	83.592000	65.950000	0.368573	45.578305	0.862411	
0.100000	0.738069	0.789938	84.100000	75.400000	0.377282	45.434563	0.958098	
0.100000	0.741025	0.630194	84.220000	79.480000	0.375707	45.535880	0.932716	
0.100000	0.731357	0.732061	84.376000	76.840000	0.380592	45.362480	0.834196	
0.100000	0.720983	1.093316	84.860000	68.790000	0.385582	40.604624	0.859526	
0.100000	0.720661	0.688826	84.956000	78.570000	0.386063	46.926095	0.836556	
0.100000	0.723780	0.558644	84.652000	82.060000	0.385393	46.319822	0.855570	
0.100000	0.718160	0.716765	84.960000	77.150000	0.389413	46.250995	0.769787	
0.100000	0.711549	0.612431	85.234000	80.360000	0.390807	40.394352	0.738841	
