LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.002110	2.918395	1.784902	23.344000	30.850000	17.724251	0.997937	
0.002110	2.601525	1.618971	34.336000	39.520000	17.376715	0.905475	
0.002110	2.472070	1.605179	39.686000	39.600000	17.629117	1.014741	
0.002110	2.386245	1.472589	43.054000	45.250000	17.516551	0.952272	
0.002110	2.314462	1.455615	46.084000	46.140000	17.787068	0.983188	
0.002110	2.246538	1.351748	49.090000	50.100000	18.038433	1.071690	
0.002110	2.189831	1.311984	51.214000	52.100000	17.507357	1.026144	
0.002110	2.129486	1.271368	53.250000	54.520000	17.568974	0.942455	
0.002110	2.081474	1.209755	55.408000	56.900000	17.446632	0.974980	
0.002110	2.031341	1.216568	57.112000	56.190000	17.677015	0.943166	
0.002110	1.997443	1.174337	58.340001	58.090000	17.632496	0.975698	
0.002110	1.958852	1.142192	59.606001	58.530000	17.442211	1.034907	
0.002110	1.923293	1.148858	60.938001	59.270000	17.646232	0.979617	
0.002110	1.889169	1.063220	61.996001	62.120000	17.519083	1.032953	
0.002110	1.861758	1.096204	62.980001	60.750000	17.696380	1.001807	
0.002110	1.829152	1.041149	64.064001	63.190000	17.925244	0.975258	
0.002110	1.805344	0.980634	65.032001	65.550000	17.474679	0.995363	
0.002110	1.780207	0.941450	65.690000	66.450000	17.639238	0.890491	
0.002110	1.757401	0.950307	66.576001	66.690000	17.401833	0.962718	
0.002110	1.733734	0.964762	67.278001	65.760000	17.875703	0.914377	
0.002110	1.707133	0.926930	68.260000	67.200000	18.212819	0.987068	
0.002110	1.684603	0.907722	69.056001	68.630000	17.517289	0.972603	
0.002110	1.664708	0.918495	69.888000	68.150000	17.662258	1.014869	
0.002110	1.644637	0.948237	70.586001	67.700000	17.718242	0.937887	
0.002110	1.621630	0.868536	71.142001	69.650000	17.837398	0.951679	
0.002110	1.601292	0.846456	71.832001	70.390000	17.674410	1.039837	
0.002110	1.587115	0.812635	72.254001	72.050000	17.879771	0.971856	
0.002110	1.568734	0.813981	72.972000	71.690000	17.670089	1.014261	
0.002110	1.549051	0.819317	73.648001	72.150000	18.105533	0.966223	
0.002110	1.534882	0.787985	73.872000	72.620000	17.908705	0.953327	
0.002110	1.515130	0.782454	74.596000	72.880000	17.990996	1.010189	
0.002110	1.498434	0.744244	75.176000	74.280000	17.853256	0.935696	
0.002110	1.487139	0.755669	75.548000	73.790000	17.824328	1.013093	
0.002110	1.469548	0.757991	76.034000	74.110000	17.712633	0.955323	
0.002110	1.453575	0.737388	76.548000	74.700000	18.028239	1.025087	
0.002110	1.432171	0.774910	77.238001	73.170000	18.241768	1.076077	
0.002110	1.424468	0.764586	77.600000	74.160000	17.916355	0.949396	
0.002110	1.410721	0.730017	77.738000	75.410000	17.797899	0.938844	
0.002110	1.398539	0.701072	78.322001	75.730000	17.955408	0.962135	
0.002110	1.386780	0.696486	78.608000	76.090000	18.358089	1.097732	
0.002110	1.371851	0.675794	79.050001	76.430000	17.840449	1.039560	
0.002110	1.361637	0.672086	79.300001	76.630000	17.398434	0.950748	
0.002110	1.347926	0.691355	79.736000	76.770000	17.539001	1.054408	
0.002110	1.338295	0.751809	79.964000	75.290000	17.591622	0.976732	
0.002110	1.332056	0.673810	80.086001	77.350000	17.953979	0.925624	
0.002110	1.314919	0.656595	80.522001	77.700000	17.636282	1.049169	
0.002110	1.300180	0.692742	80.858000	76.720000	17.753368	1.031698	
0.002110	1.294827	0.696190	81.144001	76.900000	17.223113	1.019297	
0.002110	1.286733	0.690053	81.440000	77.140000	17.407613	0.912860	
0.002110	1.275530	0.653770	81.608000	78.150000	17.526525	0.972023	
0.002110	1.259652	0.626727	82.126001	78.460000	18.314285	0.967059	
0.002110	1.251710	0.635351	82.384001	78.290000	17.654612	0.916829	
0.002110	1.243273	0.625830	82.632000	79.050000	17.700531	1.014821	
0.002110	1.239811	0.612529	82.500000	79.480000	17.800909	0.913519	
0.002110	1.227551	0.639087	82.808000	78.870000	18.114298	1.042064	
0.002110	1.214604	0.621015	83.404001	79.520000	17.292706	1.021122	
0.002110	1.209464	0.621028	83.388001	79.360000	17.356359	0.894480	
0.002110	1.200850	0.590522	83.656001	80.690000	17.582908	0.896596	
0.002110	1.190272	0.633515	83.956001	79.160000	17.537942	0.911357	
0.002110	1.185409	0.618330	83.792000	79.460000	17.466617	0.949718	
0.002110	1.175553	0.695732	84.214001	77.720000	17.511872	0.929251	
0.002110	1.171147	0.615516	84.292000	80.080000	17.286305	0.959728	
0.002110	1.162331	0.603710	84.602001	80.060000	17.297282	0.978572	
