no display found. Using non-interactive Agg backend
==> Preparing dataset cifar10
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./dataset/data/torch/cifar-10-python.tar.gz
Extracting ./dataset/data/torch/cifar-10-python.tar.gz to ./dataset/data/torch
==> creating model 'resnet32_flat'
    Total params: 0.47M

Epoch: [1 | 10] LR: 0.100000
Epoch: [1][0/391]	Time 0.184 (0.184)	Data 0.135 (0.135)	Loss 3.2845 (3.2845)	Acc@1 7.031 (7.031)	Acc@5 45.312 (45.312)
Epoch: [1][10/391]	Time 0.031 (0.087)	Data 0.001 (0.014)	Loss 2.9815 (3.2204)	Acc@1 13.281 (11.009)	Acc@5 67.188 (54.332)
Epoch: [1][20/391]	Time 0.030 (0.062)	Data 0.001 (0.008)	Loss 2.7608 (3.0459)	Acc@1 17.969 (14.137)	Acc@5 78.906 (63.207)
Epoch: [1][30/391]	Time 0.037 (0.053)	Data 0.001 (0.006)	Loss 2.6753 (2.9564)	Acc@1 24.219 (16.406)	Acc@5 82.031 (66.885)
Epoch: [1][40/391]	Time 0.031 (0.059)	Data 0.002 (0.005)	Loss 2.7478 (2.8947)	Acc@1 23.438 (18.102)	Acc@5 76.562 (69.912)
Epoch: [1][50/391]	Time 0.035 (0.054)	Data 0.001 (0.004)	Loss 2.5790 (2.8478)	Acc@1 32.812 (18.980)	Acc@5 83.594 (71.768)
Epoch: [1][60/391]	Time 0.101 (0.052)	Data 0.001 (0.004)	Loss 2.5928 (2.8059)	Acc@1 28.906 (20.415)	Acc@5 82.031 (73.719)
Epoch: [1][70/391]	Time 0.034 (0.055)	Data 0.001 (0.003)	Loss 2.4670 (2.7700)	Acc@1 28.906 (21.204)	Acc@5 82.812 (75.000)
Epoch: [1][80/391]	Time 0.034 (0.053)	Data 0.001 (0.003)	Loss 2.5226 (2.7424)	Acc@1 29.688 (21.904)	Acc@5 80.469 (75.945)
Epoch: [1][90/391]	Time 0.117 (0.054)	Data 0.001 (0.003)	Loss 2.7204 (2.7209)	Acc@1 17.969 (22.150)	Acc@5 78.125 (76.717)
Epoch: [1][100/391]	Time 0.032 (0.053)	Data 0.001 (0.003)	Loss 2.4732 (2.6943)	Acc@1 25.781 (22.896)	Acc@5 81.250 (77.491)
Epoch: [1][110/391]	Time 0.037 (0.052)	Data 0.001 (0.003)	Loss 2.3952 (2.6726)	Acc@1 32.812 (23.304)	Acc@5 85.156 (78.174)
Epoch: [1][120/391]	Time 0.123 (0.053)	Data 0.001 (0.002)	Loss 2.4408 (2.6543)	Acc@1 25.000 (23.683)	Acc@5 84.375 (78.680)
Epoch: [1][130/391]	Time 0.035 (0.052)	Data 0.002 (0.002)	Loss 2.3818 (2.6373)	Acc@1 35.938 (24.088)	Acc@5 85.938 (79.103)
Epoch: [1][140/391]	Time 0.032 (0.051)	Data 0.001 (0.002)	Loss 2.3656 (2.6210)	Acc@1 27.344 (24.335)	Acc@5 82.031 (79.571)
Epoch: [1][150/391]	Time 0.053 (0.053)	Data 0.002 (0.002)	Loss 2.2993 (2.6050)	Acc@1 32.031 (24.669)	Acc@5 85.156 (80.039)
Epoch: [1][160/391]	Time 0.029 (0.052)	Data 0.001 (0.002)	Loss 2.3649 (2.5900)	Acc@1 29.688 (25.019)	Acc@5 83.594 (80.396)
Epoch: [1][170/391]	Time 0.035 (0.051)	Data 0.001 (0.002)	Loss 2.3121 (2.5739)	Acc@1 32.812 (25.402)	Acc@5 85.156 (80.802)
Epoch: [1][180/391]	Time 0.035 (0.052)	Data 0.001 (0.002)	Loss 2.2533 (2.5583)	Acc@1 35.938 (25.829)	Acc@5 91.406 (81.237)
Epoch: [1][190/391]	Time 0.034 (0.051)	Data 0.001 (0.002)	Loss 2.3012 (2.5488)	Acc@1 25.781 (26.010)	Acc@5 86.719 (81.410)
Epoch: [1][200/391]	Time 0.033 (0.051)	Data 0.001 (0.002)	Loss 2.2238 (2.5336)	Acc@1 34.375 (26.287)	Acc@5 89.062 (81.748)
Epoch: [1][210/391]	Time 0.114 (0.052)	Data 0.002 (0.002)	Loss 2.1251 (2.5166)	Acc@1 37.500 (26.762)	Acc@5 88.281 (82.072)
Epoch: [1][220/391]	Time 0.032 (0.051)	Data 0.001 (0.002)	Loss 2.2074 (2.5021)	Acc@1 35.156 (27.188)	Acc@5 87.500 (82.321)
Epoch: [1][230/391]	Time 0.033 (0.050)	Data 0.001 (0.002)	Loss 2.1234 (2.4886)	Acc@1 36.719 (27.516)	Acc@5 91.406 (82.613)
Epoch: [1][240/391]	Time 0.100 (0.052)	Data 0.001 (0.002)	Loss 2.1684 (2.4768)	Acc@1 34.375 (27.885)	Acc@5 87.500 (82.829)
Epoch: [1][250/391]	Time 0.033 (0.051)	Data 0.001 (0.002)	Loss 2.1745 (2.4631)	Acc@1 33.594 (28.237)	Acc@5 88.281 (83.111)
Epoch: [1][260/391]	Time 0.032 (0.050)	Data 0.001 (0.002)	Loss 1.9931 (2.4498)	Acc@1 46.875 (28.691)	Acc@5 91.406 (83.357)
Epoch: [1][270/391]	Time 0.039 (0.051)	Data 0.001 (0.002)	Loss 2.0176 (2.4346)	Acc@1 47.656 (29.209)	Acc@5 91.406 (83.588)
Epoch: [1][280/391]	Time 0.035 (0.051)	Data 0.001 (0.002)	Loss 2.0008 (2.4231)	Acc@1 42.188 (29.607)	Acc@5 89.844 (83.769)
Epoch: [1][290/391]	Time 0.038 (0.050)	Data 0.001 (0.002)	Loss 2.0760 (2.4102)	Acc@1 43.750 (30.026)	Acc@5 93.750 (84.007)
